Wavelength [nm],#19-Dichroic-650.csv
400.08,0.12083011498608222
400.29,0.1434224636623151
400.5,0.10169432453559182
400.71,0.10158905577602524
400.92,0.07244659791100248
401.13,0.15202336748276815
401.34,0.07272808858796728
401.54,0.10217893269838989
401.75,0.17609818920973827
401.96,0.1358690100353646
402.17,0.09768410591475443
402.38,0.11261155997513989
402.59,0.14206914916380967
402.8,0.16890881913303443
403.01,0.11527247500351726
403.22,0.10727861951620125
403.43,0.16330244296686355
403.63,0.16495080108717247
403.84,0.14245324970159387
404.05,0.19543275114829164
404.26,0.18636571100539712
404.47,0.2620541377097996
404.68,0.19239403142743963
404.89,0.3287873688523391
405.1,0.31198322808273465
405.31,0.2955566001835561
405.52,0.30511386242890914
405.72,0.3108787154787146
405.93,0.36770973820611746
406.14,0.3000377223002423
406.35,0.3893976146696442
406.56,0.34730799939578344
406.77,0.3722309286917564
406.98,0.3580749011436851
407.19,0.40511318842211963
407.39,0.39014091816178936
407.6,0.386598399236677
407.81,0.4404937609016504
408.02,0.4185710695467344
408.23,0.4474609588293109
408.44,0.4104322184623314
408.65,0.47010832989601203
408.86,0.409262206571752
409.06,0.43376539785647444
409.27,0.5190809775875662
409.48,0.5008659640148548
409.69,0.5123548184008858
409.9,0.525892026926851
410.11,0.5250562911298449
410.32,0.5051002507894019
410.52,0.5844318528199626
410.73,0.566291996806093
410.94,0.5244365539302714
411.15,0.4734264383826182
411.36,0.48588745759476304
411.57,0.47996164000805086
411.78,0.4380076585064702
411.98,0.46289194209661877
412.19,0.4295230145966084
412.4,0.35431887147385294
412.61,0.34958226306930734
412.82,0.3935795048293079
413.03,0.308160291286865
413.23,0.315061490435985
413.44,0.29724232316172317
413.65,0.25320114428617546
413.86,0.2633081915730937
414.07,0.23130849021515762
414.28,0.2403206210062325
414.48,0.24208109627043253
414.69,0.2799778986021634
414.9,0.23817479866806682
415.11,0.24114507163144344
415.32,0.24465274118258235
415.53,0.24855646069817855
415.73,0.2915779708448975
415.94,0.27705052943435565
416.15,0.3086861277842952
416.36,0.26346653199820613
416.57,0.3001319044295773
416.78,0.361507608167324
416.98,0.37593307076554694
417.19,0.3771793843340886
417.4,0.426740881369345
417.61,0.4366028034752585
417.82,0.4944787127685662
418.02,0.4517131873641986
418.23,0.5575720631768756
418.44,0.5348447197834386
418.65,0.5800588869991404
418.86,0.5953436763003942
419.07,0.6069663311222098
419.27,0.6574224326203927
419.48,0.6697749005167192
419.69,0.5850587098821618
419.9,0.5939312016724606
420.11,0.5473513524401666
420.31,0.5349638829045749
420.52,0.48015770712810096
420.73,0.47634461696018726
420.94,0.43751453291640496
421.15,0.37128192017620626
421.35,0.3733856771728879
421.56,0.38232382352846334
421.77,0.34447339463042803
421.98,0.33993770239413795
422.19,0.3247088974316118
422.39,0.2832285333485526
422.6,0.34209962675954964
422.81,0.2843350615197382
423.02,0.286762568759935
423.22,0.2724508831386039
423.43,0.32624637243990473
423.64,0.2875220246676278
423.85,0.2469550243307826
424.06,0.23580563010491754
424.26,0.2156836610018883
424.47,0.26383592176429094
424.68,0.3245639202327212
424.89,0.24354110383973943
425.09,0.2975954857455679
425.3,0.29339444129625764
425.51,0.3074966084323163
425.72,0.3251301312272414
425.93,0.29635945120132146
426.13,0.3371665265708049
426.34,0.34558139974600494
426.55,0.365880289534041
426.76,0.3553337282717853
426.96,0.37753937979479035
427.17,0.3677262839336937
427.38,0.458524803209277
427.59,0.44532882878747543
427.79,0.44523565024139783
428.0,0.44820294022167606
428.21,0.43575692919399367
428.42,0.5269066433257191
428.62,0.4889926387462568
428.83,0.518212095182121
429.04,0.5584418020767218
429.25,0.5950492692911886
429.45,0.5226002846077026
429.66,0.5422515070486282
429.87,0.6362725936455119
430.08,0.5530533746308435
430.28,0.5612268940653212
430.49,0.4949943807144972
430.7,0.47793199227859934
430.91,0.41087083227474486
431.11,0.4272159769581999
431.32,0.3966429981317402
431.53,0.34127710493657126
431.74,0.35467497452386704
431.94,0.3090482491440108
432.15,0.2982018252428291
432.36,0.2569862917665891
432.56,0.22522195352113067
432.77,0.2619904430417085
432.98,0.2605713250492025
433.19,0.28294322335506855
433.39,0.2615216953260472
433.6,0.29090076812556726
433.81,0.2967128706441951
434.02,0.28554342677236244
434.22,0.3435372777468486
434.43,0.35030446139041416
434.64,0.3584908705088794
434.84,0.4129594039907941
435.05,0.4007606292248405
435.26,0.39621355889797694
435.47,0.42290660171387295
435.67,0.42549609427985546
435.88,0.39676754260650665
436.09,0.4106956820714062
436.29,0.33929106909635226
436.5,0.3620744055302183
436.71,0.3550399407614182
436.92,0.32679526543298354
437.12,0.3340137599225412
437.33,0.28748093755206133
437.54,0.26889044481255325
437.74,0.2886775061755706
437.95,0.3340464092096626
438.16,0.31051488455776416
438.36,0.34170762076464506
438.57,0.3663241821267774
438.78,0.4137933615984868
438.99,0.44030015757341595
439.19,0.4206054536132871
439.4,0.5068951228909356
439.61,0.5008414271191838
439.81,0.4969111978116029
440.02,0.5185454309082003
440.23,0.5256028373788516
440.43,0.48634345183597477
440.64,0.5204479542918685
440.85,0.48812914794756973
441.05,0.4678672632544363
441.26,0.4995063592543121
441.47,0.45187094672132133
441.67,0.4499115667924835
441.88,0.44276950244819796
442.09,0.4276524830320236
442.29,0.4447526403430213
442.5,0.4650184952908805
442.71,0.47600973647210154
442.91,0.4847892604064507
443.12,0.5205522492460468
443.33,0.5263941355391963
443.53,0.515762129827132
443.74,0.5086199306974277
443.95,0.5292508588827198
444.15,0.5205098437038698
444.36,0.5106889420813935
444.57,0.5029718839238349
444.77,0.525512902532929
444.98,0.4937904183261008
445.19,0.4501008397616308
445.39,0.5008062869254766
445.6,0.456889403800502
445.81,0.44539365671242437
446.01,0.4681878349691622
446.22,0.46512835947340847
446.43,0.48556954876360847
446.63,0.460117041107279
446.84,0.49893997056554357
447.05,0.5014163143921698
447.25,0.5538059450607845
447.46,0.5539000077789014
447.67,0.5721151940150231
447.87,0.5138268428476939
448.08,0.542666378864116
448.28,0.51265935302391
448.49,0.5144952846664338
448.7,0.5004448892127963
448.9,0.4961929516593397
449.11,0.45491239374857784
449.32,0.45475601181574576
449.52,0.3985908745895884
449.73,0.3844720432450379
449.93,0.3839369516993836
450.14,0.3308777120916008
450.35,0.3022571383169311
450.55,0.28989797348607677
450.76,0.31303938627882294
450.97,0.2673259947372453
451.17,0.25323182026453916
451.38,0.2562144838821962
451.58,0.29112723037009586
451.79,0.2677787532923617
452.0,0.2945227169840194
452.2,0.2994644442193932
452.41,0.3204147497081645
452.62,0.3214276254530859
452.82,0.3315876063087441
453.03,0.37050245325581943
453.23,0.3901615263054056
453.44,0.3995925714787776
453.65,0.4297544311852983
453.85,0.40909410528557455
454.06,0.4057917595458331
454.26,0.45868396248126364
454.47,0.44353793309158307
454.68,0.43838058431688387
454.88,0.41493657926170296
455.09,0.43794940313988856
455.29,0.4637089652897053
455.5,0.45171492870946434
455.71,0.4641431847345874
455.91,0.47924135032491555
456.12,0.44559980985103065
456.32,0.460751699241612
456.53,0.4233506157218156
456.73,0.4084636597543023
456.94,0.39642235886177807
457.15,0.3799747333225681
457.35,0.35248160631540215
457.56,0.3697537670662281
457.76,0.32841283909106694
457.97,0.33247297299778056
458.18,0.3023153195722
458.38,0.27330155222085206
458.59,0.22638990676913762
458.79,0.23862830395983886
459.0,0.2290332809719063
459.2,0.23154511136608483
459.41,0.2517328526724939
459.62,0.23813090523449437
459.82,0.24733826913421228
460.03,0.23418020014831975
460.23,0.2632205258707788
460.44,0.27700562907657866
460.64,0.275588183708752
460.85,0.29354127622334325
461.06,0.31203578420690786
461.26,0.3114135530051374
461.47,0.3170754801344534
461.67,0.31669373270251583
461.88,0.32522602889937985
462.08,0.32232864354402196
462.29,0.29323053226378687
462.49,0.28111573865562806
462.7,0.2569690373724768
462.91,0.23284022001403692
463.11,0.20235267824118888
463.32,0.19762613705610135
463.52,0.17387311041701978
463.73,0.15155761543839052
463.93,0.13488499244420482
464.14,0.12533740297978282
464.34,0.10438600830818542
464.55,0.10721565054958201
464.75,0.1041771069354795
464.96,0.09585110473144308
465.16,0.10750217233532718
465.37,0.07660134520996184
465.58,0.10308043444267995
465.78,0.11485647550556274
465.99,0.11755805502682126
466.19,0.11971261538034773
466.4,0.10452019250712168
