Wavelength [nm],#32-OG515 Jaune.csv
400.08,0.06005800311876071
400.29,0.04824718184701676
400.5,0.05186535024172634
400.71,0.10934735408538598
400.92,0.0442962670433546
401.13,0.04714993236579601
401.34,0.058867521900194
401.54,0.08931207026890822
401.75,0.10708023647338127
401.96,0.10341338599913417
402.17,0.11237980451549133
402.38,0.050411435674331935
402.59,0.11430867479160628
402.8,0.10851811048872205
403.01,0.08560173483595229
403.22,0.05396141608761297
403.43,0.06681343309483793
403.63,0.09222070956895846
403.84,0.0201324689306528
404.05,0.09402792376399673
404.26,0.07648583917975942
404.47,0.0809714814651563
404.68,0.047924928544958154
404.89,0.09013398888872635
405.1,0.03336486590136277
405.31,0.054104268797707834
405.52,0.043555597163386195
405.72,0.055417841469919855
405.93,0.056790146662844675
406.14,0.03344559126296993
406.35,0.024820825098701003
406.56,0.09654949181070763
406.77,0.06462408375071702
406.98,0.06323046152432893
407.19,0.07322896722603901
407.39,0.05307901701679983
407.6,0.05029327449385129
407.81,0.06620338026344406
408.02,0.07516090695722925
408.23,0.06979141640275204
408.44,0.08276406896231242
408.65,0.08506176323730548
408.86,0.07410892785123577
409.06,0.04057962422666665
409.27,0.04692870818785904
409.48,0.0770729145935051
409.69,0.08023359312246275
409.9,0.0970506442476208
410.11,0.036279270350850316
410.32,0.075223826292605
410.52,0.057426437122373095
410.73,0.07339025039411998
410.94,0.04999737132642872
411.15,0.08620640066397957
411.36,0.032583925581543376
411.57,0.05427623140704613
411.78,0.03866779109789416
411.98,0.05804818110734636
412.19,0.02203945359418583
412.4,0.0745974236705735
412.61,0.025964955134786517
412.82,0.05780223065146176
413.03,0.012155046787117617
413.23,0.050637950179128914
413.44,0.05290604479079914
413.65,0.04999758824249669
413.86,0.055495129195951516
414.07,0.083001160881669
414.28,0.06164034218372268
414.48,0.06368205606508114
414.69,0.03677043324111631
414.9,0.08732906792000597
415.11,0.07216927786516568
415.32,0.01815246274764829
415.53,0.023226761155128926
415.73,0.05401046257838277
415.94,0.0726724090634773
416.15,0.05643572250253424
416.36,0.03821091945142706
416.57,0.04720424724955518
416.78,0.06650143035771933
416.98,0.034979431378918936
417.19,0.03261894695762468
417.4,0.05338208270399219
417.61,0.042224765907939464
417.82,0.07495897232754234
418.02,0.06657009675562245
418.23,0.06136274871240801
418.44,0.029241154330654433
418.65,0.05640350395932778
418.86,0.05137943788453053
419.07,0.0815531758599942
419.27,0.06723929673869283
419.48,0.07977272277325735
419.69,0.04408385033600818
419.9,0.05818542112843425
420.11,0.056437561478368044
420.31,0.08905262776761956
420.52,0.052052289468890005
420.73,0.07979005504654271
420.94,0.03132862958502671
421.15,0.04963339528084514
421.35,0.059131968443883055
421.56,0.0228344958578012
421.77,0.060876778123024576
421.98,0.05370001656505686
422.19,0.05211432391776705
422.39,0.020972306618009966
422.6,0.04536117948195774
422.81,0.05212945410408928
423.02,0.028401037723324054
423.22,0.06821005731852242
423.43,0.004309732089301292
423.64,0.04687121916972545
423.85,0.03717820968007201
424.06,0.04428060722597543
424.26,0.03747004966598439
424.47,0.044028886821325025
424.68,0.08124539224480758
424.89,0.057363645525505644
425.09,0.031041977772091084
425.3,0.062158463154615776
425.51,0.0539168045959474
425.72,0.021347737466996922
425.93,0.03271249619238732
426.13,0.07150002716687817
426.34,0.049472314222778285
426.55,0.02919499621924018
426.76,0.010102610078533652
426.96,0.027689250190402446
427.17,0.041696707894061
427.38,0.05331488773012667
427.59,0.025922559757146257
427.79,0.056644953636294
428.0,0.034784893876856994
428.21,0.04913063763145933
428.42,0.04872626131085449
428.62,0.01797020403818995
428.83,0.04228943442289437
429.04,0.051692925326187925
429.25,0.03747004966598439
429.45,0.05857090720827006
429.66,0.03895974076819915
429.87,0.08484388376488075
430.08,0.022003889649211298
430.28,0.05067086691433499
430.49,0.02115208287224536
430.7,0.03113890660074946
430.91,0.053571054951952565
431.11,0.0541807786433465
431.32,0.04604365920829194
431.53,0.03826457320739408
431.74,0.014258304386337604
431.94,0.03372938464266717
432.15,0.021759880558571063
432.36,0.061285413423144246
432.56,0.04242634334497096
432.77,0.02692073230684525
432.98,0.02935678582310172
433.19,0.03421661367362139
433.39,0.06112266820298734
433.6,0.020942865534367232
433.81,0.04322863257691572
434.02,0.043268438091300016
434.22,0.06315741345877142
434.43,0.029578174741160673
434.64,0.04297006323002985
434.84,0.044318430466910815
435.05,0.04107650514877759
435.26,0.028466179942455493
435.47,0.04066621371581723
435.67,0.037317779604082085
435.88,0.038262843728523024
436.09,0.03555317724369168
436.29,0.0044583887843889745
436.5,0.02861329933010514
436.71,0.03441111682306472
436.92,0.04367177893283647
437.12,0.025301388219969134
437.33,0.0217113272589802
437.54,0.030839003373968988
437.74,0.04610355295014074
437.95,0.04614507519986613
438.16,0.03418944330153089
438.36,0.02412235103023308
438.57,0.04607207158524576
438.78,0.019057767219242957
438.99,0.01712825358846109
439.19,0.04472821356607173
439.4,0.018505729579362393
439.61,0.04186069298320823
439.81,0.05606018558465699
440.02,0.01643865509932609
440.23,0.0427226443394433
440.43,0.03187907951671554
440.64,0.021866065500081026
440.85,0.02503972174347809
441.05,0.031262780134498465
441.26,0.03130263081479763
441.47,0.04360471384181944
441.67,0.0235302355734154
441.88,0.04748013347552378
442.09,0.037184288122759646
442.29,0.032137629955725174
442.5,0.033075520187726616
442.71,0.03880739953101566
442.91,0.014692151564113264
443.12,0.023252720538488907
443.33,0.030868224055662703
443.53,0.023713971425669375
443.74,0.010336693116019754
443.95,0.04556904905342637
444.15,0.01818682282220957
444.36,0.039982867353608474
444.57,0.05112814203641209
444.77,0.05102580506585803
444.98,0.0212857459847603
445.19,0.035142372070234636
445.39,0.023146420297305126
445.6,0.02366397473904206
445.81,0.02170297385753827
446.01,0.0021540707472728366
446.22,0.017026162369438987
446.43,0.0323949778478508
446.63,0.029173675926467205
446.84,0.01950843161027226
447.05,0.04211114022993747
447.25,0.04852132608907833
447.46,0.039216775756498186
447.67,0.04244566903058954
447.87,0.028248756879172745
448.08,0.01775224810815231
448.28,0.027821097046413525
448.49,0.05097568851778385
448.7,0.024476520944600982
448.9,0.03796555184165829
449.11,0.013285016449432108
449.32,0.03296349265434157
449.52,0.02582667451215433
449.73,0.03200008300391158
449.93,0.03376026931523038
450.14,0.019448114346713445
450.35,0.028122258575014117
450.55,0.02644488748213963
450.76,0.006979874585508412
450.97,0.02329317601657915
451.17,0.02382849908468859
451.38,0.02775380572130032
451.58,0.034425795520728567
451.79,0.030564219815648327
452.0,0.0156405749542515
452.2,0.025653856617201747
452.41,0.032981822819081644
452.62,0.03028722435365863
452.82,0.018197020339314446
453.03,0.013332308920290017
453.23,0.017633304618413902
453.44,0.02185279856807471
453.65,0.00526919313103743
453.85,0.02874730537959745
454.06,0.017062463555287746
454.26,0.03586773584792386
454.47,0.03675216721663914
454.68,0.034079035550740024
454.88,0.03288557478656396
455.09,0.02577896544247349
455.29,0.015361027820636005
455.5,0.03497617970552553
455.71,0.019356870467334055
455.91,0.034613914409437306
456.12,0.017981058534577567
456.32,0.028149867700146585
456.53,0.0449074409594566
456.73,0.0351590422554983
456.94,0.018345875852317672
457.15,0.03299296142557256
457.35,0.020812982840148042
457.56,0.023144360679859765
457.76,0.03478395935932462
457.97,0.0242265476848291
458.18,0.027330441865125715
458.38,0.02991446147385356
458.59,0.03908958799592173
458.79,0.04493296054453369
459.0,0.016546088748036467
459.2,0.028961313095040003
459.41,0.020904940900512564
459.62,0.013851433531494312
459.82,0.030812384566662604
460.03,0.015506911866412263
460.23,0.04557733544081607
460.44,0.026701319569135847
460.64,0.016471649419959426
460.85,0.026381446958876533
461.06,0.037789298184269085
461.26,0.026877497804990585
461.47,0.01680317161398472
461.67,0.027132308049609158
461.88,0.01671863586220772
462.08,0.028363831795759492
462.29,0.025726227252667395
462.49,0.034922498469199294
462.7,0.024563077963611162
462.91,0.03013154052517168
463.11,0.019895775787308334
463.32,0.031723412530330695
463.52,0.014122337635085528
463.73,0.020825541705526196
463.93,0.022998473653435814
464.14,0.030200168027069332
464.34,0.0318700313168519
464.55,0.00616985741694159
464.75,0.01765101447288958
464.96,0.02598127289836233
465.16,0.029452515346724387
465.37,0.022426467914924576
465.58,0.010158131741543633
465.78,0.014988287199240561
465.99,0.015190171309915224
466.19,0.03526980450356112
466.4,0.02724926737523511
466.6,0.0335048495591775
466.81,0.026631927928951252
467.01,0.021765985500434668
467.22,0.021607746251092515
467.42,0.02753307676235283
467.63,0.014198793733147658
467.83,0.015639765460445182
468.04,0.008308915558168409
468.24,0.01867595206625432
468.45,0.01677291259377063
468.65,0.01777645815034892
468.86,0.027345614141151695
469.06,0.018773656133269045
469.27,0.024007085526762083
469.47,0.029009100165865106
469.68,0.019283516456520284
469.88,0.012059321340707616
470.09,0.009818925730666868
470.29,0.027614939794444744
470.5,0.019096784372598274
470.7,0.02140651922070439
470.91,0.015526302476419963
471.11,0.023638797180333734
471.32,0.020258226548980657
471.52,0.018430812735912714
471.73,0.015997415191563162
471.93,0.0182981535243786
472.14,0.01741073656543029
472.34,0.02049385317488925
472.55,0.014708488392698931
472.75,0.011603546052353215
472.96,0.023283014973438886
473.16,0.01790590669100388
473.37,0.02390120669670012
473.57,0.017276324473925037
473.78,0.017260693580667365
473.98,0.01555353164313113
474.19,0.015032884123793226
474.39,0.014822649264979339
474.6,0.011427799485845528
474.8,0.016403898183814495
475.01,0.013686747673252906
475.21,0.01637211126262222
475.42,0.010139768587061171
475.62,0.0114989993036517
475.83,0.016025356879006705
476.03,0.018894998504118608
476.24,0.014567945032835462
476.44,0.01944898407539692
476.64,0.01617463188491394
476.85,0.019707821488688507
477.05,0.016164394680711954
477.26,0.01667838488899881
477.46,0.013192106260349442
477.67,0.013650323477420592
477.87,0.005776150914667892
478.08,0.015477534129935994
478.28,0.013728362241975621
478.49,0.0006068116596166496
478.69,0.01247644698970513
478.9,0.016950464461403986
479.1,0.011905075035657537
479.3,0.007882126420667528
479.51,0.010063147164684644
479.71,0.01231691972081758
479.92,0.006151132806459576
480.12,0.009052054469065212
480.33,0.017248611567498722
480.53,0.017670201560109327
480.74,0.011311660806448305
480.94,0.018819597770467114
481.14,0.012551590472991503
481.35,0.017642741863999247
481.55,0.005363589560434804
481.76,0.008772413704887794
481.96,0.011149473382375753
482.17,0.009926627935478079
482.37,0.007928171287047252
482.57,0.013335771989663934
482.78,0.007514339426240072
482.98,0.015854226800025625
483.19,0.01318033370372305
483.39,0.012870646537544439
483.6,0.008536120724619562
483.8,0.011405685461652541
484.0,0.013565450895348273
484.21,0.01562713785191506
484.41,0.013166737440020495
484.62,0.011102079957149623
484.82,0.009403723665212091
485.02,0.014970079106461594
485.23,0.0037176763732841107
485.43,0.0043902216193993475
485.64,0.012742564883369579
485.84,0.014372601876220546
486.05,0.015572650441298195
486.25,0.017655700448552462
486.45,0.009313380926610566
486.66,0.012544684209294324
486.86,0.008598662311981227
487.07,0.012251695804694226
487.27,0.011196751431847325
487.47,0.009539708561870107
487.68,0.0063267697690923864
487.88,0.01696572997780537
488.09,0.014459986600416959
488.29,0.009182642648778114
488.49,0.008723968404122623
488.7,0.012953619535589048
488.9,0.006231252057652833
489.1,0.011071606846074262
489.31,0.014403188809659028
489.51,0.011441075100245347
489.72,0.014049611478290295
489.92,0.01471246998206286
490.12,0.010324272997786528
490.33,0.013904384129199959
490.53,0.009533822941489419
490.74,0.01066011094899254
490.94,0.007405065346561354
491.14,0.005941807120371979
491.35,0.011556316789836707
491.55,0.006006501713750394
491.75,0.010679150388704135
491.96,0.009564145693758486
492.16,0.012933885026589943
492.36,0.006842745783266632
492.57,0.012253204097011179
492.77,0.008753269649551181
492.98,0.010191746051436447
493.18,0.007971622797598877
493.38,0.009255345302377248
493.59,0.008435870815447867
493.79,0.011420719824226669
493.99,0.006037810904980858
494.2,0.005897225762134571
494.4,0.011470912854202719
494.6,0.012940095318476995
494.81,0.008108515761935232
495.01,0.01399783502015039
495.22,0.01077421720901189
495.42,0.010966851704082256
495.62,0.009905971812991675
495.83,0.008829522818713945
496.03,0.012286349470398273
496.23,0.008543874031599306
496.44,0.012673883699491342
496.64,0.013185296566702177
496.84,0.006408266555637897
497.05,0.007806145587197768
497.25,0.011798884164436444
497.45,0.0034820366040249438
497.66,0.011001723459205574
497.86,0.0011568098337190356
498.06,0.005406851010025503
498.27,0.0064375003066904374
498.47,0.007481892155256903
498.67,0.007038459002978507
498.88,0.007852841407068496
499.08,0.00859731604268265
499.28,0.008521152637404506
499.49,0.00930259068102977
499.69,0.01009821703270131
499.89,0.0110243139422353
500.1,0.012299820706650024
500.3,0.010613981242547166
500.5,0.0070055663858619825
500.7,0.014212375438899
500.91,0.014678911744456465
501.11,0.01459812365450628
501.31,0.01184463281531048
501.52,0.011334995806494101
501.72,0.013317199709808946
501.92,0.014301795308821467
502.13,0.010554362010373634
502.33,0.012630042573000117
502.53,0.01256657864437921
502.74,0.016232707391059146
502.94,0.01739419909292584
503.14,0.015578991278956088
503.34,0.018649799234903588
503.55,0.018030237108325763
503.75,0.026673255883883355
503.95,0.023181665367865444
504.16,0.02992201420746906
504.36,0.02864196783680804
504.56,0.03155971559622064
504.76,0.03513641466384406
504.97,0.038743392443805605
505.17,0.041876662293727274
505.37,0.04397833324905869
505.58,0.04682765280204388
505.78,0.04992863979216883
505.98,0.052293547986999145
506.18,0.05553181631898541
506.39,0.0628565575344746
506.59,0.06529800241451308
506.79,0.06822427407756054
507.0,0.07491392232362586
507.2,0.07492608201382434
507.4,0.0895347129734849
507.6,0.08905699962578356
507.81,0.09704281878960844
508.01,0.09964325053019218
508.21,0.11304837820923583
508.41,0.11008266850276856
508.62,0.114667183539528
508.82,0.11389092291765378
509.02,0.12670055623565912
509.23,0.1330386623828301
509.43,0.13981044367169596
509.63,0.15045725728104103
509.83,0.15327644853808475
510.04,0.16188600414876061
510.24,0.17305938452084685
510.44,0.17826090559412097
510.64,0.18835555239597276
510.85,0.19651450496647183
511.05,0.20249708317437662
511.25,0.20205922898746173
511.45,0.21508581099611784
511.66,0.22668466919184677
511.86,0.2272549042737664
512.06,0.24045188177698562
512.26,0.2411846793335353
512.46,0.24905748633610178
512.67,0.2791265170073226
512.87,0.26462446521611205
513.07,0.288051935038257
513.27,0.2892158950850613
513.48,0.29816286462869335
513.68,0.29557109662999953
513.88,0.3216521295566745
514.08,0.316009373376616
514.29,0.32454844784686565
514.49,0.3300082921788006
514.69,0.3572337666227521
514.89,0.3578325545798216
515.09,0.35580573192220166
515.3,0.3797834641321052
515.5,0.3738821421887359
515.7,0.3814887459994992
515.9,0.3956670111215018
516.11,0.39996102127787453
516.31,0.3978168530575537
516.51,0.4165575191589647
516.71,0.4201850357250458
516.91,0.413307210690065
517.12,0.4386134103241092
517.32,0.45074544619887863
517.52,0.46293518332591815
517.72,0.44904667084331473
517.92,0.4777433620118613
518.13,0.4830141630600834
518.33,0.4884794321784854
518.53,0.4845773629653282
518.73,0.49556468188099567
518.93,0.4961437651432948
519.14,0.5040890688780936
519.34,0.4961586120407937
519.54,0.5186588230004526
519.74,0.5269315887389016
519.94,0.5381367620626285
520.15,0.5440963165528813
520.35,0.5328738160272338
520.55,0.5575619082446613
520.75,0.5624440007516088
520.95,0.5727951954053052
521.16,0.5635112078846163
521.36,0.5777802214674449
521.56,0.5748560191608787
521.76,0.5805912105113079
521.96,0.586392293971904
522.16,0.5898054545886776
522.37,0.5859495966850014
522.57,0.5986654370717975
522.77,0.6115870891752342
522.97,0.60650713115991
523.17,0.6016922568765242
523.37,0.6091790208480885
523.58,0.6223655308566541
523.78,0.6256412519576001
523.98,0.6361021562993122
524.18,0.644634727365824
524.38,0.6383841369105672
524.58,0.6453341096658491
524.79,0.6526449140850221
524.99,0.6618197189976621
525.19,0.6735937051837784
525.39,0.6536151685164716
525.59,0.6606948683179338
525.79,0.6692636924192963
526.0,0.6721105512923874
526.2,0.6567322435513478
526.4,0.6709573378383249
526.6,0.6744525677169397
526.8,0.7036377225826397
527.0,0.6853827063685737
527.2,0.690258410456725
527.41,0.6912777871338759
527.61,0.7002950094588061
527.81,0.697746228682719
528.01,0.7138893613021453
528.21,0.711831263370236
528.41,0.7002350064135517
528.61,0.7224866678118612
528.82,0.7138533964908986
529.02,0.6991804957299834
529.22,0.7289574788059049
529.42,0.7108576480390527
529.62,0.7042825157973954
529.82,0.7329406694992691
530.02,0.7162902354414722
530.22,0.7279399599190165
530.43,0.7298668183047107
530.63,0.726112789368221
530.83,0.7405695691732336
531.03,0.7300818527272183
531.23,0.7424977201812694
531.43,0.7397128343771601
531.63,0.7489351624495004
531.83,0.7493464897905202
532.03,0.7534520830954792
532.24,0.7500127103761302
532.44,0.76171321716369
532.64,0.7456507917202192
532.84,0.7431058594721209
533.04,0.7532728516077163
533.24,0.7509490911400836
533.44,0.7710315722571882
533.64,0.7643021907764764
533.84,0.7611178408919885
534.04,0.7670154111444324
534.25,0.7564420542588203
534.45,0.765071284293625
534.65,0.7532952122318278
534.85,0.763603723307564
535.05,0.7711998938836901
535.25,0.7834961953433796
535.45,0.7919802521643108
535.65,0.7732635068906762
535.85,0.7662608569723995
536.05,0.7775981967421357
536.25,0.7786361944414071
536.46,0.77298734301235
536.66,0.7877742621997282
536.86,0.7947138266305205
537.06,0.7815659979764558
537.26,0.7864485158732929
537.46,0.7918301418551217
537.66,0.7852880380952815
537.86,0.7928148228316964
538.06,0.7895405099740183
538.26,0.7849307789440003
538.46,0.8062659694702078
538.66,0.8027025278525552
538.86,0.8063275114800296
539.07,0.8047056592517978
539.27,0.7862251734646956
539.47,0.8072116896420366
539.67,0.8002052386922873
539.87,0.7906042426156098
540.07,0.8013959047784487
540.27,0.812753384797984
540.47,0.7926283036395722
540.67,0.8024419556546427
540.87,0.8017992451776856
541.07,0.8349366878678443
541.27,0.8100373652733295
541.47,0.8132009908683545
541.67,0.8134414666533404
541.87,0.8047391409599822
542.07,0.7970759929817669
542.27,0.8088112505344873
542.47,0.8072103586405338
542.67,0.8050512512591401
542.87,0.8064782123811108
543.08,0.8157512275658502
543.28,0.8143179388854129
543.48,0.8046122739569984
543.68,0.8140906023025216
543.88,0.8177517983777687
544.08,0.8313466730793407
544.28,0.8163967265645237
544.48,0.8167641935239014
544.68,0.8231012797144739
544.88,0.8315412751769519
545.08,0.8289913613929961
545.28,0.8349723432782545
545.48,0.818923380775196
545.68,0.820602342068411
545.88,0.8365650387158649
546.08,0.8263643145980962
546.28,0.8256735064011245
546.48,0.821990091837751
546.68,0.8229485523602545
546.88,0.8329527700997477
547.08,0.8498525972975082
547.28,0.8266499827715155
547.48,0.8097840356163356
547.68,0.8368785494729691
547.88,0.8377938456468377
548.08,0.8336393476583572
548.28,0.8321259230499827
548.48,0.8374324307279996
548.68,0.837527752040316
548.88,0.8405269095219293
549.08,0.8511643176031537
549.28,0.846210330995612
549.48,0.8475219101189156
549.68,0.8339337640294207
549.88,0.8402914155923392
550.08,0.8268995811411484
550.28,0.8293021768432935
550.48,0.8404133780194621
550.68,0.8220642619792707
550.88,0.8396659250528836
551.08,0.8369793022564774
551.28,0.8411176212235897
551.48,0.8382031733881972
551.68,0.8357282491314658
551.88,0.8345121881887104
552.08,0.8568064676585117
552.28,0.828115595145257
552.48,0.8217186183840042
552.68,0.8336663294258428
552.88,0.8302236684135791
553.08,0.8449615847644983
553.28,0.8291994790321429
553.48,0.840612328240695
553.68,0.8372557360417804
553.88,0.8539538756190299
554.08,0.8431307736789624
554.28,0.8577611173279147
554.47,0.846009417064343
554.67,0.8597089999321896
554.87,0.847135946937478
555.07,0.8551644111050091
555.27,0.8495421546765302
555.47,0.8214947612861425
555.67,0.8394847238975922
555.87,0.8433109264494373
556.07,0.859813149187104
556.27,0.8515814456049065
556.47,0.849486094994595
556.67,0.8556180982411936
556.87,0.8463744244568863
557.07,0.852264801240665
557.27,0.8552487007461004
557.47,0.8386218361719109
557.67,0.8520168222777253
557.87,0.8569738761750701
558.07,0.8478201129874041
558.26,0.8324809129315094
558.46,0.8465114163062012
558.66,0.8576529827032723
558.86,0.8533915901303135
559.06,0.8719972119911911
559.26,0.8517058049842382
559.46,0.849382406244641
559.66,0.8434646683844009
559.86,0.8610277032967554
560.06,0.8618805619001374
560.26,0.8649973258025601
560.46,0.8600632008725076
560.66,0.8450332602475008
560.86,0.8541901104558494
561.05,0.8540373124359945
561.25,0.8399995424268607
561.45,0.8583925121220438
561.65,0.8428489558764269
561.85,0.8448263034426196
562.05,0.8321550923466753
562.25,0.8427714993778729
562.45,0.8577165159012997
562.65,0.8506575683745939
562.85,0.8550948953424549
563.05,0.8637914329942015
563.24,0.8703931466879723
563.44,0.8559181011565999
563.64,0.8494576797987727
563.84,0.8540624402149086
564.04,0.8608138385090058
564.24,0.8450382161843495
564.44,0.8545343057858232
564.64,0.8408721255081648
564.84,0.865955069155126
565.03,0.8529073908271257
565.23,0.862594287405695
565.43,0.8546647489500926
565.63,0.8575266122374611
565.83,0.8398849192616935
566.03,0.8373545001266165
566.23,0.8466040702757058
566.43,0.8478352077650733
566.63,0.8570090791758005
566.82,0.8544843450831302
567.02,0.8546835560707612
567.22,0.8581919943981148
567.42,0.8409355712762415
567.62,0.8408749864636995
567.82,0.8408547787240751
568.02,0.8467554558273405
568.22,0.8488910355928045
568.41,0.8561749925603767
568.61,0.8609309520717249
568.81,0.842525346797279
569.01,0.8628411721770368
569.21,0.8601697208424283
569.41,0.8498999349218556
569.61,0.8619448001153036
569.8,0.8671267133221435
570.0,0.8467656508969117
570.2,0.8755719164701196
570.4,0.8664398113604789
570.6,0.8774551765566913
570.8,0.8657981767724628
571.0,0.8778622536339484
571.19,0.8948716227948234
571.39,0.8614382736763927
571.59,0.8556379750610362
571.79,0.8533066697352611
571.99,0.8627856811026196
572.19,0.8578905510948313
572.38,0.862291535552858
572.58,0.8578715037889381
572.78,0.8687403353731301
572.98,0.8644573075125577
573.18,0.8798080554738478
573.38,0.8776625611443292
573.57,0.8551052444667093
573.77,0.8721221651172343
573.97,0.8621249850746785
574.17,0.8684899063207759
574.37,0.8644259880207581
574.57,0.8631902475990153
574.76,0.8432757536204945
574.96,0.8663873477277912
575.16,0.8523549699312788
575.36,0.8718498979819803
575.56,0.8659676114564538
575.75,0.8671394536716277
575.95,0.8554212904863657
576.15,0.8520647385291643
576.35,0.8678923690088637
576.55,0.8668566422590024
576.74,0.8531342108962722
576.94,0.8672038111004922
577.14,0.871487506730788
577.34,0.8745220424664866
577.54,0.8705794584269022
577.74,0.8623270589865504
577.93,0.8636642947708123
578.13,0.8450627298345951
578.33,0.8350124445424586
578.53,0.8480247618101583
578.72,0.8430004620047001
578.92,0.8497840119836576
579.12,0.8778162449333318
579.32,0.8568921609877166
579.52,0.8784674282807334
579.71,0.8690127211017268
579.91,0.8581569913909539
580.11,0.8577473625195224
580.31,0.8791657469631077
580.51,0.8633811719529781
580.7,0.8698328718099452
580.9,0.8737106338723583
581.1,0.866410963212777
581.3,0.8760763749919115
581.49,0.8621236127771533
581.69,0.8434881835775323
581.89,0.8625072294227666
582.09,0.8680032200283869
582.29,0.8797258946306034
582.48,0.8878112634486259
582.68,0.8732596945026154
582.88,0.8758571630358386
583.08,0.8775002589524918
583.27,0.8570828163217753
583.47,0.860015561546185
583.67,0.8693308597123574
583.87,0.8709886105183959
584.06,0.8718439482916709
584.26,0.8756859142231572
584.46,0.8821045506138604
584.66,0.8661866233009715
584.85,0.8681744827500755
585.05,0.8638083100870201
585.25,0.8678790564919556
585.45,0.8802062789839052
585.64,0.8776498622261876
585.84,0.8669110235871239
586.04,0.8534825078400305
586.24,0.875251361284113
586.43,0.8822691157962321
586.63,0.8620556857778716
586.83,0.8677465643371645
587.03,0.8762518230351193
587.22,0.8697813796901916
587.42,0.875251361284113
587.62,0.8784356358459299
587.82,0.8790716212839612
588.01,0.8679338000958791
588.21,0.8846566177397246
588.41,0.8855939021936206
588.6,0.8700510791735677
588.8,0.8690117965248305
589.0,0.862820563104264
589.2,0.8621360049048907
589.39,0.855643994812657
589.59,0.876620897941069
589.79,0.8611951213361688
589.98,0.8618106702191238
590.18,0.8718223354335405
590.38,0.852355389679084
590.58,0.8784005813823943
590.77,0.873856634933187
590.97,0.853497167937826
591.17,0.8675806133874039
591.36,0.8561140550273807
591.56,0.8669812581281586
591.76,0.8593753513971467
591.96,0.857373414219927
592.15,0.8798862588657522
592.35,0.8765231233079464
592.55,0.8742625603989799
592.74,0.8673222002280458
592.94,0.8768217909822674
593.14,0.8685342317402629
593.33,0.8527614726491016
593.53,0.8713057927756827
593.73,0.8592681546528275
593.92,0.8644376386171987
594.12,0.8599782409554984
594.32,0.8635588451287637
594.51,0.8589946885334928
594.71,0.8704442544830322
594.91,0.8702042273850584
595.11,0.8736293411752882
595.3,0.8756932366136945
595.5,0.8629546727640964
595.7,0.8736170591385484
595.89,0.8722622578282533
596.09,0.8668768794759473
596.29,0.8542896577052402
596.48,0.8584617315844173
596.68,0.870991485416547
596.88,0.8615086570517113
597.07,0.8696035028841324
597.27,0.880173258527222
597.47,0.8830072414801838
597.66,0.8693032547173452
597.86,0.8714275670486659
598.06,0.8708619715017266
598.25,0.8764414143691103
598.45,0.8579976716879728
598.64,0.8658584143379617
598.84,0.8558796549869896
599.04,0.8729112179172361
599.23,0.8631957088725949
