Wavelength [nm],#33-Jaune.csv
400.08,0.0965212702391536
400.29,0.05664500083071956
400.5,0.09615777183627343
400.71,0.06590088355296579
400.92,0.07244659791100248
401.13,0.10108484185452454
401.34,0.054709351893862015
401.54,0.10074928131733638
401.75,0.07976063018190663
401.96,0.052025314608435985
402.17,0.05506657997261742
402.38,0.0946426351771287
402.59,0.021773760217594997
402.8,0.0466895278290689
403.01,0.09369375488165183
403.22,0.06353117054915446
403.43,0.0819759917890134
403.63,0.07336475991608817
403.84,0.018831184028834276
404.05,0.05266542838356064
404.26,0.03201065296462035
404.47,0.014256818638182468
404.68,0.07871342588056895
404.89,0.05487837593955628
405.1,0.08880423388643167
405.31,0.09890985606518483
405.52,0.06177358578884551
405.72,0.08283315477818075
405.93,0.08291784343118692
406.14,0.03976294033968254
406.35,0.0592389136246292
406.56,0.08935068298051406
406.77,0.03323563018530483
406.98,0.07019529080667593
407.19,0.041919135037729524
407.39,0.0661942660885893
407.6,0.06331917721276355
407.81,0.07520692893858992
408.02,0.012399739311561067
408.23,0.08557824615048601
408.44,0.045182058983815616
408.65,0.06454204024922393
408.86,0.04396924451305985
409.06,0.05941487086761553
409.27,0.034404775312535246
409.48,0.05588326212243762
409.69,0.05609274254824918
409.9,0.07799102723965502
410.11,0.08815419000899832
410.32,0.05354938472133793
410.52,0.08412494937136991
410.73,0.057453473373871425
410.94,0.045500317462885194
411.15,0.03708999469966846
411.36,0.011577176537028316
411.57,0.07731590558390462
411.78,0.08241569792074378
411.98,0.036195819008493585
412.19,0.0469412267665561
412.4,0.06464685833369793
412.61,0.03551431831973959
412.82,0.08138524990809978
413.03,0.050461607840026096
413.23,0.0972324066120551
413.44,0.05988708131568268
413.65,0.03968268692048254
413.86,0.05879374923368393
414.07,0.06629047588634635
414.28,0.02590428641922072
414.48,0.04927716461992854
414.69,0.06983811493494288
414.9,0.06779508839867435
415.11,0.08036204362353067
415.32,0.06386811527580012
415.53,0.052168190454236214
415.73,0.06257145386726617
415.94,0.05945392366635581
416.15,0.045881312239699046
416.36,0.01725690898195924
416.57,0.08478787502329341
416.78,0.06340695996111509
416.98,0.07151017845605766
417.19,0.07481002092208965
417.4,0.06290114555948277
417.61,0.06935129759246406
417.82,0.045592590496670665
418.02,0.030430664660983937
418.23,0.07252492143042262
418.44,0.0462720112722219
418.65,0.06860518278743992
418.86,0.06243562159217004
419.07,0.03845287796739058
419.27,0.0242757734369599
419.48,0.01592920353982305
419.69,0.06541260823926155
419.9,0.06386470502112711
420.11,0.0433714149508677
420.31,0.043756902076506725
420.52,0.05874143661981517
420.73,0.06962198935644925
420.94,0.05448412051128105
421.15,0.0906367483128317
421.35,0.06765089428292234
421.56,0.05331488773012667
421.77,0.06831537790026794
421.98,0.03925268857368368
422.19,0.0603747655393987
422.39,0.05830415383943952
422.6,0.0346239330344133
422.81,0.04940829464218714
423.02,0.055334479182739094
423.22,0.05597443180856362
423.43,0.04864831129926464
423.64,0.05539821621492671
423.85,0.04524654870509934
424.06,0.04428060722597543
424.26,0.07099538249155046
424.47,0.048766107401992394
424.68,0.0751876695563118
424.89,0.058267419594992216
425.09,0.02023575447586905
425.3,0.07597734631049079
425.51,0.039163070554558664
425.72,0.06045744684331582
425.93,0.05890259106082449
426.13,0.03951342523195723
426.34,0.04859625183957347
426.55,0.07542380592308588
426.76,0.04621096682833803
426.96,0.06494601723918142
427.17,0.03051363536499708
427.38,0.04703951293288319
427.59,0.059951465966503595
427.79,0.06772319717986056
428.0,0.036503887832552706
428.21,0.04995676218608013
428.42,0.05296544909467421
428.62,0.03556357171828752
428.83,0.0389378663893787
429.04,0.04647767102000747
429.25,0.03394106726329322
429.45,0.04598705968557359
429.66,0.04976661918526358
429.87,0.08484388376488075
430.08,0.041227400417777164
430.28,0.07041117024881952
430.49,0.049918225742938555
430.7,0.05542113951802391
430.91,0.053571054951952565
431.11,0.05844891592383681
431.32,0.04767435380793588
431.53,0.03497095873207693
431.74,0.05053853907219675
431.94,0.06027528066896752
432.15,0.04948328475326743
432.36,0.04423263979155777
432.56,0.06384172863757545
432.77,0.048787682142646484
432.98,0.04156613442910044
433.19,0.04681036606255542
433.39,0.05165499763024436
433.6,0.05330839064066914
433.81,0.03871556008907098
434.02,0.05854704098109675
434.22,0.023530392639389837
434.43,0.03407433763811282
434.64,0.03399790757281138
434.84,0.04358554582769832
435.05,0.021406279613367895
435.26,0.04326486722436782
435.47,0.04439903000486074
435.67,0.04027532866827845
435.88,0.03969400021106987
436.09,0.030522530627228078
436.29,0.023749160489604966
436.5,0.0641341562948998
436.71,0.03218967000593987
436.92,0.01990338747356486
437.12,0.05027587222287384
437.33,0.03952430382017867
437.54,0.04372497883645646
437.74,0.04952008750261159
437.95,0.05705042876084327
438.16,0.049467051832524554
438.36,0.06832586823095423
438.57,0.042657869980325384
438.78,0.03848236588816884
438.99,0.03524570513521757
439.19,0.030143911483110995
439.4,0.037367664769326604
439.61,0.040498732347789904
439.81,0.05735680620885389
440.02,0.06419688313256092
440.23,0.03815485872961106
440.43,0.014779117606005358
440.64,0.02567203411681223
440.85,0.05577870241503395
441.05,0.04875386882651447
441.26,0.049384981706254744
441.47,0.039608633258985816
441.67,0.014738867919413994
441.88,0.037279117502035414
442.09,0.02319357104132022
442.29,0.0429624064627993
442.5,0.04058163823849232
442.71,0.03945994033242027
442.91,0.009461585679914794
443.12,0.06278165743575632
443.33,0.03883915024574636
443.53,0.01650447459927432
443.74,0.0392044877366051
443.95,0.04750894936022835
444.15,0.0348486429251639
444.36,0.031300541864558426
444.57,0.030418637199905212
444.77,0.04588927356418473
444.98,0.03464052138067975
445.19,0.03957704271731825
445.39,0.027714205907137367
445.6,0.05524017219250124
445.81,0.028248756879172745
446.01,0.054900901584637146
446.22,0.036239396270162434
446.43,0.04785762724917587
446.63,0.025562418676348668
446.84,0.02551634563226814
447.05,0.03957704271731825
447.25,0.030432377915866893
447.46,0.038598908731261206
447.67,0.035314255597506596
447.87,0.04074525173865674
448.08,0.028238878911268122
448.28,0.05409620253164559
448.49,0.03937243117018919
448.7,0.037177074608682435
448.9,0.022772335667331986
449.11,0.01624102299092572
449.32,0.025701641535350393
449.52,0.03616434400859214
449.73,0.03834573204262253
449.93,0.03376026931523038
450.14,0.030731795424426757
450.35,0.035384109694005295
450.55,0.025863313340850586
450.76,0.04287949921752741
450.97,0.025019823318848014
451.17,0.036506051044627695
451.38,0.050084548699433
451.58,0.03265950124424209
451.79,0.03399382752856467
452.0,0.038683802791456896
452.2,0.04387109329234755
452.41,0.04389009328925557
452.62,0.030853645367470747
452.82,0.015305963273175797
453.03,0.01511222658309166
453.23,0.026322009497410793
453.44,0.04059777978018477
453.65,0.03753674726884494
453.85,0.027630281003955814
454.06,0.020857589178626405
454.26,0.029191690164239552
454.47,0.024757202325454895
454.68,0.029783667170754435
454.88,0.018093212797539886
455.09,0.006229379464730482
455.29,0.04611413544486819
455.5,0.02971432681406166
455.71,0.0430050116105025
455.91,0.029327024565020208
