Wavelength [nm],#3-591-Oriel-53915.csv
400.08,0.02899670149768527
400.29,0.021654088398624583
400.5,-0.051945012870493405
400.71,0.07986582050981514
400.92,0.000663254198500392
401.13,0.08011015483113011
401.34,-0.01320742487622708
401.54,0.03784462055098153
401.75,0.05963039396713584
401.96,0.001989560885914059
402.17,0.035962171791659454
402.38,-0.011788688626476017
402.59,0.01912990551548039
402.8,-0.002198188692517309
403.01,-0.0020618156591260283
403.22,-0.04036902074758169
403.43,0.033731486853000585
403.63,-0.018221281254996145
403.84,0.01492732932337871
404.05,-0.035396658555432316
404.26,0.039859215237880184
404.47,-0.01297365598507216
404.68,-0.002994509356244336
404.89,0.0182667778769566
405.1,0.05326617748574648
405.31,0.02796767622501292
405.52,-0.018906078123902867
405.72,-0.0181050442204162
405.93,0.00845390764141151
406.14,0.010703134586804516
406.35,0.027370313137658645
406.56,-0.03422886860447547
406.77,-0.003174975950573298
406.98,0.006351022385161786
407.19,-0.0031670233134361483
407.39,0.009798695079894563
407.6,0.03134650690270618
407.81,0.05719983158829821
408.02,-0.011283720177370322
408.23,0.028502784754832415
408.44,0.01582111368811499
408.65,-0.044091787334737155
408.86,0.028296609177208373
409.06,0.03587081256642943
409.27,-0.019448136051357083
409.48,0.01703556592548056
409.69,0.0005687862275579572
409.9,-0.025645640241158955
410.11,0.006307094548364803
410.32,-0.010269804349615105
410.52,-0.007578636179532208
410.73,-0.014262023217247052
410.94,-0.015209909694952497
411.15,0.06793052867725916
411.36,0.012682794907792266
411.57,0.008196883053329114
411.78,-0.0028366333237836937
411.98,0.013193332588648566
412.19,0.01298426334968755
412.4,0.02373897861543177
412.61,0.004744148057113019
412.82,0.027481205892927157
413.03,0.017959071189073448
413.23,0.005208355157025878
413.44,0.04127098391599323
413.65,-0.0067343690285811405
413.86,-0.0038800314832319713
414.07,0.04435770182998535
414.28,0.01207097451038125
414.48,0.011602833147990972
414.69,0.013303046232594231
414.9,0.0374088980321585
415.11,-0.00975837971848415
415.32,0.01711347064473575
415.53,0.050100945504299985
415.73,0.007995134400634417
415.94,-0.03205866754448525
416.15,0.0205507276088946
416.36,-0.005792502534455362
416.57,0.01673103554111878
416.78,0.00151755202903018
416.98,0.010625599994159792
417.19,0.02860074943719944
417.4,-0.04075087220030356
