Wavelength [nm],#24-EO-43128.csv
400.08,0.05735702036910197
400.29,0.04824718184701676
400.5,0.024182586745134408
400.71,0.1279672700278518
400.92,0.04007371741320742
401.13,0.03516439692385634
401.34,0.06441174857530331
401.54,0.009251592929911139
401.75,0.06969551207452124
401.96,0.06690080895837493
402.17,0.10356238535504919
402.38,0.015855811062771962
402.59,0.027061469621824215
402.8,0.03806228373702428
403.01,0.03165493453128871
403.22,0.021150829362327872
403.43,-0.01589143250975545
403.63,0.09222070956895846
403.84,0.039651742457930635
404.05,0.00996865895859436
404.26,0.025470184403570486
404.47,0.04421034072376256
404.68,0.05266162044274443
404.89,0.09555792934244482
405.1,0.06463835553396574
405.31,0.013032480469187252
405.52,0.007119619912467577
405.72,0.0217717751370542
405.93,0.02413052570241686
406.14,0.018283953478859652
406.35,0.028645057157137468
406.56,0.02816080792386876
406.77,0.0068693291903586
406.98,0.07948172984980525
407.19,0.08575290010136281
407.39,0.062259691367052464
407.6,0.004110528490435081
407.81,0.05462738910968511
408.02,0.05147744746829786
408.23,0.0200021841214372
408.44,0.05810087491392389
408.65,0.021088509215639498
408.86,0.035530133178370595
409.06,0.012326754265243342
409.27,0.023133235724743826
409.48,0.06176927669773414
409.69,0.028330764387903568
409.9,0.056548958105693506
410.11,0.015529302487591115
410.32,0.06679487679266781
410.52,0.04117516879689677
410.73,0.04265503756935492
410.94,0.018517994281623998
411.15,0.02566757470796821
411.36,0.030372688840015472
411.57,0.05866474077406679
411.78,0.0050155550803175205
411.98,0.03964619197147034
412.19,0.01524806091081212
412.4,0.02263336024466782
412.61,0.03233119725808856
412.82,0.007267189387237421
413.03,-0.011061050820705706
413.23,0.008702939389495342
413.44,0.021491380428823186
413.65,0.004612022425634426
413.86,0.04120110903244438
414.07,0.07882348963283833
414.28,0.030515390388833875
414.48,0.05370943891074472
414.69,0.0645046178875515
414.9,0.042835003454750616
415.11,0.05373555490884447
415.32,0.02438641536512354
415.53,0.03666385332971445
415.73,0.011205506133965697
415.94,0.0523362776832904
416.15,0.01949528658261108
416.36,0.0067799037472253305
416.57,-0.00866330754924489
416.78,0.035556726391676875
416.98,0.0359941743532839
417.19,0.00047336679422279644
417.4,0.0047290947759292155
417.61,-0.014114953744534683
417.82,0.012031011261388757
418.02,0.014942336620424577
418.23,0.044112118148203615
418.44,0.004759297477151202
418.65,0.05335308425229974
418.86,0.01821088676161202
419.07,0.0466624585183627
419.27,0.026537011505472156
419.48,0.03464195917720897
419.69,0.0372974273667912
419.9,0.04020102213490686
420.11,0.03310515696497457
420.31,0.042750330394482
420.52,0.030073663115850153
420.73,0.022848887182019387
420.94,0.03615269019466303
421.15,0.0405215390515148
421.35,0.010858055355993759
421.56,0.04524654870509934
421.77,0.03856097879129446
421.98,0.023902402582849678
422.19,0.024235333444760192
422.39,0.030305268423367355
422.6,0.04633729279537087
422.81,0.06210703879773044
423.02,0.047354200231801306
423.22,0.035267988637864116
423.43,0.01105690718646963
423.64,0.02508000449865555
423.85,0.0022154072382869158
424.06,0.04046916398460345
424.26,0.03394106726329322
424.47,0.052555883866526286
424.68,0.037831712977254524
424.89,0.026635327162962203
425.09,0.03374353359614659
425.3,0.03083566133463241
425.51,-0.005098131569607537
425.72,0.04226688434270238
425.93,0.026601474056418647
426.13,0.007526823297036288
426.34,0.02406650510983872
426.55,0.03006723791176557
426.76,0.016267451474841717
426.96,0.045863282897123894
427.17,0.009867963003648303
427.38,0.006697817807746543
427.59,0.025071837101912322
427.79,0.032784121388612184
428.0,0.0012645117407905854
428.21,0.06730537783311692
428.42,0.02583464727822799
428.62,0.037162968780114575
428.83,0.017152674171526775
429.04,0.0317011171524962
429.25,0.024236365655892513
429.45,0.027111288401528877
429.66,0.023521343029535683
429.87,0.01928314138493599
430.08,0.0019793992652885136
430.28,0.03182785009505431
430.49,0.009965249533642449
430.7,0.01656956685038479
430.91,0.0012224829255899777
431.11,0.03710822952138524
431.32,0.021583240213632754
431.53,0.03579436235090622
431.74,0.035872061220466454
431.94,0.012492667821626887
432.15,0.019383588770454232
