Wavelength [nm],#21-482-∆28.csv
400.08,0.011440313624903503
400.29,0.037050089868746375
400.5,0.014493619521327232
400.71,0.03952266930113924
400.92,0.08089169717129684
401.13,0.08160834676137257
401.34,0.011741595161764833
401.54,0.03355566640782097
401.75,0.06538189002849892
401.96,0.01686505523585301
402.17,-0.012533633590772312
402.38,0.11261155997513989
402.59,0.03631496107922534
402.8,0.02512141759895734
403.01,0.023562914485589174
403.22,0.038923230505190635
403.43,0.042001973413459924
403.63,0.06124307799638583
403.84,0.025337608537926888
404.05,0.0633396207398022
404.26,0.08825868258964917
404.47,-0.0007199424046075779
404.68,0.036083198800492454
404.89,0.037250569464971246
405.1,0.03478638815739018
405.31,0.06032726702930186
405.52,0.0201324689306528
405.72,0.046694787235473205
405.93,0.07507953440068425
406.14,0.003122315694749378
406.35,0.013348128923391602
406.56,0.03895902116915911
406.77,0.035746706470537806
406.98,0.04465758343807027
407.19,0.06446221421331236
407.39,0.029471568687578775
407.6,0.019504777158240484
407.81,-0.0006801241804965789
408.02,0.0266098150049199
408.23,0.030931527792945335
408.44,0.005251173381662763
408.65,0.024709636801771535
408.86,0.028296609177208373
409.06,0.001731928029709599
409.27,0.030647595449938104
409.48,0.05352885629231901
409.69,0.031951891974035605
409.9,0.06726999267267426
410.11,0.027057062411624005
410.32,0.05716179164988244
410.52,0.02376309559102928
410.73,0.040378355137890835
410.94,0.03875473666756989
411.15,0.04965465669053874
411.36,0.027055833727723622
411.57,0.05098484938178063
411.78,0.02071993188851995
411.98,0.0499973108604006
412.19,0.06618350603611495
412.4,0.0027322295709167124
412.61,0.012171430534298743
412.82,0.006144188470254658
413.03,0.05974804688315543
413.23,0.04364878171418998
413.44,0.007529307379056099
413.65,0.05618652903570518
413.86,0.03350432894440208
414.07,0.028691434646870354
414.28,0.045501478290076634
414.48,0.06811433035589731
414.69,0.0058361503662462955
414.9,0.026556687186974265
415.11,-0.012830666877871018
415.32,-0.002627379310602537
415.53,0.0335629859048101
415.73,0.048659843022830634
415.94,0.02894972659607546
416.15,0.041659548134564975
416.36,0.04449712259226741
416.57,0.027904546500878792
416.78,0.04793460797809386
416.98,0.015699314865984613
417.19,0.026591650676986822
417.4,0.015305831282029862
417.61,-0.001595016043984872
417.82,0.03300699828343995
418.02,0.006681894998792916
418.23,0.06643646358423283
418.44,0.032434440007198334
418.65,0.05131947111428105
418.86,-0.000584625541375139
419.07,0.03434808769190452
419.27,-0.02321022600179756
419.48,0.06876521945714799
419.69,0.015968669463537834
419.9,0.045880306027599724
420.11,0.04430471113140344
420.31,0.05684233394282821
420.52,0.03580721781664316
420.73,0.002512755801832486
420.94,0.018786071999972273
421.15,0.029587311576318387
421.35,0.04020102213490686
421.56,-0.0022670033311727117
421.77,0.006946929738010144
421.98,0.0094550745914765
422.19,0.03352833026909581
422.39,0.03403845314551031
422.6,0.05024174604902339
422.81,0.03489544417870908
423.02,0.0513443397072702
423.22,0.01738515135407818
423.43,0.01394855365668463
423.64,0.027922336847055973
423.85,0.039867656021747785
424.06,0.01855336534671455
424.26,0.02688310245791089
424.47,0.04971355151812587
424.68,0.0196585449117672
424.89,-0.018553376311366387
425.09,0.0040264195315360025
425.3,0.05939468652344077
425.51,0.023487228135583137
425.72,0.029533490592272973
425.93,0.020490451920449976
426.13,0.031516774748227
426.34,0.030198941792272407
426.55,0.02832275452671479
426.76,0.025955059383325818
426.96,0.02496314528439423
427.17,-0.00045487317702608585
427.38,0.02910987065504468
427.59,0.015713887894339054
427.79,0.011479806881753424
428.0,0.022751936186987003
428.21,0.04417389030373453
428.42,0.03261734773233955
428.62,0.029165983470979318
428.83,0.012963214129632174
429.04,0.03691637145867665
429.25,0.013649418447819014
429.45,0.0223923455805177
429.66,0.02043366348180299
429.87,0.032754526805472584
430.08,0.00598429734207307
430.28,0.021060411912608202
430.49,0.0027737138159691496
430.7,0.025473052253385423
430.91,0.021164796078490013
431.11,0.015767543118933674
431.32,0.015875809114878948
431.53,0.03579436235090622
431.74,0.01348638449940443
431.94,0.017801847026886957
432.15,0.020967783295865454
432.36,0.023931718801573864
432.56,0.05083953042420844
432.77,0.030044582283388282
432.98,0.03088295439885156
433.19,0.005093561274211435
433.39,0.024829931007472564
433.6,0.034918887739361235
433.81,0.002610980186313082
434.02,0.021441862534447548
434.22,0.023530392639389837
434.43,0.005598639290749201
434.64,0.025025751915592913
434.84,0.020133237372898585
435.05,0.0284313601617285
435.26,0.03512558921931604
435.47,0.008563993630043024
435.67,0.013657387090511137
435.88,0.03540053076342935
436.09,0.0226172288013567
436.29,0.026504985018921536
436.5,0.025713637537060678
436.71,0.01663954228606591
436.92,0.015708965451340456
437.12,0.025995123886716487
437.33,0.0437994181948663
437.54,0.013883772502274955
437.74,0.031070800919269035
437.95,0.02288032093644823
438.16,0.01824759092136359
438.36,0.005080835928383968
438.57,0.010564374894073808
438.78,0.010039203551527369
438.99,0.0015990094055269653
439.19,0.031469757127016516
439.4,0.023894853919352168
439.61,0.03164598821757079
439.81,0.028182842164423648
440.02,0.017729418019143246
440.23,0.026409124304328156
440.43,0.004913754965211019
440.64,0.04153023668652557
440.85,0.025707960453729303
441.05,0.03933559030004431
441.26,0.003533306231488497
441.47,0.006973975165844557
441.67,0.019134551746414697
441.88,0.02452784753517495
442.09,0.004115320475721006
442.29,0.006030816026899343
442.5,0.029663648346469475
442.71,0.03423961392118342
442.91,0.017961255241737306
443.12,0.0175146490534017
443.33,0.022897297865579053
443.53,0.013500517588276379
443.74,0.0028059640845627073
443.95,0.02229024537180262
444.15,0.0015250027192552369
444.36,0.03502153850272273
444.57,0.02853595494204095
444.77,0.018922483180399907
444.98,0.022557629355800246
445.19,0.040844091473627865
445.39,0.01923117548887749
445.6,0.03692597766949492
445.81,0.010991692549409127
446.01,0.0207705992781073
446.22,0.023843761495502148
446.43,0.006227417322531465
446.63,0.03820181905176354
446.84,0.02311318002346979
447.05,0.0484463840114855
447.25,0.04128574681979376
447.46,0.006469823418938315
447.67,0.005491981240977901
447.87,0.0038508383439896975
448.08,0.01716965750797921
448.28,0.03532827004219412
448.49,0.021051498516092348
448.7,0.02145257959601016
448.9,0.01608732055062841
449.11,0.006781802058146161
449.32,0.019044944676275148
449.52,0.0027189426965874555
449.73,0.013540013073116093
449.93,0.01888550758563803
450.14,0.013242089753971127
450.35,0.02086040745602294
450.55,0.024700165058272498
450.76,0.010630683870120514
450.97,0.025019823318848014
451.17,0.008736175322856317
451.38,0.012294060582593082
451.58,0.006753851855773835
451.79,0.019703795391413256
452.0,0.02745761487076709
452.2,0.01847736944214431
452.41,0.014437763019785976
452.62,0.015560277994543636
452.82,0.011258483380581686
453.03,0.035284626761510264
453.23,0.023606789222724266
453.44,0.03094127430727959
453.65,0.009163553113186612
453.85,0.019811110374464362
454.06,0.023568393195296872
454.26,0.011388901674414717
454.47,0.02058504062417342
454.68,0.022266772505779648
454.88,0.0058512580480027205
455.09,0.03066636193690924
455.29,0.005649520149825839
455.5,0.012876397561377264
455.71,0.020866326284983104
455.91,0.027740957611695077
456.12,0.0201298964808914
456.32,0.019946293144998694
456.53,0.011147042635332484
456.73,0.03669950147488813
456.94,0.013173830941107545
457.15,0.03457735307807026
457.35,0.023449458384466437
457.56,0.0267874024887255
457.76,0.01090756256452897
457.97,0.021674838866013277
458.18,0.025797068941108572
458.38,0.020515366505981666
458.59,0.024145413625718332
458.79,0.0037106182279431008
459.0,0.026737320988989455
459.2,0.040161859634064115
459.41,0.026194747211953806
459.62,0.03428470427233163
459.82,0.05646009754505118
460.03,0.0697119430718851
460.23,0.11843052971105622
460.44,0.17543984194952014
460.64,0.2031470020796272
460.85,0.2829834135548162
461.06,0.35758699849491465
461.26,0.4548307569186201
461.47,0.4935342068948588
461.67,0.5783750877520176
461.88,0.6708643265963008
462.08,0.7162220876687565
462.29,0.7584763289288095
462.49,0.8232098065708883
462.7,0.8076804894419448
462.91,0.853309175732882
463.11,0.8691735879287523
463.32,0.8861881045469647
463.52,0.9255094711185363
463.73,0.9539366854296955
463.93,0.9223127567641453
464.14,0.9520028364202526
464.34,0.9391532606854328
464.55,0.9411632090620068
464.75,0.9484018714672628
464.96,0.9796212990486848
465.16,0.9359992812693457
465.37,0.9433993819305581
465.58,0.9322026117631195
