Wavelength [nm],#11-Edmund-43129-589.csv
400.08,0.04250161524597894
400.29,0.02585299789047598
400.5,0.03802396849343038
400.71,0.059694244905477194
400.92,0.034443651239677846
401.13,0.0696228113194329
401.34,0.04084878520608873
401.54,0.042133574694142084
401.75,0.020807795552935025
401.96,0.05878690294931732
402.17,0.021266473190922557
402.38,-0.006259788688626421
402.59,0.01252026876019387
402.8,0.0668197640438397
403.01,0.015470894439889636
403.22,0.03072058382386936
403.43,0.03924514455997347
403.63,0.015450057410843676
403.84,0.012324759519741666
404.05,-0.006042629575767995
404.26,0.051632058647769936
404.47,0.07416386280934265
404.68,0.0266098150049199
404.89,0.037250569464971246
405.1,0.06179531102191092
405.31,0.054104268797707834
405.52,-0.017604793222084344
405.72,0.0342332811862637
405.93,0.0280496802176682
406.14,0.03470906107831245
406.35,0.04011775333244687
406.56,0.04135862411255696
406.77,0.04830208789670268
406.98,0.01679826630868228
407.19,0.055695461200585696
407.39,0.046521392480905095
407.6,0.0692400420849964
407.81,0.026330521844940988
408.02,0.053845793417191
408.23,0.052790215135961605
408.44,0.031088805241879316
408.65,-0.0018452988298634004
408.86,0.05602511784833022
409.06,0.024098783415836388
409.27,0.010609302849420028
409.48,0.01938997175559917
409.69,0.012639211514664746
409.9,0.00532623739678545
410.11,0.06625144615333584
410.32,0.06438660550697146
410.52,0.04117516879689677
410.73,0.036963331490694716
410.94,0.01626946734985223
411.15,0.04851241469136872
411.36,0.01931650513237597
411.57,0.04659634001475996
411.78,0.0050155550803175205
411.98,-0.010959278152188707
412.19,0.07071110115836408
412.4,0.02042212350313992
412.61,0.044002641150808985
412.82,0.07015524073827216
413.03,0.017959071189073448
413.23,0.025010999141019508
413.44,0.033126441303629094
413.65,0.016989904012051405
413.86,0.017011228755739998
414.07,-0.024573873775720626
414.28,0.047807030274883214
414.48,0.013818970293399064
414.69,0.04423732910746425
414.9,0.03415323477860323
415.11,0.0025307689190633242
415.32,0.047244241629199456
415.53,0.021159516205192692
415.73,0.026187240889511673
415.94,0.026916113458056768
416.15,0.03638234300314738
416.36,0.010970705841118894
416.57,0.008604845752202404
416.78,-0.00467138876417831
416.98,0.034979431378918936
417.19,0.06175087898070763
417.4,0.05443975635460225
417.61,0.039094781482802016
417.82,0.015177409314696435
418.02,0.020105112633944364
418.23,0.010625599994159792
418.44,0.004759297477151202
418.65,0.014714434629944626
418.86,-0.000584625541375139
419.07,0.0538458415004633
419.27,0.01183896406014247
419.48,0.040145710835263644
419.69,0.025663559419562092
419.9,0.015590791933237808
420.11,0.0032396791878309284
420.31,0.009533464887665915
420.52,0.03102925556598232
420.73,0.04521863170022498
420.94,0.02264532048768133
421.15,0.035054425313916594
421.35,0.00423222414785209
421.56,0.03538524545228816
421.77,0.040420628735605306
421.98,0.007649158592554854
422.19,0.051081768715063085
422.39,0.026572083701224398
422.6,-0.013205619322830127
422.81,0.012219115329524615
423.02,-0.018483101113435464
423.22,0.010796737617946523
423.43,0.028406786007759637
423.64,0.023185116266388604
423.85,0.00938726414942232
424.06,0.01664764372602856
424.26,0.017178400850510183
424.47,0.015605563337320815
424.68,0.004514238190527766
424.89,0.015790038329123342
425.09,0.021136273083887554
425.3,0.015174260424640727
425.51,-0.0004875896816735573
425.72,0.057728862468223806
425.93,0.007395404486231392
426.13,0.018189023942009937
426.34,0.019686193193814656
426.55,0.01872809590893549
426.76,0.02155160124310577
426.96,0.02859795182573852
427.17,0.018470326487543626
427.38,0.047935995046775114
427.59,0.017415333204806923
427.79,0.02170587784504563
428.0,0.008999984541421296
428.21,0.020216278219731335
428.42,0.012269246370004882
428.62,0.0163708069763629
428.83,0.028045270280452735
429.04,-0.018713007807248168
429.25,-0.003113247964964025
429.45,0.012167969468326814
429.66,0.0057671856300726965
429.87,-0.00047489056518434827
430.08,0.0364215227256357
430.28,0.03541699615586968
430.49,0.039530451928521566
430.7,0.007666081447384159
430.91,0.04110710923139004
431.11,0.0243038176799143
431.32,0.01995254561398881
431.53,0.02591351892495479
431.74,0.03432822144660011
431.94,0.006425034444186806
432.15,0.03760182581268327
432.36,0.030428013518368713
432.56,0.034777991454755075
432.77,0.03785420722474587
432.98,0.02019977436860268
433.19,0.01768731366314547
433.39,0.052443970177972934
433.6,0.0025533626330593276
433.81,0.00486751643023545
434.02,0.0068908121632125655
434.22,0.03773630576331908
434.43,0.012342883636177427
434.64,0.006333760963054435
434.84,0.009872852423923703
435.05,0.015786215174679413
435.26,-0.002611063349560402
435.47,0.004831177340999511
435.67,0.02474819608124752
435.88,0.0060618228712191104
436.09,0.01471192697548532
436.29,0.0113479501076804
436.5,0.0220890602957551
436.71,0.027006294099315216
436.92,0.012213613766153455
437.12,0.01281414621851678
437.33,0.013161098509604938
437.54,0.03626467725291108
437.74,0.01467143506740899
437.95,0.020699250224252803
438.16,0.029539736357315428
438.36,0.01528164759008885
438.57,0.016709937782930492
438.78,0.008651732218032662
438.99,0.01259889070177197
439.19,0.028818065839205473
439.4,0.01648480795186623
439.61,0.001001873920658471
439.81,0.007436912177273251
440.02,0.028700902837589085
440.23,0.054468378764726204
440.43,-0.0003477717765459617
440.64,0.01235114395825302
440.85,-0.000353349246068062
441.05,0.017808096525255387
441.26,0.02871943783030376
441.47,0.00031384086112185147
441.67,0.014110913086985321
441.88,0.02006490304677379
442.09,0.006023145532280928
442.29,0.013671834737775196
442.5,0.013969037876686633
442.71,0.00226511465235774
442.91,0.001615736853617089
443.12,0.029628355521919135
443.33,0.022233054016405414
443.53,0.01950843161027226
443.74,0.013474496879126857
443.95,0.00483114261058481
444.15,0.007696047201830915
444.36,0.01579638920554047
444.57,0.0021784033319412867
444.77,0.022132815368945718
444.98,0.01810603755716043
445.19,0.0091678725658877
445.39,0.01466338987904525
445.6,-0.00033393532558691766
445.81,0.035389611084592175
446.01,0.011462335012690068
446.22,0.023843761495502148
446.43,0.009201003745863209
446.63,0.012923018300933797
446.84,0.009294977772879262
447.05,0.006633775053268487
447.25,0.017770114194618887
447.46,0.01326636069654508
447.67,0.03142439372491589
447.87,0.02170297385753827
448.08,0.007265617305036497
448.28,0.012806751054852345
448.49,-0.0009336206688238556
448.7,0.011775967280519533
448.9,0.030672808077981666
449.11,0.0026433929000551025
449.32,0.019650098936191077
449.52,-0.0009296465374494197
449.73,0.023923802409188556
449.93,0.023843761495502148
450.14,0.04088710839436873
450.35,0.017834636156443283
450.55,0.016558127080225873
450.76,0.007588342799610429
450.97,0.030775314326410893
451.17,0.006321403520963153
451.38,0.010576311122736723
451.58,0.004398792820458539
451.79,0.007128567110720014
452.0,-0.006811800887128117
452.2,0.0212375568171664
452.41,-0.004106296779509695
452.62,0.011595330897858828
452.82,0.015305963273175797
453.03,0.011552391257488377
453.23,0.004600247299918565
453.44,0.031509304040979895
453.65,0.011945238814721744
453.85,-0.001970864950547541
454.06,0.008387890701942244
454.26,0.036980410128537915
454.47,0.014326798072251205
454.68,0.017434483078295857
454.88,0.02472427162020585
455.09,0.020891568948037738
455.29,0.0018728227222885522
455.5,0.00340506235674229
455.71,0.017344262710468655
455.91,0.013995044016210614
456.12,0.030874086212460575
456.32,-0.005211335490788171
456.53,0.005701817099183434
456.73,0.02437582771976943
456.94,0.015759853396712608
457.15,0.009755217188939675
457.35,0.012376261098329178
457.56,0.005449586179654774
457.76,0.013955613219183734
457.97,-0.008945666959776605
458.18,0.018130204321022858
458.38,0.0160631636264634
458.59,0.024145413625718332
458.79,0.010663784401825851
459.0,0.0017688019986546307
459.2,0.008021160869907966
459.41,0.0007074986204642002
459.62,0.007040343284548539
459.82,0.012563050332039968
460.03,0.004387931106315273
460.23,0.008463444020127686
460.44,0.006965787473356704
460.64,0.003469386050629335
460.85,0.01857780933431307
461.06,0.0035084874314392413
461.26,0.01768408729771605
461.47,0.006566615641696012
461.67,0.0012087345587239334
461.88,0.0070921050244950705
462.08,0.001683857132138308
462.29,0.003594576118653913
462.49,0.015695978759402002
462.7,0.018359222784319063
462.91,0.019687533619422184
463.11,0.015082763971978152
463.32,0.015089366271810158
463.52,0.02085340952196478
463.73,0.003277612345410176
463.93,0.022576260374980082
464.14,-0.009654619588256587
464.34,0.010198589917143033
464.55,0.0057435038594198995
464.75,0.005346845361236886
464.96,-0.00021991403904295367
465.16,-0.0009868508788306997
465.37,0.016766406107980383
465.58,0.0033783929178555754
465.78,0.01992473757179641
465.99,-0.0017428620868662247
466.19,0.00635103365534652
466.4,0.006460642847367152
466.6,0.005066572749233162
466.81,0.007685590759685095
467.01,0.001337930824123809
467.22,0.008215595730477825
467.42,0.013292713339219652
467.63,-0.0009333101444041739
467.83,0.0019241351828308076
468.04,0.009048431653949043
468.24,0.02200623729679871
468.45,-0.0005183223916492641
468.65,0.0025803133397354723
468.86,0.00016850630097799374
469.06,0.004987546630399625
469.27,-0.007304389673254298
469.47,0.003016311134734982
469.68,0.011088114087076164
469.88,0.012059321340707616
470.09,0.01048526561913883
470.29,0.0008274725711512117
470.5,0.008131402897088701
470.7,0.006693286131807529
470.91,0.011274422719673605
471.11,-0.0008363820231402862
471.32,0.0017191743893879253
471.52,0.011180943979626906
471.73,0.00698412556444861
471.93,0.011100467050378189
472.14,0.010011256702728791
472.34,-0.0023212097351070376
472.55,0.00789200623692515
472.75,0.014619708560585278
472.96,0.001996384535399494
473.16,0.012699919916369349
473.37,0.0038979012943910593
473.57,0.007230442042209298
473.78,-0.005667955328702769
473.98,0.009384969323606461
474.19,0.010617228799046991
474.39,0.007623165556012512
474.6,0.0029567437830678536
474.8,0.002937665186901516
475.01,-0.0009964155448950606
475.21,0.007562681528618279
475.42,0.001751122558137961
475.62,0.0063547870294170744
475.83,0.006485069469269094
476.03,0.008205308081229653
476.24,0.002852827984566711
476.44,-0.002455572127912216
476.64,0.007491498119790154
476.85,0.013508149223881325
477.05,0.0001181462759121487
477.26,0.006641930537266213
477.46,0.011683610117053161
477.67,0.002373459797665492
477.87,0.008237101036166239
478.08,-0.0006070806501894118
478.28,-0.0006147549943377734
478.49,0.008218897369334557
478.69,-0.0023097426847249096
478.9,0.010167586390830756
479.1,0.0003470298403238585
479.3,0.007646636775858763
479.51,0.012906431567275306
479.71,0.008246797137249521
479.92,0.0005742394670522883
480.12,0.007217390371808218
480.33,0.006647437535750371
480.53,0.00032712227574729116
