Wavelength [nm],#44.csv
400.08,0.031697684247344
400.29,0.07344063879812514
400.5,0.09754191001110303
400.71,0.10934735408538598
400.92,0.06822404828085529
401.13,0.06812461938919044
401.34,0.08797471194451789
401.54,0.09931962993628285
401.75,0.019369921537594256
401.96,0.0682531266265512
402.17,0.06976227857335432
402.38,0.020002486016159157
402.59,0.07729470896200177
402.8,0.07976063018190663
403.01,0.020865574470355995
403.22,0.06626538610959488
403.43,0.06957026194832439
403.63,0.05181510316995068
403.84,0.07088258010157517
404.05,0.07401381309604378
404.26,0.08041012031638933
404.47,0.10275586116376001
404.68,0.05502996639163757
404.89,0.06979421218728207
405.1,0.08880423388643167
405.31,0.05037046985875142
405.52,0.0058183350106490546
405.72,0.05791014267976175
405.93,0.04503268311709067
406.14,0.04481681960105264
406.35,0.06688737774150214
406.56,0.07135366090503015
406.77,0.08596823217519729
406.98,0.06206965664393776
407.19,0.05820024777565046
407.39,0.04520986757372615
407.6,0.0656875231616567
407.81,0.04819628291315235
408.02,0.06450335018721012
408.23,0.04428961450256639
408.44,0.05105424804295574
408.65,0.04402231726114239
408.86,0.04396924451305985
409.06,0.06530088544291206
409.27,0.05820024777565046
409.48,0.04411123297184457
409.69,0.036780062088878324
409.9,0.048210375664708476
410.11,0.06509867016093254
410.32,0.07763209757830135
410.52,0.033049534634158606
410.73,0.007366459881661695
410.94,0.07922822143946169
411.15,0.06221931868140903
411.36,0.06243562159217004
411.57,0.05866474077406679
411.78,0.021841673089105836
411.98,0.054597808144369604
412.19,0.042413631644306955
412.4,0.05359067462605843
412.61,0.038697439381390614
412.82,0.08475425265904807
413.03,0.043496778557679104
413.23,0.08208920827135409
413.44,-0.004105753495749809
413.65,0.025241825069662726
413.86,0.0247080088437823
414.07,0.058979551200892676
414.28,0.08123753405457859
414.48,0.05370943891074472
414.69,0.049570826154855634
414.9,0.04174978237023219
415.11,0.010723534677428308
415.32,0.08049198892240078
415.53,0.04803370055436375
415.73,0.0636415777783766
415.94,0.026916113458056768
416.15,0.051158517371116645
416.36,0.023543112122799588
416.57,0.04212537863148245
416.78,0.05618652903570518
416.98,0.06745120655859779
417.19,0.050700835799538234
417.4,0.03328628334240096
417.61,0.048484734758214375
