Wavelength [nm],#30-Rouge-BP.csv
400.08,0.02899670149768527
400.29,0.06504281981442235
400.5,0.06432259381519272
400.71,0.09227909780479233
400.92,0.07385411445438488
401.13,0.04714993236579601
401.34,0.0935189386196272
401.54,0.03355566640782097
401.75,0.06106826798247661
401.96,0.010103466894971668
402.17,0.06829270871328064
402.38,0.024149160969546356
402.59,0.0561438713450849
402.8,0.032310787675661194
403.01,0.05323365465315414
403.22,0.05806273942827361
403.43,0.026839414719284468
403.63,0.0477745425300499
403.84,0.012324759519741666
404.05,0.027314221537486912
404.26,0.06471299576986966
404.47,0.11500957474422459
404.68,0.03963571772383216
404.89,0.030470643897823158
405.1,0.006355943036842026
405.31,0.07277326349248991
405.52,0.02143375383247132
405.72,0.0491870884453151
405.93,0.05548376182442757
406.14,0.00817619495611947
406.35,0.04011775333244687
406.56,0.03296001381066447
406.77,-0.003174975950573298
406.98,0.05162241272041727
407.19,0.016871269287081925
407.39,0.07930951516037879
407.6,0.034899025826045885
407.81,0.05462738910968511
408.02,0.08345011777835523
408.23,0.009072840449929063
408.44,0.03226324305370734
408.65,0.028330764387903568
408.86,0.048791593847168
409.06,0.08295892916880163
409.27,0.03941434846266476
409.48,0.06412368252785275
409.69,0.023502594273060853
409.9,0.020812176215757653
410.11,0.03973759832806019
410.32,0.04632457086424891
410.52,0.0028686077439882872
410.73,0.01419650717605393
410.94,-0.012961382763180731
411.15,0.024525332708798184
411.36,0.039217635806127076
411.57,0.07841303292565979
411.78,0.0050155550803175205
411.98,0.0453968135764316
412.19,0.04467742920543153
412.4,0.032583925581543376
412.61,0.05567408504352941
412.82,0.035342212311806495
413.03,0.08180333961058758
413.23,0.038989336070897364
413.44,0.05290604479079914
413.65,0.03968268692048254
413.86,0.07858546946007842
414.07,0.006758660590509363
414.28,0.04204315031286676
414.48,0.044844890329112354
414.69,0.04530402851694253
414.9,0.05043155104637958
415.11,0.0148199175566108
415.32,0.01815246274764829
415.53,0.04493283312945939
415.73,-0.0016359807993594233
415.94,0.06657156964942122
416.15,0.041659548134564975
416.36,0.01725690898195924
416.57,0.04618847352594063
416.78,0.06237546982891367
416.98,0.06948069250732772
417.19,0.014537058115711118
417.4,0.06713184016192303
417.61,0.022401531215402264
417.82,0.08334936713636282
418.02,0.043853882296135384
418.23,0.018743543789079508
418.44,0.015403583065630869
418.65,0.03098333973409415
418.86,0.027055833727723622
419.07,0.00664075333237362
419.27,0.0050552498546056895
419.48,0.05335471481459488
419.69,0.02857202640636937
419.9,0.034521738242214
420.11,0.037771637867653265
420.31,0.03570432862030889
420.52,0.03962958761717183
420.73,0.04318501856220629
420.94,0.0014194538052815166
421.15,0.003162928511260389
421.35,0.014644244617788998
421.56,0.0192485674022335
421.77,0.029262729069740253
421.98,0.0437674785709878
422.19,0.039723661485319556
422.39,0.04803789585354639
422.6,0.040480612914892085
422.81,0.06936346402946947
423.02,0.05932461865820799
423.22,0.04656241218551839
423.43,0.022623493067329633
423.64,0.06771498972466188
423.85,0.030902834882828533
424.06,0.06619640586386433
424.26,0.018060646451182973
424.47,0.04971355151812587
424.68,0.054995260594659215
424.89,0.058267419594992216
425.09,0.008529012571628516
425.3,0.04373328561344909
425.51,0.0539168045959474
425.72,0.03226207496736499
425.93,0.02485546773185617
426.13,0.020854574103253348
426.34,-0.002215366386305661
426.55,0.04663983006974799
426.76,0.010102610078533652
426.96,0.024054443649058156
427.17,0.04599788963600866
427.38,-0.012128306583983893
427.59,0.023370391791444456
427.79,0.058349298796842704
428.0,0.05283433041166198
428.21,0.03673876931214733
428.42,0.004638708359129383
428.62,0.048358748212903944
428.83,0.028883162288831653
429.04,0.023009026642195445
429.25,0.030412084860602054
429.45,0.06250335955911271
429.66,0.012714464612471256
429.87,0.027365972637257947
430.08,0.013994093495642183
430.28,0.018368552366996676
430.49,0.03313797573503419
430.7,0.029520091072931163
430.91,0.020333866363785844
431.11,0.04308362171407168
431.32,0.037074838910250235
431.53,0.016856079117832642
431.74,0.02043366348180299
431.94,0.05344919311934743
432.15,0.04077021486350572
432.36,0.01824746092437837
432.56,0.029424145131603956
432.77,0.0316065072716598
432.98,0.0095165943383538
433.19,0.0066677803228281885
433.39,0.0003717820278865211
433.6,0.04006794855172745
433.81,0.017654555145795538
434.02,0.017804099941638802
434.22,0.011567518429765208
434.43,0.01159352315335207
