Wavelength [nm],#42-Inocnnu.csv
400.08,0.06951144274256628
400.29,0.08463773077639554
400.5,0.07816397556348867
400.71,0.10158905577602524
400.92,0.05977894902056093
401.13,0.08760111448234241
401.34,0.04639301188119804
401.54,0.11218649236576453
401.75,0.08982574828929203
401.96,0.09124252698554776
402.17,0.08298840731401753
402.38,0.07943816034804231
402.59,0.06275350810037142
402.8,0.06106826798247661
403.01,0.06267434470647026
403.22,0.08540489503267785
403.43,0.05165087440066248
403.63,0.09895497730212643
403.84,0.029241463243382455
404.05,0.1020335680311779
404.26,0.03462684038904029
404.47,0.060548625497715336
404.68,0.05621413936608414
404.89,0.037250569464971246
405.1,0.09733336742259611
405.31,0.07028406419985231
405.52,0.0669787253961196
405.72,0.042956335420710354
405.93,0.06724122537018158
406.14,0.065032336646533
406.35,0.0592389136246292
406.56,0.005364579961589137
406.77,0.06462408375071702
406.98,0.04581838831846143
407.19,0.08575290010136281
407.39,0.059636641552694575
407.6,0.07042421505944298
407.81,0.0494825041524589
408.02,0.060950831263870416
408.23,0.05643332969313098
408.44,-0.0006210156774773629
408.65,0.08988993335214819
408.86,0.042763657179532816
409.06,0.05941487086761553
409.27,0.0431715283252619
409.48,0.04528843588690387
409.69,0.08747584829472684
409.9,0.048210375664708476
410.11,0.033973718366043744
410.32,0.08726518272108671
410.52,0.04233597367728793
410.73,0.04493172000081899
410.94,0.03875473666756989
411.15,0.056508108685558896
411.36,0.012682794907792266
411.57,0.04879059469827029
411.78,0.05100694430433892
411.98,0.09600228370009065
412.19,0.08995338042792292
412.4,0.02042212350313992
412.61,0.060979286812947786
412.82,0.06341723523637557
413.03,0.04233597367728793
413.23,0.04947308876830576
413.44,0.030799429128667913
413.65,0.06856441062212217
413.86,0.037902488994711964
414.07,0.050624208703231345
414.28,0.040890374320463475
414.48,0.03930454746559212
414.69,0.05277092438329046
414.9,0.015704476341790032
415.11,0.01891630043579329
415.32,0.10023283887773907
415.53,0.05630268035410869
415.73,0.07220256906726003
415.94,0.0411514054241876
416.15,0.05221395839740016
416.36,0.06126033096784166
416.57,0.04415692607871154
416.78,0.03761970665607971
416.98,0.049185833020028435
417.19,0.05672813208017609
417.4,0.04915138810155193
417.61,0.03387814077423959
417.82,0.050836587252183464
418.02,0.05211432391776705
418.23,0.032949945430189004
418.44,0.043078725595678
418.65,0.023865693751028733
418.86,0.06243562159217004
419.07,0.07231739774015057
419.27,0.04236567798505798
419.48,0.030238957850765222
419.69,0.02857202640636937
419.9,0.030735548980418765
420.11,0.06110404238104673
420.31,0.02765175516411105
420.52,0.04154077251743616
420.73,0.06047073023536516
420.94,0.04097675080429935
421.15,0.045988652789113
421.35,0.03736138018856043
421.56,0.06048674464126207
421.77,0.04971887845715952
421.98,-0.006798169398818324
422.19,0.023202778242056236
422.39,0.025638787520688662
422.6,0.0658595590636335
422.81,0.04396597571838287
423.02,0.0343862469365274
423.22,0.05220962395934553
423.43,0.07274536521772298
423.64,0.04023911035679113
423.85,0.033592281224504306
424.06,0.05762065857077737
424.26,0.040999032068675556
424.47,0.05918799267946061
424.68,0.07013956731589865
424.89,0.04199948634423392
425.09,0.04725131271642413
425.3,0.04649706224462409
425.51,0.04285150406490585
425.72,0.06409555934343851
425.93,0.02485546773185617
426.13,0.03862490851154276
426.34,0.04071169039073016
426.55,0.0457675883772226
426.76,0.025955059383325818
426.96,0.0258718469197303
427.17,0.04513765328761913
427.38,0.03448876333839623
427.59,0.06420507924267325
427.79,0.046418882673001795
428.0,0.05627231832305341
428.21,0.03921714297600973
428.42,0.004638708359129383
428.62,0.02676688787823874
428.83,0.023017918230179214
429.04,0.03952399861176687
429.25,0.013649418447819014
429.45,0.03733566451371976
429.66,0.021205583368736163
429.87,0.017486956662197777
430.08,0.0003774400345746911
430.28,0.0722057432792272
430.49,0.04672198764619487
430.7,0.03275772212856776
430.91,0.05190919552254423
431.11,0.03454734715309105
431.32,0.0501203957074018
431.53,0.018502886355491216
431.74,0.021977503255669335
431.94,0.017801847026886957
432.15,0.01621519971963179
432.36,0.02880393983917
432.56,0.039367002588884606
432.77,0.025358807318573734
432.98,0.027067532959476958
433.19,0.03500372319792976
433.39,0.05559986036888727
433.6,0.016529384838053333
433.81,0.028937236365407383
434.02,0.03235515031287378
434.22,0.031007189020405227
434.43,0.009345441704875994
434.64,0.02876415010610061
434.84,0.03185939160029846
435.05,0.01157116684566305
435.26,0.06102329196266262
435.47,0.026481511817451883
435.67,0.04323287773247482
435.88,0.013217605283953314
436.09,0.021898564999004756
436.29,0.03821723926851696
436.5,0.03513753836445518
436.71,0.029968223188815018
436.92,0.029690372192088463
437.12,0.025301388219969134
437.33,0.03881178475773073
437.54,0.017274818676613762
437.74,0.027654266366798193
437.95,0.03523972163888899
438.16,0.002305738541196286
438.36,0.043843920242862516
438.57,0.022172660350803102
438.78,0.02946380222045325
438.99,0.02553992752088374
439.19,0.022851760441630623
439.4,0.01783208903686367
439.61,0.050032456795718175
439.81,0.046983841215278696
440.02,0.03709086181640061
440.23,0.03750231792820645
440.43,0.016752190134164225
440.64,0.011082487752675953
440.85,0.031053870135739018
441.05,0.023189969968952617
441.26,0.0177408676462048
441.47,0.06824721076929345
