Wavelength [nm],#2-IF@532∆10.csv
400.08,0.03304817562217337
400.29,-0.0035393685524837963
400.5,-0.025646387548731067
400.71,-0.005475460893153101
400.92,-0.03170962629929466
401.13,0.01418970990046191
401.34,-0.03815644491421899
401.54,0.006392290167804101
401.75,-0.002198188692517309
401.96,0.01686505523585301
402.17,-0.03016847191165659
402.38,0.014473586078309562
402.59,0.000622922600678134
402.8,0.01074267744554963
403.01,0.011424884417039868
403.22,-0.02669794294537956
403.43,-0.017269846936498672
403.63,0.000634668397874156
403.84,-0.037124066749362174
404.05,0.037988413893728486
404.26,-0.003307877265048908
404.47,0.018341389831670663
404.68,-0.008915374228477184
404.89,0.02369071833067507
405.1,0.03194334364533537
405.31,0.006809482237593226
405.52,0.02663889343974541
405.72,-0.01187429119581145
405.93,0.016292216671914186
406.14,0.023337832740229745
406.35,-0.029993167738888354
406.56,-0.012632442113894776
406.77,-0.014474819234121684
406.98,0.024923900471420443
407.19,-0.016943349476292325
407.39,0.029471568687578775
407.6,-0.01957293099849631
407.81,-0.04183920383830621
408.02,0.010031393362667928
408.23,0.010287211968985523
408.44,-0.02528420972586589
408.65,-0.021157979289234262
408.86,0.0017736878396135654
409.06,0.027630392161014303
409.27,-0.029467282351616123
409.48,0.04057962422666665
409.69,0.016260339100796783
409.9,0.004135011333787589
410.11,0.0005432145863483578
410.32,-0.007861533063918765
410.52,0.004029412624379453
410.73,0.036963331490694716
410.94,-0.008464328899637198
411.15,0.015387396715437979
411.36,-0.010535190878250692
411.57,0.03123655723018762
411.78,0.010624261083246959
411.98,0.035045694687501336
412.19,-0.006258015919871293
412.4,0.01710526839084807
412.61,-0.0016220940661890297
412.82,0.016251196723099527
413.03,0.036531949275332105
413.23,-0.007605120362028824
413.44,0.013346837816459052
413.65,-0.0036398986319768956
413.86,-0.007178651520964387
414.07,-0.007863188780397965
414.28,0.008612646533171382
414.48,-0.012774675451498041
414.69,0.007969549185202849
414.9,0.0005113811585321054
415.11,0.020964491875384537
415.32,-0.009900324030990327
415.53,0.003587934130734693
415.73,0.018696373511738685
415.94,0.006579982077869867
416.15,-0.032221323705281336
416.36,-0.029889614574343356
416.57,-0.00866330754924489
416.78,-0.016017780218393878
416.98,0.027876230558364187
417.19,-0.0015357319659898212
417.4,-0.03863552489908343
417.61,0.007794937231427487
417.82,-0.03306736083602131
418.02,-0.009838988244470404
418.23,0.009610857019794828
418.44,0.007952583153695101
418.65,0.00047914266381379603
418.86,0.0016266112001527618
419.07,0.03229569255416149
419.27,-0.016426511796260777
419.48,0.0038209498921027533
419.69,0.03051100439757422
419.9,0.026002812403174716
420.11,-0.007026578798062198
420.31,0.023625468436012133
420.52,-0.0014608877385113694
420.73,0.007596788646879212
420.94,-0.02077122499904556
421.15,-0.02143908330793154
421.35,-0.028896931892856255
421.56,0.0031118893521788413
421.77,0.016245179459564357
421.98,0.027514234580692975
422.19,0.04798410310695121
422.39,0.005106271548902406
422.6,0.0033883070051931013
422.81,-0.008643107211725095
423.02,-0.0035200780804271067
423.22,-0.02026292713810273
423.43,0.002381967775824625
423.64,0.001393901595318709
423.85,0.010283746263314245
424.06,-0.01956106706700527
424.26,0.005709208041763891
424.47,0.001393901595318709
424.68,0.017639304015601945
424.89,0.03386551971885478
425.09,-0.04009899226137063
425.3,0.01333174267052406
425.51,-0.0023318064368471492
425.72,-0.027766781284659366
425.93,-0.0013346271365809964
426.13,-0.026236812078713596
426.34,-0.015356302134377851
426.55,-0.0013334630191484946
426.76,-0.0233636717871387
426.96,-0.007750113587704381
427.17,0.007287253958479705
427.38,0.015662638946665797
427.59,-0.013210682383614681
427.79,-0.0038592995631848846
428.0,-0.021941906661101542
428.21,0.00038928890883213596
428.42,-0.004687504765274004
428.62,-0.0060207518892158324
428.83,-0.02976927829769275
429.04,0.015186145182924765
429.25,-0.01811142317640148
429.45,0.02081936464018064
429.66,-0.00040817346539269087
429.87,0.008506033048506714
430.08,-0.031661744579701764
430.28,-0.013933762180341643
430.49,0.022750201920617205
430.7,0.024663644489476274
430.91,-0.0004393765038183584
431.11,0.026011072592110426
431.32,0.0044609469173713286
431.53,0.015209271880174072
431.74,0.012714464612471256
431.94,0.0011158552389267352
432.15,0.004333740779047634
432.36,0.013375239886782233
432.56,0.0026549135158483506
432.77,-0.01290835489407842
432.98,0.0285937015352268
433.19,-0.00986151968764773
433.39,-0.0027841081630278074
433.6,-0.0018601180632545691
433.81,0.01013276766605431
434.02,0.020714310015885796
434.22,-0.0011430354179609568
434.43,0.01758840701595494
434.64,-0.01684430781809328
434.84,-0.014312340670088523
435.05,-0.0088015667445827
435.26,0.011447689568256312
435.47,0.006324303856616916
435.67,-0.0018697454965197974
435.88,-0.01683668084953034
436.09,0.019742573591948923
436.29,-0.0031201286712315935
436.5,0.008315666778793904
436.71,-0.012239266336557154
436.92,-0.00316593364866935
437.12,-0.012854073451135279
437.33,0.015298655696948755
437.54,0.0023542155095230112
437.74,-0.016760682815322763
437.95,0.01197496737547109
438.16,0.016919103223016315
438.36,0.011201322925406897
438.57,0.012612895857026036
438.78,-0.01077286645089322
438.99,0.006775424133171673
439.19,-0.0069797665462436095
439.4,-0.005745329950591589
439.61,0.018026381863387536
439.81,-0.0003428115679081477
440.02,0.004821788820971672
440.23,0.018578634687472884
440.43,-0.014159279473658037
440.64,0.0028362224164250154
440.85,-0.0030263040870729197
441.05,-0.007755802332306459
441.26,-0.0035704744758696533
441.47,0.00963802888773364
441.67,-0.016030918869590922
441.88,0.006676069581570312
442.09,0.014290387444040587
442.29,0.005394064467659688
442.5,-0.003090321329599066
442.71,0.01596847148185446
442.91,-0.000999546088482146
443.12,0.01496439506002961
443.33,0.006291201636238112
443.53,0.01890764020807267
