Wavelength [nm],#37-06804-3-00.csv
400.08,0.026295718748026536
400.29,0.06504281981442235
400.5,0.04771293571723755
400.71,0.1279672700278518
400.92,0.03585116778306024
401.13,0.08160834676137257
401.34,0.06995597525041262
401.54,0.0735859050773195
401.75,0.07544700813588431
401.96,0.052025314608435985
402.17,0.08592754703416491
402.38,0.06285146053449353
402.59,0.06936314485565795
402.8,0.0912636223046328
403.01,0.0330036045389053
403.22,0.06489827832937467
403.43,0.0585429465343786
403.63,0.04642768898341631
403.84,0.043555597163386195
404.05,0.03531986580466809
404.26,0.030702559252410378
404.47,0.06599472042236626
404.68,0.07042421505944298
404.89,0.08471004843500787
405.1,0.049001610717664255
405.31,0.07775166207776514
405.52,0.0669787253961196
405.72,0.0790947029634179
405.93,0.05287099214759334
406.14,0.02965518181694236
406.35,0.056689425585671555
406.56,0.07855246973522372
406.77,0.06336854560810053
406.98,0.04465758343807027
407.19,0.08074332695123329
407.39,0.10422848839677878
407.6,0.07752925290612239
407.81,0.07520692893858992
408.02,0.0692400420849964
408.23,0.10015070437916353
408.44,0.07454300427951624
408.65,0.07661246553633072
408.86,0.04035248251247874
409.06,0.07000969710314928
409.27,0.031899988737470485
409.48,0.0747185087633865
409.69,0.05247161496211714
409.9,0.09347696605862722
410.11,0.04665425428247992
410.32,0.05716179164988244
410.52,0.07367770544784942
410.73,0.08477366255144037
410.94,0.07248264064414639
411.15,0.05308138268804882
411.36,0.039217635806127076
411.57,0.06634463216635296
411.78,0.09138962752543088
411.98,0.06494892703329987
412.19,0.053732619449929804
412.4,0.02042212350313992
412.61,0.08007801318285393
412.82,0.04320321873068584
413.03,0.02260229071063811
413.23,0.07277031698476885
413.44,0.07733967262789154
413.65,0.053092058639100936
413.86,0.054395589183374046
414.07,0.042268866205570015
414.28,0.09391806997101478
414.48,0.08251922180104991
414.69,0.05383762379276874
414.9,0.08081774141289544
415.11,0.07626566074434817
415.32,0.05867315476123741
415.53,0.057336302829076806
415.73,0.048659843022830634
415.94,0.07368921563248663
416.15,0.05326939942368368
416.36,0.01935231002890602
416.57,0.039078057460638804
416.78,0.08713123300174763
416.98,0.039038403276378794
417.19,0.054719033319963466
417.4,0.07453555571619348
417.61,0.027618171923964686
417.82,0.049787787901080904
418.02,0.07689564878266203
418.23,0.06745120655859779
418.44,0.04733643983106987
418.65,0.05945392366635581
418.86,0.06464685833369793
419.07,0.02100751929657483
419.27,0.06271682060166832
419.48,0.06876521945714799
419.69,0.04990078430962274
419.9,0.026002812403174716
420.11,0.028438676062295876
420.31,0.08301319767547119
420.52,0.05587465926941867
420.73,0.05030266454527171
420.94,0.02939900534117218
421.15,0.06512355087070673
421.35,0.030735548980418765
421.56,0.05331488773012667
421.77,0.06273642806733541
421.98,0.04015564657314451
422.19,0.0603747655393987
422.39,0.04523800731193917
422.6,0.048289519422197134
422.81,0.053036507258056656
423.02,0.05333940944500465
423.22,0.03620919060016864
423.43,0.06888983659076965
423.64,0.06487265737626145
423.85,0.052418405616234745
424.06,0.04618632884666143
424.26,0.04188127766934835
424.47,0.04592377505359197
424.68,0.07821653090055969
