Wavelength [nm],#14-Blue-interference.csv
400.08,0.012790804999732869
400.29,0.09583482275466593
400.5,0.008957066822008846
400.71,0.06590088355296579
400.92,0.061186465563943325
401.13,0.03965897271458371
401.34,0.02283004851198346
401.54,0.0507114829804632
401.75,0.01361842547623117
401.96,0.03714982025849703
402.17,0.034492601931585765
402.38,0.04902921068986953
402.59,0.05217808929191299
402.8,0.05387889790577276
403.01,0.023562914485589174
403.22,0.03208769160408957
403.43,0.01856892815882513
403.63,-0.019568134801629736
403.84,0.08519671402157891
404.05,0.037988413893728486
404.26,0.05686443349660983
404.47,0.01697986610050793
404.68,0.034899025826045885
404.89,0.05081042059926743
405.1,0.047580088461636846
405.31,0.06530566561457708
405.52,0.0058183350106490546
405.72,0.0342332811862637
405.93,0.041113528601839325
406.14,0.05871498756982039
406.35,0.06816212176098095
406.56,0.0605554476597398
406.77,0.014402558046057523
406.98,0.04813999807924377
407.19,0.015618875999549546
407.39,0.024225469058862987
407.6,0.021873123107133623
407.81,0.03404784928078029
408.02,0.05739831234053071
408.23,0.027288413235775955
408.44,0.039309869924675486
408.65,0.03436597703145696
408.86,0.03432454584484356
409.06,0.05588326212243762
409.27,0.018123662574614306
409.48,0.031162000906192217
409.69,0.04885048737598511
409.9,0.042254245349719166
410.11,0.045501478290076634
410.32,0.047528706507097084
410.52,0.04813999807924377
410.73,0.01533484839178597
410.94,0.011772413486308699
411.15,0.021098606711288107
411.36,0.02373897861543177
411.57,0.05208197672353579
411.78,0.06110261510961191
411.98,0.02009407851460207
412.19,0.001665275544064701
412.4,0.01599965002008412
412.61,0.03233119725808856
412.82,0.03646521322878926
413.03,0.02376309559102928
413.23,-0.012264566005321442
413.44,0.014510343903939644
413.65,0.010800963218842916
413.86,0.0521965091582191
414.07,0.01929167433700136
414.28,0.04204315031286676
414.48,-0.007234332587977811
414.69,0.04317062969798598
414.9,0.05043155104637958
415.11,0.020964491875384537
415.32,0.011918510130173044
415.53,0.015991403830352104
415.73,0.048659843022830634
415.94,0.01573124119895397
416.15,0.0205507276088946
416.36,0.020400010552379413
416.57,0.018762582988347872
416.78,0.005643512557835841
416.98,0.017728800814714542
417.19,-0.03267676274928539
417.4,0.0290555887399607
417.61,0.029704828207389657
417.82,0.05608058400769626
418.02,0.030430664660983937
418.23,0.02686148758399922
418.44,0.03775658280143817
418.65,0.039117792286168906
418.86,0.011577176537028316
419.07,0.0743697928778936
419.27,0.052541249293363144
419.48,0.04344796183009646
419.69,0.006273779507513577
419.9,0.03357519092676519
420.11,0.012572640993188318
420.31,0.02664518348208632
420.52,0.011917406563338973
420.73,0.037084179148150216
420.94,0.021680508365754067
421.15,0.003162928511260389
421.35,0.032628643611316385
421.56,0.02910987065504468
421.77,0.015315354487408934
421.98,0.03744677257476203
422.19,0.007714450201496874
422.39,0.023772195159617183
422.6,0.005340533632019364
422.81,0.020382593715231025
423.02,0.008450340345979579
423.22,0.023973565090209842
423.43,0.012984671499946296
423.64,0.014658119221187342
423.85,0.03179931699672046
424.06,0.022364808588086534
424.26,-0.002231002364291233
424.47,0.044028886821325025
424.68,0.04187019476958504
424.89,0.017597586468096484
425.09,0.021136273083887554
425.3,0.02807188470345741
425.51,0.017032469492475565
425.72,0.027714434342211627
425.93,0.028347480380981126
426.13,0.02796270786656911
426.34,0.059985062821236036
426.55,0.034428446374392525
426.76,0.009221918450489641
426.96,0.02132833874304994
427.17,0.0029860722165320434
427.38,0.011180228377206171
427.59,0.027624005067614123
427.79,0.027671085906966084
428.0,0.027049421076226286
428.21,0.03426039564828493
428.42,0.031769510175575603
428.62,0.04116146143468221
428.83,0.014638998146390013
429.04,0.048216089122067624
429.25,0.03835229526665718
429.45,0.0223923455805177
429.66,0.039731660655132325
429.87,0.035448803889579904
430.08,-0.005229417272923688
430.28,0.007601114184550568
430.49,0.0027737138159691496
430.7,0.018188382378203086
430.91,0.016179217790265002
431.11,-0.0038658883713217685
431.32,0.009353030716303164
431.53,0.029207133400271933
431.74,0.014258304386337604
431.94,0.016284938682526937
432.15,0.02730456139751034
432.36,0.021495608282775795
432.56,0.023305463619431244
432.77,0.020673032353759186
432.98,0.01867360579285284
433.19,0.028706847003462745
433.39,0.01536226043472958
433.6,0.020207285418314916
433.81,0.016902376397821415
434.02,0.01052857475602131
434.22,0.020539674086983678
434.43,-0.013135372779884762
434.64,0.016053596258374443
434.84,0.00840708314549872
435.05,0.0319439004359088
435.26,0.025506442486073026
435.47,-0.00039476546366140695
435.67,0.02179064701705115
435.88,0.028960326591968562
436.09,0.036271841046043626
436.29,0.016170643033984397
436.5,0.012665159468360597
436.71,0.02182291819269056
436.92,0.015708965451340456
437.12,0.03778863022142149
437.33,0.030974075070803405
437.54,0.03219542184370451
437.74,0.025604345635315686
437.95,0.009066873092543852
438.16,0.022897297865579053
438.36,0.0166417558116495
438.57,0.026952542597691632
438.78,0.0017143755505591332
438.99,0.026834031202794918
439.19,0.014896686578197496
439.4,0.023894853919352168
439.61,0.05207539774884567
439.81,0.022996359667636048
440.02,0.031282428677223396
440.23,0.004222737056571557
440.43,0.026617552774958565
440.64,0.011082487752675953
440.85,0.0210302894819708
441.05,0.015117159803406771
441.26,0.0177408676462048
441.47,0.013634109470567262
441.67,0.01662273241670001
441.88,0.03345373651197727
442.09,-0.005423804807078601
442.29,0.03150087839648552
442.5,0.02147515592745234
442.71,0.030324369112755788
442.91,0.02646092480355982
443.12,0.01942733954843077
443.33,0.012933640127974488
443.53,0.033326633860862785
443.74,0.004688646342426969
443.95,0.016470544451396684
444.15,0.02559207620130038
444.36,0.0133157247800976
444.57,0.00594376784766981
444.77,0.017638350304981582
444.98,0.037184288122759646
445.19,0.02437245764160298
445.39,-0.0023026709574745004
445.6,0.013559591553935123
445.81,0.00206562479263484
446.01,0.01952949737605167
446.22,0.009588781504642813
446.43,0.019311197585191134
446.63,0.022553037634583224
446.84,0.02611713703446773
447.05,0.012335494456661716
447.25,0.024402728524796413
447.46,0.0027626212675164433
447.67,0.017161566858749998
447.87,0.01872761793861351
448.08,0.025325925910402617
448.28,0.008427566807313666
448.49,0.024715685046911715
448.7,0.01963821478685567
448.9,0.01851823513852062
449.11,0.016832224299224444
449.32,0.018439790416359216
449.52,0.024002379895135893
449.73,0.0037331009223809898
449.93,0.012067908459574872
450.14,0.010985353538428465
450.35,0.012388247817199901
450.55,-0.0020522454410235474
450.76,0.008196811013712446
450.97,0.015235488605991115
451.17,0.036506051044627695
451.38,0.030044138334442135
451.58,0.026771853655953852
451.79,0.03285062495759255
452.0,0.01504972295842572
452.2,0.023997744192188492
452.41,0.020437311778381633
452.62,0.028587961312222288
452.82,0.019353443165769906
453.03,0.009772473594686734
453.23,0.03555375843134499
453.44,0.009924174160368301
453.65,0.014726924516256873
453.85,0.0030557447398398213
454.06,0.021941910785294592
454.26,0.013057913095335796
454.47,0.019020479986192867
454.68,0.017971404125794056
454.88,0.023194027276513703
455.09,0.014375040288790069
455.29,0.004030935538024145
455.5,0.012876397561377264
455.71,0.007784375865358009
455.91,0.006064709249584962
456.12,0.017981058534577567
456.32,0.004086049005046105
456.53,0.019859403493170964
456.73,0.03413206944257174
456.94,0.010587808485502481
457.15,-0.0023917854802093315
457.35,0.015540031751511252
457.56,0.0158582770621283
457.76,0.0012554021581222161
457.97,0.00891629477193416
458.18,0.01966357724504
458.38,0.020515366505981666
458.59,0.019164022168983868
458.79,0.011657093855237673
459.0,-0.00842243024229836
459.2,0.012890963712961927
459.41,0.0093635453119135
459.62,0.018716497993598435
459.82,0.012563050332039968
460.03,0.012263875811383974
460.23,0.013961798304674113
460.44,0.013223395211042774
460.64,0.013685450126531551
460.85,0.013528396753713185
461.06,0.02417089391259696
461.26,0.004353642062167976
461.47,0.009491345919492786
461.67,0.004632602755633303
461.88,0.0020496364904551098
462.08,0.01478129923973416
462.29,0.01129254173048469
462.49,0.01804067628498704
462.7,0.0007020965047953893
462.91,0.013041347406672503
463.11,0.01289503132864625
463.32,0.0037081767265066314
463.52,0.01995593327038088
463.73,0.020825541705526196
463.93,0.010754288578219582
464.14,0.013915416098226482
464.34,0.00019638619420047718
464.55,0.019386817700113967
464.75,0.008919023490426378
464.96,0.020990570624570846
465.16,0.02203779793280712
465.37,0.009489183784766422
465.58,0.014146213402536608
465.78,0.020304464523531476
465.99,0.006338812943415831
466.19,0.01560504032677519
466.4,0.010775263032396351
466.6,0.013598055792216462
466.81,0.004527867898140736
467.01,0.026776640421039218
467.22,0.0028587355222319485
467.42,0.02041289505078624
467.63,0.01272249091582553
467.83,0.007551060424929013
