Wavelength [nm],#27-BP650-Semrock-confocal.csv
400.08,0.04925407212012577
400.29,0.05104645484158436
400.5,0.042176383017919164
400.71,0.09538241712853664
400.92,0.006293320372029967
401.13,0.04714993236579601
401.34,0.09906316529473652
401.54,0.040703923313088565
401.75,0.039500157752365046
401.96,0.0425590909312021
402.17,0.06535356899313326
402.38,0.014473586078309562
402.59,0.03631496107922534
402.8,0.07257126010520278
403.01,0.0330036045389053
403.22,0.027986368263428936
403.43,0.003406369464649674
403.63,0.06124307799638583
403.84,0.05786973108338994
404.05,0.1006992939866477
404.26,0.060788714633239746
404.47,0.07552538654050538
404.68,0.023057296081580192
404.89,0.030470643897823158
405.1,0.06179531102191092
405.31,0.03792447339556336
405.52,0.05006202167247881
405.72,0.025510226951817053
405.93,0.0280496802176682
406.14,0.05492457812379282
406.35,0.04139249735192569
406.56,0.043758227055954814
406.77,0.008124867332975088
406.98,0.05626563224198193
407.19,0.035657168600067624
407.39,0.030783093594757723
407.6,-0.020757103972942878
407.81,0.06748960150275062
408.02,0.05621413936608414
408.23,0.05400458665501806
408.44,0.04753093460747167
408.65,0.04040118967501036
408.86,0.012623973841356896
409.06,0.05823766795255623
409.27,0.05319067462552094
409.48,0.04528843588690387
409.69,0.03557301956016764
409.9,0.08275593149164646
410.11,0.03743204634325361
410.32,0.04632457086424891
410.52,0.030727924873376274
410.73,0.043793378785086955
410.94,0.02301504814516753
411.15,0.04051672069717854
411.36,0.04916820114300263
411.57,0.03891644862247379
411.78,0.06446783871136957
411.98,0.0499973108604006
412.19,0.023171352374748114
412.4,0.0768086604121014
412.61,0.041880560443041635
412.82,0.021866201308013342
413.03,0.036531949275332105
413.23,0.07277031698476885
413.44,0.02614540477874555
413.65,0.026273315201864142
413.86,0.03460386895697955
414.07,0.056890715576477346
414.28,0.00976542252557467
414.48,0.05260137033804067
414.69,0.013303046232594231
414.9,0.029812350440529534
415.11,0.046566884870275105
415.32,0.032698352188423874
415.53,0.035630230854746335
415.73,0.015486001778407404
415.94,0.023865693751028733
416.15,-0.006890739074476889
416.36,0.04449712259226741
416.57,0.051267342144013364
416.78,0.028336295466266974
416.98,0.05121531896875837
417.19,0.02257345315656159
417.4,0.03963232524606135
417.61,0.039094781482802016
417.82,0.03405579763454251
418.02,0.029398109458279982
418.23,0.022802515686539362
418.44,-0.01333598802326423
418.65,0.011664014922916592
418.86,0.06022438485064213
419.07,0.04153147067400512
419.27,0.0695005348072051
419.48,0.05665696580942769
419.69,0.027602537410766945
419.9,0.032628643611316385
420.11,0.03217186078443883
420.31,0.043756902076506725
420.52,0.024340108415057148
420.73,0.016748047767963316
420.94,0.03711750231659029
421.15,0.02867612595338535
421.35,0.04777340065849734
421.56,0.032695799110612385
421.77,-0.001421495011388647
421.98,0.042864520571526975
422.19,0.05211432391776705
422.39,0.028438676062295876
422.6,0.041456726228305214
422.81,0.004055636943818207
423.02,0.05333940944500465
423.22,0.019267555278687228
423.43,0.012984671499946296
423.64,0.017500451569587763
423.85,0.032695799110612385
424.06,0.03856344236391746
424.26,0.03747004966598439
424.47,0.030764669195456396
424.68,0.03177399028875875
424.89,0.015790038329123342
425.09,0.02743990334001707
425.3,0.03636321459698241
425.51,0.010577710849367993
425.72,0.0058857593414755
425.93,0.037950515166074755
426.13,0.06261485996273347
426.34,-0.02148873881681154
426.55,0.047512071762273386
426.76,0.027716442639413835
426.96,0.02132833874304994
427.17,-0.003035582222194683
427.38,0.024627460085585053
427.59,0.03953412224088919
427.79,0.03363629396888654
428.0,0.057991312278749124
428.21,0.029303648320560132
428.42,0.023291134607936158
428.62,0.0563557335220392
428.83,0.03391051433910518
429.04,0.04039320766279695
429.25,0.055114961679440216
429.45,-0.012999725577066133
429.66,0.030468622011934243
429.87,0.021977418469043306
430.08,0.046834257725275545
430.28,0.004909254638939042
430.49,0.02434832096898905
430.7,0.007666081447384159
430.91,0.009531780072631658
431.11,0.015767543118933674
431.32,0.014245114515235002
431.53,0.04073478406388194
431.74,0.023521343029535683
431.94,0.03221247629830715
432.15,0.008294227092575686
432.36,0.036924308235163565
432.56,0.030953815509647133
432.77,0.014425332400673119
432.98,0.0034119200353544387
433.19,0.005880670798519812
433.39,0.031141711389301222
433.6,0.02903424681094271
433.81,0.027432878869459137
434.02,0.012711232311706558
434.22,0.012315198067866748
434.43,0.01683904653312958
434.64,0.041474703953826776
434.84,0.04285266118848583
435.05,0.023513803777876076
435.26,0.04104506413208097
435.47,0.04887840955171296
435.67,0.030663294209640254
435.88,0.04541862614125723
436.09,0.030522530627228078
436.29,0.025127072754263253
436.5,0.011215328571838367
436.71,0.03737304591256452
436.92,0.03807921623653726
437.12,0.03848236588816884
437.33,0.02384888444632402
437.54,0.02609153872989466
437.74,0.02423773181432735
437.95,0.009066873092543852
438.16,0.014926371675495402
438.36,0.018681918143990475
438.57,0.04470639094327761
438.78,0.03293248055419001
438.99,0.02553992752088374
439.19,0.023514683263583386
439.4,0.029283978259341942
439.61,0.020069322816515023
439.81,0.021699739043439147
440.02,0.018374799479051823
440.23,0.027714205907137367
440.43,0.03714060625847253
440.64,0.018060096883349825
440.85,0.0210302894819708
441.05,0.027899109232187694
441.26,0.013866078169463988
441.47,0.040940660119930354
441.67,0.02415819040584407
441.88,0.025165411033517975
442.09,0.03464052138067975
442.29,0.005394064467659688
442.5,0.03853451513373804
442.71,0.027714205907137367
442.91,0.023845641861460584
443.12,0.03281617301363425
443.33,0.022897297865579053
443.53,0.027318719838866905
443.74,0.012846936126505436
443.95,0.02552341254980592
444.15,0.008930256098346051
444.36,0.026959379120033395
444.57,0.030418637199905212
444.77,0.023416948244364043
444.98,0.010474737330920745
445.19,0.019304262616364552
445.39,0.01466338987904525
445.6,0.039452073465771655
445.81,0.02229804504132322
446.01,0.022632252131190744
446.22,0.027562451927900234
446.43,0.018716480300524786
446.63,0.021951161426230135
446.84,0.020710014414671435
447.05,0.00536672629695888
447.25,0.020784938890154127
447.46,0.028713036327469545
447.67,0.0106784637377655
447.87,0.008611407814269317
448.08,0.023578154109883315
448.28,0.023441912798874847
448.49,0.03570824463936982
448.7,0.03415313326009161
448.9,0.019733692432466723
449.11,-0.0026774188746334
449.32,0.028122258575014117
449.52,0.019745692455426206
449.73,0.023346925223851196
449.93,0.02570310671170119
450.14,0.03355271569385508
450.35,0.009967630777536174
450.55,0.021210720210538228
450.76,0.018540770653446732
450.97,0.018113234109772555
451.17,0.022017420233268716
451.38,0.018019892115447616
451.58,0.013819028961719724
451.79,0.01570258639301086
452.0,0.0156405749542515
452.2,0.0333823812672636
452.41,0.008983627784699013
452.62,0.017259541035979983
452.82,0.014149540446720336
453.03,0.020451979571496585
453.23,0.02034852489310043
453.44,0.026397036437677147
453.65,0.018621284498406054
453.85,0.011433427557152091
454.06,0.01923110676862412
454.26,0.03308605014638873
454.47,0.017455919348212313
454.68,0.03139443031324903
454.88,0.03288557478656396
455.09,0.014375040288790069
455.29,0.013202915004900413
455.5,0.011824026983084488
455.71,0.012815895257521508
455.91,0.025626201673928237
456.12,0.00884849726274377
456.32,0.023774627937401042
456.53,0.03238342222631378
456.73,0.04337482475891076
456.94,0.013691035432228557
457.15,0.028767917018912032
457.35,0.036104540997194734
457.56,0.02782827157697285
457.76,0.03630798468665201
457.97,0.019633471810960618
458.18,0.024263696017091427
458.38,0.024967569385499933
458.59,0.009699378401188386
458.79,0.027053390383120903
459.0,0.03183293710946595
459.2,0.019221707408932077
459.41,0.018500483486221093
459.62,0.029906146256437918
459.82,0.029825934067493814
460.03,0.013653748406396098
460.23,0.021292937350736015
460.44,0.020443711831449777
460.64,0.018793482164482657
460.85,0.01077417170974961
461.06,0.015248491113915217
461.26,0.008950347315805244
461.47,0.018265536752883105
461.67,0.02224106776831006
461.88,0.009384136176331416
462.08,0.02496819865675316
462.29,0.0011889618649567957
462.49,0.01100658370823193
462.7,0.023608638705258533
462.91,0.02823263017867177
463.11,0.00895711257064883
463.32,0.026032817757678933
463.52,0.017263504515629177
463.73,0.012051577025468186
463.93,0.023842900210347278
464.14,0.00962995506432047
464.34,0.02811920492074844
464.55,-0.001504506618448823
464.75,0.008919023490426378
464.96,0.020158786912272266
465.16,0.015403577088775884
465.37,0.028490819850936207
465.58,0.015741446066933798
465.78,0.011570744633624973
465.99,0.023271846340197282
466.19,0.005579866432727464
466.4,0.018620027005176714
466.6,0.021317016640629925
466.81,0.01755347470201122
467.01,0.0233077254760053
467.22,0.005919798498372449
467.42,0.016290684586195057
467.63,0.015306020846139256
467.83,0.0195082765643877
468.04,0.025687543809013332
468.24,0.010165223143752003
468.45,0.022536657588910596
468.65,0.020539393570460456
468.86,0.009465937930511103
469.06,0.011191295906690863
469.27,0.012976906763119949
469.47,0.008357295182227473
469.68,0.00562451250744675
469.88,0.011359646639107551
470.09,0.005154546511363146
470.29,0.013886362842506808
470.5,0.002150285728628934
470.7,0.015194265249836827
470.91,0.019451114559570448
471.11,0.005447785610184124
471.32,0.006746713958091039
471.52,0.0029854401681733834
471.73,0.011024565742120651
471.93,0.0020251232353341916
472.14,0.02326865812340231
472.34,0.009086321719891105
472.55,0.014398648294709214
472.75,0.015826173563878103
472.96,0.01772998094612426
473.16,0.016068499594074043
473.37,0.012649347407901274
473.57,0.011957916127722587
473.78,0.006521959281342113
473.98,0.004618352985791944
474.19,0.01172114263023355
474.39,0.015686587310055358
474.6,0.01058069391556776
474.8,0.01191515385151017
475.01,0.00719227163445669
475.21,0.0009556092281153216
475.42,0.00824555819343335
475.62,0.009062267173751089
475.83,0.012315245108553191
476.03,0.017852101877495294
476.24,0.013478166702763951
476.44,0.0166142768020275
476.64,0.008807124447839213
476.85,0.0045806211625589845
477.05,0.004380431008437097
477.26,0.010405600919165937
477.46,0.008918033854343312
477.67,0.012146741653453245
477.87,0.01463557135206194
478.08,-0.0013272872821353254
478.28,0.005462837054947563
478.49,0.010428857736672015
478.69,0.002780584908111662
478.9,0.0029169236257352345
479.1,0.01096156114216091
479.3,0.01424034683050422
479.51,0.009352326064036978
479.71,0.008699032979868194
479.92,-0.0022142072026513555
480.12,0.0069880573596510925
480.33,0.001910742755607491
480.53,0.005885801533555636
480.74,0.011540312133736361
480.94,0.007011568406669374
481.14,0.008043673820802986
481.35,0.006542659851163082
481.55,0.009308819923571025
481.76,0.004327446950201192
481.96,0.010066395039968716
482.17,0.009499411809452395
482.37,0.0029822377828696723
482.57,0.006822443397602517
482.78,0.008997242227524238
482.98,0.005621893953280207
483.19,0.0023451478090259956
483.39,0.009017840926248905
483.6,0.00109963916508397
483.8,0.007910239673975356
484.0,0.002272667344642278
484.21,0.007063910445002726
484.41,0.010150128730340508
484.62,0.0004945936664653334
484.82,0.004553565633804004
485.02,0.004853984469818328
485.23,0.008681904126119414
485.43,9.206323549565575e-05
485.64,0.01044215920931141
485.84,0.004336842192955121
486.05,0.010347657628621774
486.25,0.010782154329242042
486.45,0.011042663232983821
486.66,0.006409111733095248
486.86,0.00582318264320178
487.07,0.0074594853346292974
487.27,0.008372675131671718
487.47,0.004720852353525913
487.68,0.008162146995230006
487.88,0.007975681595743495
488.09,0.004627277333959108
488.29,0.006584020879779031
488.49,0.0026594320595427277
488.7,0.005160194203240596
488.9,0.007109605202378259
489.1,0.007704287944654086
489.31,-0.0004470591078277246
489.51,0.008120831230156018
489.72,0.010513838164602973
489.92,0.005307215143638146
490.12,0.00626315939902633
490.33,0.011485365621719461
490.53,0.006733423783875676
490.74,0.01135377607716152
490.94,0.010471258726304257
491.14,0.005941807120371979
491.35,0.0016222094208903429
491.55,0.007361177690971859
491.75,0.006809357949748385
491.96,-0.0007670080532799428
492.16,0.004138916215997529
492.36,0.006842745783266632
492.57,0.005828284849439529
492.77,0.010588293889513305
492.98,0.006710008474732957
493.18,0.008629466549059354
493.38,0.00646913204681735
493.59,0.010894294276236012
493.79,0.016282585136566538
493.99,0.006037810904980858
494.2,0.0005612804872728986
494.4,0.009354845320381649
494.6,0.010172028941112118
494.81,0.0045740789862246025
495.01,0.009465236002019413
495.22,0.00429067938963789
495.42,0.0002356418359322175
495.62,0.004426935849717215
495.83,0.0038951587922774803
496.03,0.008162946305053115
496.23,0.006504809067576335
496.44,0.00996276369026688
496.64,0.0024149367854782687
496.84,0.00450817081040565
497.05,0.005754854221522446
497.25,0.003669401800340684
497.45,0.002862215137132719
497.66,0.011001723459205574
497.86,0.006266378160410598
498.06,0.006034255614340264
498.27,0.0064375003066904374
498.47,0.009025466195450905
498.67,0.0037063732949348107
498.88,0.005564327278374974
499.08,0.00935852817717076
499.28,0.005392472147147027
499.49,0.0074565706636652304
499.69,0.007059844463740909
499.89,0.0036718926682510074
500.1,0.006797312744012977
500.3,0.005794320319996019
500.5,0.006251813210202245
500.7,0.004089518527066492
500.91,0.008480995658379958
501.11,0.005555019328182357
501.31,0.003945351599505269
501.52,0.001552103711026127
501.72,0.004535439984794423
501.92,0.0062124787353680265
502.13,0.008806739452841175
502.33,0.00415852518679213
502.53,0.003744957846085993
502.74,0.005652984453367773
502.94,0.002735070960044534
503.14,0.0016628645174746833
503.34,0.0023365189388662813
503.55,0.005427881396336433
503.75,0.008500613163268781
503.95,0.004374610424183839
504.16,0.007385883597716494
504.36,0.0005034792240472169
504.56,0.009313324814868901
504.76,0.0041774401343536586
504.97,0.005840448963425433
505.17,0.0048421500707458735
505.37,0.00818367633114411
505.58,0.0046291761686913496
505.78,0.0004931084894886188
505.98,0.0019434868281412799
506.18,0.004927648463214388
506.39,0.005762282173083577
506.59,0.0059966672202676945
506.79,0.007218488289441762
507.0,0.006373453841239948
507.2,0.005823183738289646
507.4,0.012015015827812238
507.6,0.007028956938057917
507.81,0.010855853278029778
508.01,0.0028351644081500943
508.21,0.0057491354355485025
508.41,0.003455378478862468
508.62,0.006497072580617948
508.82,0.006258537350956857
509.02,0.0036635981522202933
509.23,0.007861707463229414
509.43,0.00837026380283829
509.63,0.0034761273359295935
509.83,0.006548863267996986
510.04,0.007246924383840802
510.24,0.007102731291604447
510.44,0.007787986602927727
510.64,0.005749088116814542
510.85,0.007107254276186041
511.05,0.008934939195125365
511.25,0.005482369064392758
511.45,0.007913172874564273
511.66,0.007380439836416474
511.86,0.008719285621601222
512.06,0.003347745200706336
512.26,0.005364643606469963
512.46,0.004150523239182386
512.67,0.007405604371188765
512.87,0.004496947678579227
513.07,0.009480864343332408
513.27,0.005917287175903198
513.48,0.01224802583415957
513.68,0.006121285492666955
513.88,0.008116035621324043
514.08,0.005735181694240097
514.29,0.006236546169623359
514.49,0.004097071594590073
514.69,0.006396744808372592
514.89,0.008434460371256558
515.09,0.0030385932157588826
515.3,0.007703671246314175
515.5,0.00031283397987207545
515.7,0.0028083864073558465
515.9,0.004774010101528625
516.11,0.005095075820685508
516.31,0.00449403639287426
516.51,0.0033622568725507895
516.71,0.004092601429881493
516.91,0.007765305207299383
517.12,0.0062633725171612675
517.32,0.003778297826949732
517.52,0.006381441977525185
517.72,0.005391117216390604
517.92,0.003770602231848298
518.13,0.007100642034100094
518.33,0.006552951770915423
518.53,0.001010708358493753
518.73,0.005223016421893666
518.93,0.0012324202303199132
519.14,0.00949196729432317
519.34,0.002133065928145384
519.54,0.005479792549195766
519.74,0.0016890891891994065
519.94,0.007758558072884854
520.15,0.00859969222154155
520.35,0.002709842521810603
520.55,0.0036690560892953267
520.75,0.006337200324246377
520.95,0.0037239899290969192
521.16,0.005013131209635173
521.36,0.002592293663259107
521.56,0.006152527257324998
521.76,0.005562644976409423
521.96,0.003889133518259614
522.16,0.00397326657633036
522.37,0.004151719294833451
522.57,0.005815647746268849
522.77,0.004881406265083994
522.97,0.0076895726718965735
