Wavelength [nm],#18-810.csv
400.08,0.06275898586841944
400.29,-0.01193718753618659
400.5,0.054633626591385535
400.71,0.030212711329906345
400.92,0.0048858038286475735
401.13,0.0007059825282797787
401.34,0.00619736848665552
401.54,0.06786729955310543
401.75,0.02799716562963888
401.96,0.02362664357673435
402.17,-0.009594493870624932
402.38,0.03935363579863274
402.59,0.03367110637711074
402.8,0.004991181384186545
403.01,0.07076636475216981
403.22,0.055328523867833185
403.43,0.008920027171622566
403.63,0.07067105282282098
403.84,0.060472300887026986
404.05,0.08468800545228536
404.26,0.03201065296462035
404.47,0.07416386280934265
404.68,0.05029327449385129
404.89,0.04403049503211934
405.1,0.03052182138930796
405.31,0.03792447339556336
405.52,0.018831184028834276
405.72,-0.00688968877612765
405.93,0.0385007589250051
406.14,0.056188047939135344
406.35,0.02991980117661629
406.56,0.03895902116915911
406.77,0.07466838889164891
406.98,0.0643912664047201
407.19,0.06070503435071522
407.39,0.06881731590294721
407.6,0.008847220388221359
407.81,0.06363093778483096
408.02,0.045556582596065015
408.23,0.022430927159550116
408.44,0.026391053994567214
408.65,0.07057725289277733
408.86,0.060847467182438365
409.06,0.028807595076073608
409.27,0.024385629012276207
409.48,0.018212768840539864
409.69,0.03557301956016764
409.9,0.023194628341753377
410.11,0.03973759832806019
410.32,0.028262536221526354
410.52,0.07599931520863175
410.73,0.01647318960751801
410.94,0.05786721558762991
411.15,0.003964976723737724
411.36,0.004943466312444613
411.57,0.02684804786316695
411.78,-0.016297527730814346
411.98,0.02009407851460207
412.19,0.007324769446876126
412.4,0.032583925581543376
412.61,0.036575358673623264
412.82,0.034219211394823736
413.03,0.040014363916505605
413.23,0.04481364312501314
413.44,0.07501266045293035
413.65,0.043808647449288196
413.86,0.011513528692852637
414.07,0.022424927773624356
414.28,0.045501478290076634
414.48,0.030439998883959752
414.69,0.042103930288507695
414.9,0.061283761891563815
415.11,0.009699438957632684
415.32,0.02230843115929846
415.53,0.021159516205192692
415.73,0.012275630045076124
415.94,0.018781660905982007
416.15,0.022661609661461638
416.36,0.05183102625658114
416.57,0.03399918884256607
416.78,0.015958413879849993
416.98,0.03092045948145908
417.19,0.016546156875923736
417.4,0.03328628334240096
417.61,0.03074815634910214
417.82,0.040348593741157866
418.02,0.011844671012312704
418.23,0.039038403276378794
418.44,0.013274725947934935
418.65,0.020815274044000697
418.86,0.029267070469251522
419.07,0.05692443420707785
419.27,-0.0017284643509310894
419.48,0.06105996713587143
419.69,0.009182246494320855
419.9,0.026949359718623524
420.11,0.001373086826759451
420.31,0.002487463113492807
420.52,0.03198484801611449
420.73,0.037084179148150216
420.94,0.032293441706953974
421.15,-0.004126556472203886
421.35,0.017483886564135426
421.56,0.020145049516125425
421.77,0.04321010365207157
421.98,0.027514234580692975
422.19,0.010812115809608747
422.39,0.016305825715331273
422.6,0.02779113984052138
422.81,0.03489544417870908
423.02,0.022415828510120712
423.22,0.003267121919510341
423.43,0.01394855365668463
423.64,0.047818663285858924
423.85,0.03179931699672046
424.06,0.05571493695009138
424.26,0.011884927246473432
424.47,0.028869780963189446
424.68,-0.014668550323042186
424.89,0.053748549247559355
425.09,0.03824612663623911
425.3,0.03636321459698241
425.51,0.01979879462523595
425.72,0.04590499684282507
425.93,0.015252432946762543
426.13,0.02618567442574017
426.34,0.03282712894188684
426.55,0.03093947960429096
426.76,0.024193676127237797
426.96,0.031324056731746736
427.17,0.006427017610090173
427.38,0.03628172756618008
427.59,0.025071837101912322
427.79,0.046418882673001795
428.0,0.022751936186987003
428.21,0.019390153665110533
428.42,0.023291134607936158
428.62,0.033164476125546946
428.83,0.06156095061560954
429.04,0.009970890876744314
429.25,0.004826962441091099
429.45,0.031830231222540056
429.66,0.04590701975059771
429.87,0.02646788027588884
430.08,0.0436303392638479
430.28,0.011190260245365938
430.49,0.01396054715457206
430.7,0.02304482896165798
430.91,0.01701014750496917
431.11,0.028571954960404614
431.32,0.02565997671274262
431.53,0.029207133400271933
431.74,0.017345983934070296
431.94,0.0360047471592072
432.15,0.010670518880692518
432.36,0.03936041875396163
432.56,0.008008759838999471
432.77,0.02770169480098101
432.98,0.03088295439885156
433.19,0.01690020413883709
433.39,0.024829931007472564
433.6,0.03124098715909966
433.81,0.0071240526741578195
434.02,0.038175570461367776
434.22,0.01829663517267906
434.43,0.040818581983541054
434.64,0.03175486865850677
434.84,0.0369895840747859
435.05,0.01157116684566305
435.26,0.023286639393786175
435.47,0.013043373176895239
435.67,0.02918451967754207
435.88,0.010355292318859633
436.09,0.03555317724369168
436.29,0.0037694326520598324
436.5,-0.0076324730829506375
436.71,0.01812050683081581
436.92,0.029690372192088463
437.12,0.01767029588574825
437.33,0.04237438006997042
437.54,0.01591840020687824
437.74,0.031754107829763206
437.95,0.021426273794984612
438.16,0.018911834770537227
438.36,-0.004439921622540587
438.57,0.023538340992771252
438.78,0.030157537887200603
438.99,0.006128372292216085
439.19,0.0016382301391422802
439.4,0.005032918729387959
439.61,0.018026381863387536
439.81,0.0022504296804856517
440.02,0.03063704721731482
440.23,0.014010849077640644
440.43,0.004913754965211019
440.64,0.019963081191715425
440.85,0.014347902379458656
441.05,0.0016624761941636944
441.26,0.02549044659968642
441.47,0.05559295559032031
441.67,0.018506596913986022
441.88,0.026440538030204023
442.09,0.01810603755716043
442.29,0.026406865922568287
442.5,0.017380909717943774
442.71,0.02967182831135118
442.91,0.024499462596985395
443.12,0.03026591902026216
443.33,0.02887549250814179
443.53,0.018306848805873084
443.74,0.0015508425793198661
443.95,0.015177277580195363
444.15,0.011398673891376322
444.36,0.021377884162786933
444.57,0.01661230064223396
444.77,0.028553479746037343
444.98,0.035912404751719695
445.19,0.02437245764160298
445.39,0.018578634687472884
445.6,0.02682159448438798
445.81,0.011586763733194078
446.01,0.020150048327079482
446.22,0.021984416279303105
446.43,0.0127693074538613
446.63,0.023756790051289403
446.84,-0.003922433075511675
447.05,0.0091678725658877
447.25,0.008725640108013168
447.46,0.007705557469412272
447.67,0.020403118419242246
447.87,0.0050409807115596025
448.08,0.006683026704863397
448.28,0.007801969057665285
448.49,0.019219405250682664
448.7,0.02387173267488282
448.9,0.019733692432466723
449.11,0.013876217757730831
449.32,0.021465561715938872
449.52,0.019137594249753392
449.73,0.024500679594525916
449.93,0.017026162369438987
450.14,0.012677905700085462
450.35,0.0238861787556026
450.55,0.027026461623428675
450.76,0.010630683870120514
450.97,0.006602252094646795
451.17,0.008736175322856317
451.38,0.012866643735878536
451.58,-0.007965267114946765
451.79,-0.00658986374094534
452.0,0.01623142695007728
452.2,0.027309969042215002
452.41,0.012801522449259887
452.62,0.027455119284598057
452.82,-0.007822493255933404
453.03,0.0168921442458933
453.23,0.023606789222724266
453.44,-0.008820807051741765
453.65,0.012501575955028769
453.85,0.021486646937926818
454.06,0.011098694718612714
454.26,0.02251564448055524
454.47,0.0059824746696882525
454.68,0.02763598298076164
454.88,0.0058512580480027205
455.09,0.03066636193690924
455.29,0.014821499616702106
