Wavelength [nm],#8-IR-cutoff-700.csv
400.08,0.2113130370996498
400.29,0.19380937756453184
400.5,0.16121226605326447
400.71,0.23968676568264657
400.92,0.16393517323085807
401.13,0.21644562048319388
401.34,0.2196500954783641
401.54,0.24514407080374181
401.75,0.26956000020688836
401.96,0.23729283514858474
402.17,0.2755020589836709
402.38,0.2715674331883158
402.59,0.23460406373782094
402.8,0.2825008663449553
403.01,0.25823149581087573
403.22,0.28226841538438846
403.43,0.30527912892141557
403.63,0.30098300929716537
403.84,0.2921010134107239
404.05,0.3168516892005395
404.26,0.3106346136653445
404.47,0.3628068938158417
404.68,0.27528613963869947
404.89,0.38302677338952384
405.1,0.38732390765218727
405.31,0.42126116446175543
405.52,0.4313384979053058
405.72,0.3856477517739716
405.93,0.4630758314105667
406.14,0.4743965568175104
406.35,0.5028498324032593
406.56,0.4636887421505794
406.77,0.5254065820909678
406.98,0.5089795355945367
407.19,0.5791958553891204
407.39,0.6131001523822105
407.6,0.5879078048925939
407.81,0.6064163007721954
408.02,0.5879078048925939
408.23,0.5895424265589166
408.44,0.6453197808279364
408.65,0.6451294965590605
408.86,0.6600243719453757
409.06,0.6609655604629202
409.27,0.7106971505800203
409.48,0.7751542432236728
409.69,0.7296224735688079
409.9,0.6831338672425687
410.11,0.7118060018991778
410.32,0.7170281239306799
410.52,0.7121203896629908
410.73,0.6892328481051533
410.94,0.6773363852907516
411.15,0.7190084682041737
411.36,0.7401796828704716
411.57,0.7619233668391288
411.78,0.6847907226353656
411.98,0.7688250114805575
412.19,0.7328718877873007
412.4,0.6804762908492183
412.61,0.6933593377276179
412.82,0.739463787259999
413.03,0.7713214385629402
413.23,0.7635331336028995
413.44,0.775443325116246
413.65,0.6792065688853599
413.86,0.7097214366795473
414.07,0.6668307179057544
414.28,0.8236252731622967
414.48,0.7606571882959261
414.69,0.7087910612124305
414.9,0.75908091923691
415.11,0.6989158583800869
415.32,0.6831074086116748
415.53,0.7498633610577156
415.73,0.671471959289099
415.94,0.7518991971617198
416.15,0.749860476770806
416.36,0.7307409654673385
416.57,0.7348830581366033
416.78,0.7596627991970702
416.98,0.71790145312654
417.19,0.7699581919556553
417.4,0.7789462070224965
417.61,0.7496012459890038
417.82,0.8007281232905137
418.02,0.7645774137834978
418.23,0.8193757505630364
418.44,0.8211760021135416
418.65,0.7763025548179441
418.86,0.8927550180358969
419.07,0.792708091087954
419.27,0.8620644778207521
419.48,0.8491972045693017
419.69,0.7712005970378275
419.9,0.7974388744939547
420.11,0.8049410982680306
420.31,0.8600865361985626
420.52,0.8107926948738309
420.73,0.8606975000457198
420.94,0.7877413331760019
421.15,0.7758483367584735
421.35,0.8154232734874821
421.56,0.7893267032353976
421.77,0.8112455306524495
421.98,0.815796568109992
422.19,0.9101676973647557
422.39,0.8292067989619598
422.6,0.8789619491367717
422.81,0.7360475321954928
423.02,0.8264289328171031
423.22,0.8164656173506181
423.43,0.8505982657055583
423.64,0.8285126149798413
423.85,0.8009809707159925
424.06,0.8294379149486037
424.26,0.8253153710667873
424.47,0.8408293884895764
424.68,0.8536050350280188
424.89,0.7912281899486019
425.09,0.851414429676947
425.3,0.8415434731459666
425.51,0.8441636841878315
425.72,0.839013521869571
425.93,0.7808762062674091
426.13,0.8382899568845663
426.34,0.8396805838735193
426.55,0.852591153963209
426.76,0.8212195995070661
426.96,0.8200770762034576
427.17,0.841716511896326
427.38,0.8744925040551305
427.59,0.8562278712654653
427.79,0.8355306920070503
428.0,0.8736539442563651
428.21,0.847166957395152
428.42,0.8719765289286444
428.62,0.8472575805955165
428.83,0.8818572268185723
429.04,0.8313734441001654
429.25,0.8941305279192651
429.45,0.8309045489137661
429.66,0.8780366578645586
429.87,0.9479106430405918
430.08,0.8622315061586112
430.28,0.9524438146941964
430.49,0.8329965594451423
430.7,0.9052992916226297
430.91,0.9235544662472165
431.11,0.9359779407926453
431.32,0.9062350605204731
431.53,0.9184830417359007
431.74,0.8780366578645586
431.94,0.8740966074181183
432.15,0.8748486324925135
432.36,0.9098639108044715
432.56,0.8952175791040423
432.77,0.8898842883268581
432.98,0.8649340810461391
433.19,0.9260117047150126
433.39,0.9053232942725702
433.6,0.9242352480466114
433.81,0.9112429077390535
434.02,0.8974150948827934
434.22,0.9214936379993384
434.43,0.9430486033052727
434.64,0.9132691619802215
434.84,0.9684859605138628
435.05,0.882681154842378
435.26,0.8941893859343268
435.47,0.9529665147580517
435.67,0.9467641168444654
435.88,0.9298733323552048
436.09,0.948974870033012
436.29,0.9235258693114652
436.5,0.9470811722769386
436.71,0.9474257586613786
436.92,0.9384818103407088
437.12,0.9472760893272012
437.33,0.9429984750041649
437.54,0.9301444488086206
437.74,0.9255195467561357
437.95,0.9411110907707234
438.16,0.9289259081384208
438.36,0.9462757252483543
438.57,0.9221562034078153
438.78,0.9556009173281694
438.99,0.9249419864491517
439.19,0.9124941875022355
439.4,0.9690125350450588
439.61,0.9319019682290838
439.81,0.9461902440958286
440.02,0.9231996062708792
440.23,0.9380086238665625
440.43,0.9375193699416359
440.64,0.9124627218151824
440.85,0.9238207870313615
441.05,0.9401266579388683
441.26,0.958668912248098
441.47,0.9633692613240251
441.67,0.925273374940988
441.88,0.973222333069593
442.09,0.9179635225679234
442.29,0.9325043347205966
442.5,0.9924938819492343
442.71,0.938661164667967
442.91,0.9921541511737023
443.12,0.9948994920132558
443.33,0.9721017583347072
443.53,0.9387192769756421
443.74,0.9159068591487296
443.95,0.9502092254587492
444.15,0.9487803307946219
444.36,1.0
444.57,0.9303407564590224
444.77,0.9512029507341037
444.98,0.9116041057127237
445.19,0.9144742089491016
445.39,1.015008438432306
445.6,0.9355845571949433
445.81,0.8809857632430095
446.01,0.9218105801704952
446.22,0.9250064096133053
446.43,0.958964507358022
446.63,0.9277748549976294
446.84,0.9495335222152346
447.05,0.9341134646719005
447.25,0.9065404344384076
447.46,0.9536599731072266
447.67,0.9831439318854404
447.87,0.9059787529619775
448.08,0.9429061211830362
448.28,0.9205490857946554
448.49,0.9261055716284761
448.7,0.9437546909162107
448.9,0.9380116780087486
449.11,0.9059989919805032
449.32,0.9431154995679024
449.52,0.9470954561064653
449.73,0.9053921416046731
449.93,0.9361624809104995
450.14,0.844849385181442
450.35,0.9346433399290794
450.55,0.9092744339589091
450.76,0.8989942764590652
450.97,0.8779835906396669
451.17,0.9034091279242734
