Wavelength [nm],#23-Edmund-46158.csv
400.08,0.0357491583718321
400.29,0.04684754534973296
400.5,0.013109481346497637
400.71,0.051935946596116445
400.92,0.01051587000217715
401.13,0.03366620499361388
401.34,0.054709351893862015
401.54,0.0507114829804632
401.75,0.026559291614298108
401.96,0.08042398564013761
402.17,0.04624916081217528
402.38,0.07529148539465512
402.59,0.04821230723874108
402.8,0.08838787427395126
403.01,0.03974695457698825
403.22,0.04712587718651191
403.43,0.05440770325414893
403.63,0.04238712834351553
403.84,0.03314531794883802
404.05,0.07935090927416456
404.26,0.04247540266230013
404.47,0.04421034072376256
404.68,0.047924928544958154
404.89,0.07793012286785979
405.1,0.04047247718149981
405.31,0.08148546101672155
405.52,0.053965876377934374
405.72,0.0392178836059475
405.93,0.056790146662844675
406.14,0.028391712001599838
406.35,0.06051365764410802
406.56,0.05695604324464302
406.77,0.03449116832792132
406.98,-0.007578636179532208
407.19,0.08074332695123329
407.39,0.026848518873220883
407.6,0.053845793417191
407.81,-0.0032525666591096806
408.02,0.02424146905602676
408.23,0.06250518728841328
408.44,0.039309869924675486
408.65,0.022295551744350176
408.86,-0.004254248828021619
409.06,0.0747185087633865
409.27,0.09201486653902471
409.48,0.04764284171702248
409.69,0.037987104617589
409.9,0.06488754054667854
410.11,0.033973718366043744
410.32,0.013812908507348306
410.52,0.05626563224198193
410.73,0.03013328419630248
410.94,-0.0005944846384360163
411.15,0.022240848710458134
411.36,0.04916820114300263
411.57,0.022459538496146285
411.78,0.03978953229848004
411.98,0.06839929999627661
412.19,0.01524806091081212
412.4,0.024844596986195722
412.61,-0.012232497605025778
412.82,0.04881822331559966
413.03,0.02260229071063811
413.23,0.038989336070897364
413.44,0.005202295204094917
413.65,0.028336295466266974
413.86,0.045599269082754273
414.07,0.02764701683466269
414.28,0.013223750502784537
414.48,0.08141115322834587
414.69,0.02610343914633355
414.9,0.06236898297608223
415.11,0.0506632677494576
415.32,0.0358153284971615
415.53,0.06663890510378986
415.73,0.04223909955616807
415.94,0.035050566010131526
416.15,0.033216019924296826
416.36,0.04764022416268758
416.57,0.007589072028587858
416.78,0.02214735467305848
416.98,0.03802366030201383
417.19,0.01353250873560481
417.4,-0.002674620778341237
417.61,0.014054906081702392
417.82,0.043494991794465546
418.02,0.012877226215016661
418.23,0.03193520245582404
418.44,0.003694868918303235
418.65,0.012680821491925938
418.86,0.041428872547654975
419.07,0.0189551241588318
419.27,0.07176177287571735
419.48,0.0478509631565402
419.69,0.029541515401971797
419.9,0.028842454349521145
420.11,0.007906160090509623
420.31,0.012553179933740104
420.52,0.028162478215585818
420.73,-0.0015544704742048942
420.94,0.010102762902626895
421.15,0.0405215390515148
421.35,0.03830792750400924
421.56,0.06048674464126207
421.77,0.02647325415327399
421.98,0.028417192580153797
422.19,0.0727654279718462
422.39,0.029371972242831616
422.6,0.0190061200198032
422.81,0.008590902713655101
423.02,0.05433694431387187
423.22,0.03903279648708221
423.43,0.025515139537544633
423.64,0.027922336847055973
423.85,0.01745560317444965
424.06,0.03189341669151649
424.26,0.02247187445454693
424.47,0.051608439750392816
424.68,0.04086057432150241
424.89,-0.008611861547014096
425.09,0.02743990334001707
425.3,0.04833957999874076
425.51,0.0317862035338643
425.72,0.035900187467487674
425.93,0.027474477218699885
426.13,0.048398592436101937
426.34,0.038959565624320534
426.55,0.01960033760146088
426.76,0.025955059383325818
426.96,0.03950237144977139
427.17,0.01330890839720643
427.38,0.02373097797169313
427.59,0.04804134879322852
427.79,0.006366771400107321
428.0,0.027908918054074142
428.21,0.015259530892006533
428.42,0.03431302284586744
428.62,0.013172012852708795
428.83,0.028883162288831653
429.04,0.016924563284984918
429.25,0.007473699243109474
429.45,0.04520056921540506
429.66,0.0073110254039390424
429.87,0.04353163514190186
430.08,0.005183317726716159
430.28,0.023752271458219728
430.49,0.02115208287224536
430.7,0.013331935794748197
430.91,0.044430828090206716
431.11,0.03625460206528718
431.32,0.019137198314166836
431.53,0.04402839853919908
431.74,-0.0065835325608580774
431.94,0.015526484510346926
432.15,0.03918602033809449
432.36,0.032864124037166785
432.56,0.011832935784107415
432.77,0.037073244730610105
432.98,-0.004218922843394762
433.19,0.010603327944370074
433.39,0.03035273884157264
433.6,0.011380324025687122
433.81,0.0229198063816144
434.02,0.0163489949045153
434.22,0.019044314810780602
434.43,0.040818581983541054
434.64,0.019044314810780602
434.84,0.004742659949436261
435.05,0.029836376271400622
435.26,0.02476650812197741
435.47,0.032454017879921505
435.67,0.017354323420756598
435.88,0.022520122420507778
436.09,0.028366539220172248
436.29,-0.0010532602742441657
436.5,0.0315129611231496
436.71,0.01738002455844086
436.92,0.03807921623653726
437.12,0.01281414621851678
437.33,0.018861251009188448
437.54,0.010492726327936148
437.74,0.025604345635315686
437.95,0.02433436807791185
438.16,0.022897297865579053
438.36,0.037723433245839585
438.57,0.002370291042264895
438.78,0.0169765602190009
438.99,0.011304787019860792
439.19,0.03876190816849688
439.4,0.02524213500434961
439.61,0.020750303134224185
439.81,0.03142439372491589
440.02,0.013211747799783196
440.23,0.036197236325397245
440.43,0.012148354235126868
440.64,0.01552278447219569
440.85,0.0163526185102123
441.05,0.029244577593112
441.26,0.011928683431093585
441.47,0.03228248552379084
441.67,0.0034356809356979015
441.88,0.03472886350866332
442.09,0.007295028903320876
442.29,0.02003935033017174
442.5,0.019428032822698057
442.71,0.016621012283259066
442.91,0.003577199060191515
443.12,0.00412581558819822
443.33,0.022897297865579053
443.53,0.01890764020807267
443.74,0.014102057631748278
443.95,0.00547777604618547
444.15,0.03855126961470931
444.36,0.03192070797091914
