Wavelength [nm],#35-FBH650 ∆10.csv
400.08,0.018192770499050336
400.29,0.07623991179269274
400.5,0.05601776476621513
400.71,0.05659092558173289
400.92,0.06400149865070812
401.13,0.057637275877493226
401.34,0.08243048526940858
401.54,0.10503823546049693
401.75,0.03806228373702428
401.96,0.09529947999007657
402.17,0.05506657997261742
402.38,0.07390926041019272
402.59,0.02573954227076691
402.8,0.01361842547623117
403.01,0.041095624584604834
403.22,0.04712587718651191
403.43,0.037866730133230254
403.63,0.09356756311559206
403.84,0.03574788775247507
404.05,0.04732833220543985
404.26,0.02154590326694057
404.47,0.04284881699259983
404.68,0.060950831263870416
404.89,0.05352239082612666
405.1,0.013463554316979065
405.31,0.08273006066304037
405.52,0.02663889343974541
405.72,0.041710184815789406
405.93,0.030662449894502425
406.14,0.07387662535393066
406.35,0.04011775333244687
406.56,0.06415485207483658
406.77,0.03449116832792132
406.98,0.021441485830246944
407.19,0.06571460750084474
407.39,0.050455967202441936
407.6,0.032530679877152746
407.81,0.05977227406691131
408.02,0.053845793417191
408.23,0.052790215135961605
408.44,0.038135432112847464
408.65,0.01867442415821814
408.86,0.062053054515965406
409.06,0.0770729145935051
409.27,0.06446221421331236
409.48,0.04882004463208179
409.69,0.08264767817988411
409.9,0.022003402278755513
410.11,0.038584822335656896
410.32,0.05595765600703428
410.52,0.06671287616550242
410.73,0.04607006121655103
410.94,0.06124000598528756
411.15,0.08277967466646949
411.36,0.02152774187390387
411.57,0.04659634001475996
411.78,0.05212868550492481
411.98,0.054597808144369604
412.19,0.03675413774149553
412.4,0.040323254176891025
412.61,0.06204032716683146
412.82,-0.0017168179486246836
413.03,0.02608470535181161
413.23,0.034329890427604745
413.44,0.05174253870331855
413.65,0.028336295466266974
413.86,0.0049162886173878045
414.07,0.05584629776426968
414.28,0.09622362195582135
414.48,0.032656136029367844
414.69,0.06557131729702978
414.9,0.038494119116676925
415.11,0.02608497047436265
415.32,0.05243920214376216
415.53,0.027361251055001395
415.73,0.06257145386726617
415.94,0.04521863170022498
416.15,0.01949528658261108
416.36,0.046592523639214185
416.57,0.02892032022449334
416.78,0.05721801916790659
416.98,0.022802515686539362
417.19,0.049696286419431926
417.4,0.057612777306432446
417.61,0.01614156236512736
417.82,0.08754456454077306
418.02,0.030430664660983937
418.23,0.02483200163526929
418.44,0.05052972550761377
418.65,0.04521863170022498
418.86,0.0878648441197409
419.07,0.03640048282964755
419.27,0.01183896406014247
419.48,0.052253964482983944
419.69,0.05474822928763487
419.9,0.008964960725096139
420.11,0.022838898979081444
420.31,0.03067147021018524
420.52,0.044407549867832664
