Wavelength [nm],#16-IR-cutoff.csv
400.08,0.22616844222277283
400.29,0.20220719654823463
400.5,0.21796193122127794
400.71,0.3110631101287655
400.92,0.2934266952220383
401.13,0.2988461766465291
401.34,0.27370630556067993
401.54,0.2880336122353474
401.75,0.2451161419460953
401.96,0.26974845918481516
402.17,0.3019543164649973
402.38,0.2964474829086389
402.59,0.26368646546108165
402.8,0.26956000020688836
403.01,0.27171819588704166
403.22,0.2932052776261502
403.43,0.30665754334815876
403.63,0.2511494280717224
403.84,0.25436375125798677
404.05,0.3128488670669489
404.26,0.2818565519967251
404.47,0.361445370084679
404.68,0.3333106153865814
404.89,0.3653989669149388
405.1,0.3972745634443791
405.31,0.39263537259642295
405.52,0.3441524094834648
405.72,0.39810925782318113
405.93,0.4421736739958929
406.14,0.44154634161860484
406.35,0.4085187749618265
406.56,0.46968774950907405
406.77,0.5065735099517206
406.98,0.4880850477474957
407.19,0.5992341479896385
407.39,0.5711313553524842
407.6,0.5843552859692541
407.81,0.6475753804300051
408.02,0.6826416428483194
408.23,0.6587616031451349
408.44,0.6535408455107325
408.65,0.7054816229945944
408.86,0.737181961291106
409.06,0.7115852858104703
409.27,0.8033742538574163
409.48,0.8081159248453333
409.69,0.8068731954062914
409.9,0.8344195772432972
410.11,0.8778057448052513
410.32,0.8892195208579683
410.52,0.8850803168412745
410.73,0.8440472534447107
410.94,0.8257391627876881
411.15,0.8606464761012569
411.36,0.8076224034870726
411.57,0.7937400597500286
411.78,0.8339823023132886
411.98,0.8688858274068834
412.19,0.837006575599031
412.4,0.8828044526990213
412.61,0.781425687099963
412.82,0.8585018844601718
413.03,0.8386481216256279
413.23,0.8637112149336909
413.44,0.8440901842776009
413.65,0.7297495853632292
413.86,0.80428187776121
414.07,0.7441176360091217
414.28,0.8017225293066342
414.48,0.8149525483584243
414.69,0.7322584482209527
414.9,0.7731887933356495
415.11,0.7368074000125249
415.32,0.7464859268893399
415.53,0.7498633610577156
415.73,0.7902557134223563
415.94,0.7061429015562993
416.15,0.7456387126656719
416.36,0.7087392544743973
416.57,0.7145675836643124
416.78,0.6977733912649854
416.98,0.7097835093316202
417.19,0.7358035130320408
417.4,0.7789462070224965
417.61,0.7130847610290668
417.82,0.7283609680644371
418.02,0.7594146377699779
418.23,0.7381963126138392
418.44,0.8009518594954302
418.65,0.7427479380406357
418.86,0.8606920852837422
419.07,0.8070748570521552
419.27,0.8722400491290573
419.48,0.8646077092118548
419.69,0.7808954869938518
419.9,0.7851337593931201
420.11,0.7788088052130299
420.31,0.7614425113601391
420.52,0.7974144005719805
420.73,0.7773193613869535
420.94,0.8514189332232013
421.15,0.7539798818080807
421.35,0.80122506375575
421.56,0.8063598633993441
421.77,0.8317016800398688
421.98,0.8302438961013652
422.19,0.9060374765539398
422.39,0.8058743944485663
422.6,0.9170303683598838
422.81,0.8548714953652194
423.02,0.8902711644246054
423.22,0.859760907616626
423.43,0.8978284913857366
423.64,0.8626206031606463
423.85,0.8700100934856708
424.06,0.8980438932932995
424.26,0.8579584582916806
424.47,0.9156774736641209
424.68,0.956586320732447
424.89,0.93673581513594
425.09,0.8343045761245955
425.3,0.8645749450724248
425.51,0.8792038025361297
425.72,0.9072281312468714
425.93,0.8402404213025333
426.13,0.9040401941952372
426.34,0.9097655745299043
426.55,0.928476181212918
426.76,0.8767031720738387
426.96,0.9109472397370649
427.17,0.8830078566190236
427.38,0.9811738756082695
427.59,0.9174799024423085
427.79,0.9054088435895471
428.0,0.9183477871044536
428.21,0.892603807899296
428.42,0.8719765289286444
428.62,0.9224292425013879
428.83,0.8927498229274983
429.04,0.8896104505191804
429.25,0.9205978959394487
429.45,0.8694425819520241
429.66,0.9174045720981504
429.87,0.9802419680498796
430.08,0.9054844053878844
430.28,0.9928217078783692
430.49,0.8985194404283879
430.7,0.8696853500106271
430.91,0.9052740125237249
431.11,0.9615867644755872
431.32,0.9584172877090794
431.53,0.9415383430631207
431.74,0.906597693681086
431.94,0.925671491126359
432.15,0.9326717326700231
432.36,0.9228565002380612
432.56,0.9533450534696831
432.77,0.8937891007975369
432.98,0.933611666954882
433.19,0.9779609333193654
433.39,0.9487167843976422
433.6,0.9154082866539837
433.81,0.9465953088938373
434.02,0.8945048848085464
434.22,0.9424286678661815
434.43,0.9752711040667632
434.64,0.933456512208963
434.84,1.001465769278425
435.05,0.9016488723229515
435.26,0.9570838068824542
435.47,0.9387818128596864
435.67,0.9866910292111163
435.88,0.91842408049483
436.09,0.9655041374871067
436.29,0.9056130098709074
436.5,0.9826020292417332
436.71,0.9570520282022529
436.92,0.9021301528147639
437.12,0.90565194932236
437.33,0.9429984750041649
437.54,0.9477778889151823
437.74,0.922786319114159
437.95,1.0312620135414678
438.16,0.9016919103223017
438.36,0.9598768074639608
438.57,0.9098650776301019
438.78,0.9424199396599697
438.99,0.967000356111265
439.19,0.9111683418583301
439.4,0.9238786186976444
439.61,0.9250921650519921
439.81,0.8897872469432635
440.02,0.9212634618911534
440.23,0.9393137054693717
440.43,0.9296270798290004
440.64,0.8877239258064296
440.85,0.947209141890154
441.05,0.934072050314709
441.26,0.957377315755851
441.47,1.0039960805828336
441.67,0.9020390461411272
441.88,0.9521827376242733
442.09,0.9198713476244833
442.29,0.8879317255738208
442.5,0.9611046610096686
442.71,0.9654153375255559
442.91,0.9640398595461355
443.12,0.9477197931358721
443.33,0.946860492066109
443.53,0.9206955349096544
443.74,0.9359888032326151
443.95,0.9152910199363136
444.15,0.9493974352428795
444.36,0.9137969112158602
444.57,0.932850999469508
444.77,0.976243541804761
444.98,0.928138589536243
445.19,0.9366475621845197
445.39,0.9406187870721808
445.6,0.9431628445837734
445.81,0.9113343936160421
446.01,0.9156050706602171
446.22,0.9417405165590966
446.43,0.9012769307453862
446.63,0.9036998066635057
446.84,0.9351145285624445
447.05,0.9417157572097581
447.25,0.9059374694993005
447.46,0.9604565103848334
447.67,0.9617496915861915
447.87,0.8964576140214183
448.08,0.9277587655785355
448.28,0.9086627285513361
448.49,0.8833567287689168
448.7,0.9256110428246658
448.9,0.9617130952406977
449.11,0.9042253880556069
449.32,0.9249608717704245
449.52,0.9166905458228247
449.73,0.9071227731606852
449.93,0.9429800800365626
450.14,0.8662883792290973
450.35,0.9661113614447079
450.55,0.8621669285144965
450.76,0.930026155378268
450.97,0.932085206110758
451.17,0.9372159331507778
451.38,0.931862604759031
451.58,0.9205167575581088
451.79,0.9074005917512589
452.0,0.9426873564048994
452.2,0.8608865562988866
452.41,0.8876448141572086
452.62,0.9144704269143706
452.82,0.9178939793216624
453.03,0.9139706462979207
453.23,0.8783581316940435
453.44,0.899458737135046
453.65,0.8575776920814013
453.85,0.8938826843140446
454.06,0.8975316081698562
454.26,0.9043100118671915
454.47,0.8654477851336724
454.68,0.8684543433629413
454.88,0.8908425701499603
455.09,0.856093325441614
455.29,0.8769875695030712
455.5,0.8516157484607187
455.71,0.8973570043998647
455.91,0.9048359828004922
456.12,0.8775162370601114
456.32,0.9420280731436216
456.53,0.8845612186336401
456.73,0.9039780419913668
456.94,0.8841461939888932
457.15,0.9033521091976405
457.35,0.9114144217109019
457.56,0.9110056929548513
457.76,0.9314188602702678
457.97,0.9244694189630516
458.18,0.9074865002509657
458.38,0.8763276977911593
458.59,0.9043572840306983
458.79,0.9399047780685849
459.0,0.8766860898844688
459.2,0.9615285575398737
459.41,0.9687420536142108
459.62,0.9153478783593882
459.82,0.9393332943011193
460.03,0.9008557548891352
460.23,0.8923238952609658
460.44,0.9297222515613718
460.64,0.9247726190774473
460.85,0.8742237229923301
461.06,0.9333167790835365
461.26,0.9241543633149851
461.47,0.9283441081939791
461.67,0.8972839540927189
461.88,0.9958743439266946
462.08,0.9626480354709304
462.29,0.9379351522546143
462.49,0.9399757433450231
462.7,0.9408247659821369
462.91,0.9454063275381276
463.11,0.8871129956040739
