Wavelength [nm],#31-650cuton.csv
400.08,0.05600652899427261
400.29,0.05804463732800336
400.5,0.021414310395475217
400.71,0.09072743814292018
400.92,0.03585116778306024
401.13,0.06363004359846305
401.34,0.043620898543643385
401.54,0.09931962993628285
401.75,0.06106826798247661
401.96,0.026331278913086887
402.17,0.05947528955283849
402.38,0.015855811062771962
402.59,0.05085616194085569
402.8,0.05963039396713584
403.01,0.06941769474455321
403.22,0.1223168050986236
403.43,0.05578611768089215
403.63,0.07336475991608817
403.84,0.034446602850656545
404.05,0.05266542838356064
404.26,0.07779393289196938
404.47,0.08233300519631903
404.68,0.060950831263870416
404.89,0.030470643897823158
405.1,0.07885357809423982
405.31,0.03045687551765053
405.52,0.06177358578884551
405.72,0.06289474509944555
405.93,0.07899868891593559
406.14,0.06124192720050543
406.35,0.10258021028690915
406.56,0.07615286679182585
406.77,0.04704654975408619
406.98,0.055104827361590766
407.19,0.00935690956188765
407.39,0.0438983426665472
407.6,0.044372409621618446
407.81,0.09707269000680128
408.02,0.03134650690270618
408.23,0.10743693349350228
408.44,0.06632193959672007
408.65,0.051264572433406465
408.86,0.04517483184658689
409.06,0.06530088544291206
409.27,0.07322896722603901
409.48,0.031162000906192217
409.69,0.05005752990469579
409.9,0.03629811503472986
410.11,0.06509867016093254
410.32,0.05595765600703428
410.52,0.029567119992985107
410.73,0.08022029768851222
410.94,0.042127527065227544
411.15,0.051939140688878796
411.36,0.06575247670446188
411.57,0.033430811913697955
411.78,0.0252068966908635
411.98,0.04309656493444709
412.19,0.05599641701105438
412.4,0.06575247670446188
412.61,0.06628448858236616
412.82,0.030850208643875447
413.03,0.04117516879689677
413.23,0.04481364312501314
413.44,0.05988708131568268
413.65,0.01183245335104433
413.86,0.04230064904502186
414.07,0.060023969013100344
414.28,0.05126535825209308
414.48,0.05370943891074472
414.69,0.01650314446102906
414.9,0.06236898297608223
415.11,0.02301268331497578
415.32,0.05243920214376216
415.53,0.04803370055436375
415.73,0.04544947128949935
415.94,0.04725224483824367
416.15,0.07332277892307054
416.36,0.025638513169746368
416.57,0.06853549544546066
416.78,0.06856441062212217
416.98,0.05628903384058319
417.19,0.05170538517964454
417.4,0.06818951381253309
417.61,0.019271546790264812
417.82,0.07495897232754234
418.02,0.05727709993128683
418.23,0.07353966440478758
418.44,0.06649615389033327
418.65,0.05335308425229974
418.86,0.05469629299682238
419.07,0.09181515154870935
419.27,0.049149392190594755
419.48,0.0599592168042605
419.69,0.04117538334920091
419.9,0.04682685334304853
420.11,0.024705491340152923
420.31,0.06791462244510024
420.52,0.022428923514792812
420.73,0.032000146303103494
420.94,0.014926823512263215
421.15,0.02594256908458625
421.35,0.030735548980418765
421.56,0.02373097797169313
421.77,0.02833290409758483
421.98,0.023902402582849678
422.19,0.028365554255576023
422.39,0.06670381946426117
422.6,0.015101666766150676
422.81,0.03670955048664384
423.02,0.05932461865820799
423.22,0.045621210223213866
423.43,0.040937254045357974
423.64,0.01939533980185471
423.85,0.061383226755154
424.06,0.06047924100180636
424.26,0.0568794528807858
424.47,0.04213399858905808
424.68,0.03884133342533715
424.89,0.013078716120663626
425.09,0.06346064766075718
425.3,0.06952853417108244
425.51,0.020720903002822748
425.72,0.03317160309239566
425.93,0.037077512003793514
426.13,0.0021957229745494643
426.34,0.026694692259453156
426.55,0.021344820986511664
426.76,0.048853041712470055
426.96,0.016784830566369577
427.17,0.027072689971438947
427.38,0.047935995046775114
427.59,0.059951465966503595
427.79,0.030227603647789134
428.0,0.02361143316483486
428.21,0.05739188317766733
428.42,0.06398733733260549
428.62,0.02676688787823874
428.83,0.038099974380999775
429.04,0.02040139948910522
429.25,0.018060646451182973
429.45,0.01610042181916946
429.66,0.04822277941139723
429.87,0.05700302056243845
430.08,0.027610746956709675
430.28,0.038108855701481203
430.49,0.03233891621084827
430.7,0.02142601343383968
430.91,0.05190919552254423
431.11,0.04649813153846393
431.32,0.035444144310606295
431.53,0.029207133400271933
431.74,0.0405035805420655
431.94,0.03903856384792724
432.15,0.02730456139751034
432.36,0.04748078714995519
432.56,0.035542826643776664
432.77,0.019111107365487667
432.98,0.06064324162597344
433.19,0.033429504149313005
433.39,0.03745349177112988
433.6,0.05257281052461683
433.81,0.037963381341096857
434.02,0.03672046542424427
434.22,0.005586081324952896
434.43,0.0580538730885243
434.64,0.041474703953826776
434.84,0.034790930157148424
435.05,0.036861456819761225
435.26,0.034385654855220424
435.47,0.025734948559643183
435.67,0.03288145600778753
435.88,0.02752917010942172
436.09,0.01686791838254115
436.29,0.012036906240009543
436.5,0.03513753836445518
436.71,0.04033497500206432
436.92,0.03458386455135026
437.12,0.03986983722166355
437.33,0.031686594133251346
437.54,0.02676974796476242
437.74,0.026287652545809854
437.95,0.05559638161937965
438.16,0.036182174849051806
438.36,0.028882729805695357
438.57,0.03514662644950055
438.78,0.03293248055419001
438.99,0.02489287567992815
439.19,0.01025622682452817
439.4,0.015137526866868785
439.61,0.00849265741545926
439.81,0.03985242778219574
440.02,0.01127560342005746
440.23,0.03880739953101566
440.43,0.023986789404080073
440.64,0.026940690322389296
440.85,0.03239034755624145
441.05,0.04135379284143077
441.26,0.02096985887682214
441.47,0.0489328212855976
441.67,0.018506596913986022
441.88,0.0481176969738668
442.09,0.01810603755716043
442.29,0.03914189710736138
442.5,0.02420465340045805
442.71,0.04076502193522948
442.91,0.029076207745659055
443.12,0.02835322852523309
443.33,0.03684641869822544
443.53,0.0225123886212702
443.74,0.019750104405341064
443.95,0.033283013777013835
444.15,-0.013902608487183958
444.36,0.030680375758197705
444.57,0.03732180547874084
444.77,0.03433207768541981
444.98,0.019377920928200378
445.19,0.027540079532376995
445.39,0.028366746708541973
445.6,0.015454163401142675
445.81,0.03479453990080722
446.01,0.03007886354352453
446.22,0.013307471937040901
446.43,0.019905914869857485
446.63,0.024358666259642493
446.84,0.034528216665261964
447.05,0.029440652666841403
447.25,0.032844237672295086
447.46,0.0416882438574461
447.67,0.04050073809429419
447.87,0.012776906100763983
448.08,0.024160744710056418
448.28,0.015934739803094258
448.49,0.023494289536638593
448.7,0.0359674980692461
448.9,0.03735782319468524
449.11,0.03575066616478356
449.32,0.02086040745602294
449.52,0.02278618348379027
449.73,0.01642439899980289
449.93,0.04181743191875957
450.14,0.026218322993341432
450.35,0.025701641535350393
450.55,0.03807637030792052
450.76,0.031927071363691106
450.97,0.03365305983019233
451.17,0.012962025976169352
451.38,0.026608639414729414
451.58,0.015585323238206196
451.79,0.016274187678496917
452.0,0.021549094912509295
452.2,0.02454978166719291
452.41,0.04061761214820339
452.62,0.03142006638128286
452.82,-0.0020403791236561037
453.03,0.03172479143590698
453.23,0.012745908123978151
453.44,0.0065159957581664716
453.65,0.024184655901476317
453.85,0.03768350038473054
454.06,0.03170080524530828
454.26,0.01806494735809903
454.47,0.016412878922891942
454.68,0.019582167268288653
454.88,0.03543598202605087
455.09,0.039355066815906135
455.29,0.025612063695380067
455.5,0.04602607077759967
455.71,0.018853718528117708
455.91,0.025626201673928237
456.12,0.01744384904799911
456.32,0.02979058261117616
456.53,0.019314880939556058
456.73,0.020781422874526476
456.94,0.029207170165858942
457.15,0.012395869943102503
457.35,0.019231097513557005
457.56,0.01846044978274668
457.76,0.008367520352316667
457.97,0.013509370645802642
458.18,0.021708074477062855
458.38,0.031398529100359646
458.59,0.020160300460330762
458.79,0.013643712762061316
459.0,0.028775567437180054
459.2,0.011917003144351136
459.41,0.025232964246237215
459.62,0.006067330392127715
459.82,0.02883948356832502
460.03,0.013190457541392057
460.23,0.03274784211020774
460.44,0.018036939624647443
460.64,0.009506151186389734
460.85,0.03188989704680368
461.06,0.03731969803697005
461.26,0.018143757823079778
461.47,0.03142682300296858
461.67,0.012458587205711861
461.88,0.00755051125486234
462.08,0.02981910314104792
462.29,0.01273591028270296
462.49,0.033046740448731265
462.7,0.012632587234203276
462.91,0.01826335085954725
463.11,0.02645897371730404
463.32,0.021217699103896672
463.52,0.018160980767213078
463.73,0.021264239939529094
463.93,0.02215404709652435
464.14,0.011344139477882875
464.34,0.019784035151629648
464.55,0.012991514337288623
464.75,0.026383005455352784
464.96,0.015999868350779364
465.16,0.016574321943604926
465.37,0.01959643701145248
465.58,0.016539062399132394
465.78,0.004355932550658732
465.99,0.027120263021283973
466.19,0.007507784489275104
466.4,0.014305406820147514
466.6,0.012379272500361705
466.81,0.012027459694308589
467.01,0.0048068457691577285
467.22,0.009746127218548074
467.42,0.020038148644914315
467.63,0.018996777889444583
467.83,0.0005174038723062561
468.04,0.006090367270826504
468.24,0.014235571758861807
468.45,0.014060562007822413
468.65,0.0025803133397354723
468.86,0.011969092600000786
469.06,0.0222201835089864
469.27,0.018314090035850016
469.47,0.008713360785393639
469.68,0.019283516456520284
469.88,0.005412411675506995
470.09,0.007819906065250987
470.29,0.015560579543962654
470.5,0.007466834322815393
470.7,0.020425637014777932
470.91,0.019124046885974574
471.11,0.01636239255227389
471.32,0.017430235541585157
471.52,0.022528564641639475
471.73,0.025010704818677714
471.93,0.027060554449248667
472.14,0.01525255493880902
472.34,0.02881826802042843
472.55,0.005103445355017694
472.75,0.012206778553999627
472.96,0.020506497959781576
473.16,0.009943809270974598
473.37,0.010461485879523719
473.57,0.020526462907715422
473.78,0.009424319902781371
473.98,0.01443197485776301
474.19,0.01172114263023355
474.39,0.017702442748566073
474.6,0.007757008681308535
474.8,0.016684444704583516
475.01,0.013122010626401061
475.21,0.02050153145043657
475.42,0.01609300125274861
475.62,0.01528947150571932
475.83,0.012580253092157012
476.03,0.016287756937560325
476.24,0.011571054625138806
476.44,0.014037270189873486
476.64,0.01459588029125507
476.85,0.007308476959074144
477.05,0.005884766796387078
477.26,0.019438409835725274
477.46,0.011180778069287734
477.67,0.01415151741874304
477.87,0.004545675853918719
478.08,0.009475812197053379
478.28,0.011297325422261487
478.49,0.010919960040524783
478.69,0.00811330905298807
478.9,0.0160148950723594
479.1,0.00954629030191597
479.3,0.008117616065476296
479.51,0.010063147164684644
479.71,0.01706539606831365
479.92,0.015445955038805055
480.12,0.013409381700050578
480.33,0.007775222007212961
480.53,0.007442231725741972
480.74,0.006509982933399141
480.94,0.009685084489038672
481.14,0.006326372239016884
481.35,0.008540674613473591
481.55,0.008432102065096309
481.76,0.008105668691684803
481.96,0.012232551724782789
482.17,0.014412397258747758
