Wavelength [nm],#29-jaune.csv
400.08,0.08706783061534805
400.29,0.1182290067112067
400.5,0.04356052119274876
400.71,0.10158905577602524
400.92,0.05696391593379614
401.13,0.020182477621431747
401.34,0.058867521900194
401.54,0.04499287745624912
401.75,0.06969551207452124
401.96,0.08853789164919522
402.17,0.08445797717409122
402.38,0.0946426351771287
402.59,0.02838339697288152
402.8,0.056754645936454295
403.01,0.05593099466838732
403.22,0.07993646391179701
403.43,0.11781476688433719
403.63,0.09895497730212643
403.84,0.0786902895124863
404.05,0.09936501994211751
404.26,0.05294015235997991
404.47,0.06871776788469172
404.68,0.032530679877152746
404.89,0.0792861079812894
405.1,0.09164727839848649
405.31,0.042902871980838586
405.52,0.04615816696702324
405.72,0.03547943179118465
405.93,0.05809653150126179
406.14,0.065032336646533
406.35,0.05796416960515038
406.56,0.04255842558425589
406.77,0.054579778609785114
406.98,0.06671287616550242
407.19,0.06320982092577998
407.39,0.020290894337326143
407.6,0.05147744746829786
407.81,0.05462738910968511
408.02,0.036083198800492454
408.23,0.06250518728841328
408.44,0.02991436743005129
408.65,0.06816316783535598
408.86,0.0716977531841817
409.06,0.06059207378267484
409.27,0.06571460750084474
409.48,0.08178172625374232
409.69,0.07540542300762004
409.9,0.0875208357436379
410.11,0.06740422214573913
410.32,0.04873284214994525
410.52,0.050461607840026096
410.73,0.021026554470446168
410.94,0.12195023314312525
411.15,0.07249949667393926
411.36,0.06022438485064213
411.57,0.05647048609055646
411.78,0.04988520310375303
411.98,0.06609905135429212
412.19,0.05712831579161666
412.4,0.035900780693835226
412.61,0.06946760964401719
412.82,0.051064225149565184
413.03,0.03537114439494094
413.23,0.05762711864406784
413.44,0.07850317871537213
413.65,0.010800963218842916
413.86,0.06759006933430371
414.07,0.07882348963283833
414.28,0.031668166381237164
414.48,0.038196478892888075
414.69,0.03357033501268149
414.9,0.059113319722526966
415.11,0.07114518214537005
415.32,0.03477633639424896
415.53,0.019092271255256456
415.73,0.10216603857835196
415.94,0.038100985717159565
416.15,0.026883373766595713
416.36,0.052878726780054536
416.57,0.055330437038471555
416.78,0.04174566718488537
416.98,0.060348005738043047
417.19,0.02960529881730575
417.4,0.03328628334240096
417.61,0.03179148449081463
417.82,0.05712938335879882
418.02,0.03146321986368789
418.23,0.0644069776355029
418.44,0.060109582537245465
418.65,0.03098333973409415
418.86,0.06464685833369793
419.07,0.02716470470980392
419.27,0.0581943444646438
419.48,0.03354120884559803
419.69,0.06250414125245428
419.9,0.008018413409647328
420.11,0.06577052328372543
420.31,0.05583576226080349
420.52,0.06543058377074035
420.73,0.06758837621843057
420.94,0.032293441706953974
421.15,0.07150185023123797
421.35,0.04209411676580448
421.56,0.07034804789407326
421.77,0.0664557279559571
421.98,0.052797058565596036
422.19,0.07070031756643828
422.39,0.04243811877033196
422.6,0.05902676586974158
422.81,0.03489544417870908
423.02,0.04835173510066853
423.22,0.032444382750950546
423.43,0.03129843247797463
423.64,0.048766107401992394
423.85,0.007594299921638469
424.06,0.03570485993288847
424.26,0.06305517208549534
424.47,0.04687121916972545
424.68,0.07114918776398128
424.89,0.04651835669166678
425.09,0.03824612663623911
425.3,0.08334741732695745
425.51,0.06313788837181536
425.72,0.06409555934343851
425.93,0.02485546773185617
426.13,0.03862490851154276
426.34,0.0503483766059831
426.55,0.023961546064087836
426.76,0.015386759846797706
426.96,0.043137177991115674
427.17,0.027072689971438947
427.38,0.03448876333839623
427.59,0.04293701286182492
427.79,0.07113188750095796
428.0,0.036503887832552706
428.21,0.04169551663987213
428.42,0.055508961764966044
428.62,0.057955130583866254
428.83,0.04145154241451546
429.04,0.016055354233954842
429.25,0.020707383253201348
