Wavelength [nm],#15-inconnu.csv
400.08,0.7393551646579322
400.29,0.8152479823585386
400.5,0.8214461754469821
400.71,0.8789705463739723
400.92,0.8493957298580839
401.13,0.8861374133015731
401.34,0.7615982529702995
401.54,0.9127912657557353
401.75,0.8461474803585375
401.96,0.8782914098641359
402.17,0.8692082824534416
402.38,0.8286041019266626
402.59,0.7964231879371751
402.8,0.8734670866500122
403.01,0.7976994988575116
403.22,0.8373141741537947
403.43,0.8180492956698946
403.63,0.7481383867795182
403.84,0.7748777119853957
404.05,0.7718391383853365
404.26,0.810326411729554
404.47,0.8366171522604723
404.68,0.719351005056163
404.89,0.8169420096870016
405.1,0.8365249405568481
405.31,0.8705616367828443
405.52,0.8555573758981441
405.72,0.8180620116815412
405.93,0.8157997377831872
406.14,0.806689118252594
406.35,0.8304590454093167
406.56,0.8272285880753545
406.77,0.8568686517417204
406.98,0.7724822434433314
407.19,0.8572271652213087
407.39,0.9396698542697685
407.6,0.812900670037442
407.81,0.8932436371375563
408.02,0.8851352214786827
408.23,0.9040646499945397
408.44,0.8555441491451529
408.65,0.8817098321863535
408.86,0.8432736466414852
409.06,0.8599128531079427
409.27,0.8659939182340354
409.48,0.9293678250964417
409.69,0.9541323839089942
409.9,0.8987457846451817
410.11,0.860514104919202
410.32,0.8759740287866384
410.52,0.9222260730137919
410.73,0.8440472534447107
410.94,0.8279876897194599
411.15,0.8457973301120465
411.36,0.7932493646671412
411.57,0.7926429324082734
411.78,0.7778952422839942
411.98,0.7952778708633793
412.19,0.7838073329126036
412.4,0.7180673154551926
412.61,0.7379230325907323
412.82,0.7956138331091371
413.03,0.7852510971276343
413.23,0.7996438373384174
413.44,0.7882418920785325
413.65,0.7049938221903953
413.86,0.7284136168933644
414.07,0.7503841428823678
414.28,0.8316947051091198
414.48,0.8493026741122497
414.69,0.6949239688892129
414.9,0.8165976367163864
415.11,0.7624097930074155
415.32,0.7267450769340016
415.53,0.744695248682875
415.73,0.7570818721779331
415.94,0.7457983577476638
416.15,0.7762465024278941
416.36,0.7820782911175347
416.57,0.7409777004782906
416.78,0.7421274669496463
416.98,0.7554469431780436
417.19,0.7940673770782067
417.4,0.8053880482877481
417.61,0.7652511681146911
417.82,0.8038745213438213
418.02,0.782130852229465
418.23,0.8112578067681167
418.44,0.8435290018493489
418.65,0.7661344891278506
418.86,0.9491415549448583
419.07,0.9055898236638207
419.27,0.9118117153280219
419.48,0.8558017065589674
419.69,0.8313089147651779
419.9,0.8087974422793405
420.11,0.7974747288237447
420.31,0.9204808371200464
420.52,0.8662170569814965
420.73,0.8830672445639253
420.94,0.8031783271268381
421.15,0.8068286479381968
421.35,0.8618040919444737
421.56,0.783947810552046
421.77,0.8214736053461591
421.98,0.7977374081207755
422.19,0.8833212620944528
422.39,0.8646720538223178
422.6,0.9619315807768879
422.81,0.8548714953652194
423.02,1.0029926046066018
423.22,0.8738789370511939
423.43,0.9845778854921866
423.64,0.8446191649541103
423.85,0.8709065755995627
424.06,0.9018553365346714
424.26,0.8888370543152283
424.47,0.9204146942447882
424.68,0.8828840280224151
424.89,0.8825093709667456
425.09,0.837006131948651
425.3,0.8811576048594749
425.51,0.8515405512085259
425.72,0.8717565343706752
425.93,0.8734145414692204
426.13,0.8649454584970004
426.34,0.8834837030337599
426.55,0.8770139213539199
426.76,0.8370720488118583
426.96,0.7510157519179161
427.17,0.827092493973704
427.38,0.8305648804744261
427.59,0.8434670314369562
427.79,0.8040003065368994
428.0,0.8117701618513194
428.21,0.785207615798592
428.42,0.8075408746145847
428.62,0.7616898377877692
428.83,0.7896891058968911
429.04,0.8374579074573759
429.25,0.7997302486472763
429.45,0.7420311257847223
429.66,0.7498979566336518
429.87,0.8006234957760584
430.08,0.7709198300079234
430.28,0.7891376689270971
430.49,0.7419037736879471
430.7,0.7636529329385287
430.91,0.8047315170445205
431.11,0.7934221556242688
