Typical Measured Spectrum of Semrock FF02-655/40 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
265.0	1.9635e-05
265.2	1.9542e-05
265.4	1.9449e-05
265.6	1.9357e-05
265.8	1.9265e-05
266.0	1.9174e-05
266.2	1.9083e-05
266.4	1.8992e-05
266.6	1.8902e-05
266.8	1.8813e-05
267.0	1.8724e-05
267.2	1.8182e-05
267.4	1.7433e-05
267.6	1.6715e-05
267.8	1.6027e-05
268.0	1.5367e-05
268.2	1.4734e-05
268.4	1.4128e-05
268.6	1.3546e-05
268.8	1.2988e-05
269.0	1.2453e-05
269.2	1.1941e-05
269.4	1.1449e-05
269.6	1.0978e-05
269.8	1.0526e-05
270.0	1.0092e-05
270.2	9.6767e-06
270.4	9.2783e-06
270.6	8.8962e-06
270.8	8.5299e-06
271.0	7.7659e-06
271.2	7.0511e-06
271.4	6.4021e-06
271.6	5.8128e-06
271.8	5.2777e-06
272.0	4.7919e-06
272.2	4.3509e-06
272.4	3.9504e-06
272.6	3.5868e-06
272.8	3.2566e-06
273.0	2.9569e-06
273.2	2.6847e-06
273.4	2.4376e-06
273.6	2.2132e-06
273.8	2.0095e-06
274.0	1.8245e-06
274.2	1.6566e-06
274.4	1.5041e-06
274.6	1.3941e-06
274.8	1.3747e-06
275.0	1.3555e-06
275.2	1.344e-06
275.4	1.3326e-06
275.6	1.3203e-06
275.8	1.3055e-06
276.0	1.2909e-06
276.2	1.2764e-06
276.4	1.262e-06
276.6	1.2479e-06
276.8	1.2339e-06
277.0	1.22e-06
277.2	1.2063e-06
277.4	1.1928e-06
277.6	1.1794e-06
277.8	1.1661e-06
278.0	1.1531e-06
278.2	1.1401e-06
278.4	1.1273e-06
278.6	1.1147e-06
278.8	1.1021e-06
279.0	1.0898e-06
279.2	1.0775e-06
279.4	1.063e-06
279.6	1.0467e-06
279.8	1.0306e-06
280.0	1.0147e-06
280.2	9.9913e-07
280.4	9.8378e-07
280.6	9.6866e-07
280.8	9.5377e-07
281.0	9.3911e-07
281.2	9.2467e-07
281.4	9.1046e-07
281.6	8.9646e-07
281.8	8.8268e-07
282.0	8.6912e-07
282.2	8.5576e-07
282.4	8.426e-07
282.6	8.2965e-07
282.8	8.169e-07
283.0	8.0434e-07
283.2	7.9095e-07
283.4	7.7762e-07
283.6	7.645e-07
283.8	7.5161e-07
284.0	7.3894e-07
284.2	7.2648e-07
284.4	7.1423e-07
284.6	7.0218e-07
284.8	6.9034e-07
285.0	6.787e-07
285.2	6.6326e-07
285.4	6.4817e-07
285.6	6.3461e-07
285.8	6.2352e-07
286.0	6.1263e-07
286.2	6.0193e-07
286.4	5.9142e-07
286.6	5.8109e-07
286.8	5.7094e-07
287.0	5.6096e-07
287.2	5.5117e-07
287.4	5.4154e-07
287.6	5.3208e-07
287.8	5.2279e-07
288.0	5.1365e-07
288.2	5.0468e-07
288.4	4.9587e-07
288.6	4.8721e-07
288.8	4.787e-07
289.0	4.7033e-07
289.2	4.6212e-07
289.4	4.531e-07
289.6	4.4376e-07
289.8	4.3462e-07
290.0	4.2567e-07
290.2	4.169e-07
290.4	4.0831e-07
290.6	3.999e-07
290.8	3.9166e-07
291.0	3.8359e-07
291.2	3.7569e-07
291.4	3.6795e-07
291.6	3.6037e-07
291.8	3.5294e-07
292.0	3.4567e-07
292.2	3.3855e-07
292.4	3.3158e-07
292.6	3.2475e-07
292.8	3.1806e-07
293.0	3.115e-07
293.2	3.2573e-07
293.4	3.4119e-07
293.6	3.5737e-07
293.8	3.7433e-07
294.0	3.9209e-07
294.2	4.1069e-07
294.4	4.3017e-07
294.6	4.5058e-07
294.8	4.7196e-07
295.0	4.9435e-07
295.2	4.8857e-07
295.4	4.8285e-07
295.6	4.772e-07
295.8	4.7162e-07
296.0	4.661e-07
296.2	4.6065e-07
296.4	4.5526e-07
296.6	4.4993e-07
296.8	4.4467e-07
297.0	4.3947e-07
297.2	4.3432e-07
297.4	4.2924e-07
297.6	4.2422e-07
297.8	4.1926e-07
298.0	4.1435e-07
298.2	4.328e-07
298.4	4.5339e-07
298.6	4.7496e-07
298.8	4.9756e-07
299.0	5.2123e-07
299.2	5.4602e-07
299.4	5.72e-07
299.6	5.9921e-07
299.8	6.2771e-07
300.0	6.5757e-07
300.2	6.8886e-07
300.4	7.2163e-07
300.6	7.5596e-07
300.8	7.9192e-07
301.0	8.2959e-07
301.2	8.6906e-07
301.4	9.104e-07
301.6	9.5371e-07
301.8	9.6842e-07
302.0	9.0764e-07
302.2	8.5068e-07
302.4	7.9729e-07
302.6	7.4725e-07
302.8	7.0035e-07
303.0	6.5639e-07
303.2	6.152e-07
303.4	5.7658e-07
303.6	5.404e-07
303.8	5.0648e-07
304.0	4.7469e-07
304.2	4.449e-07
304.4	4.1698e-07
304.6	3.9081e-07
304.8	3.6628e-07
305.0	3.4329e-07
305.2	3.0418e-07
305.4	2.6953e-07
305.6	2.4486e-07
305.8	2.4371e-07
306.0	2.4255e-07
306.2	2.4141e-07
306.4	2.4027e-07
306.6	2.3913e-07
306.8	2.38e-07
307.0	2.3688e-07
307.2	2.3576e-07
307.4	2.3464e-07
307.6	2.3354e-07
307.8	2.3243e-07
308.0	2.3133e-07
308.2	2.3024e-07
308.4	2.2915e-07
308.6	2.2807e-07
308.8	2.2699e-07
309.0	2.2592e-07
309.2	2.2485e-07
309.4	2.2816e-07
309.6	2.3553e-07
309.8	2.4314e-07
310.0	2.5099e-07
310.2	2.5909e-07
310.4	2.6746e-07
310.6	2.7609e-07
310.8	2.8501e-07
311.0	2.9421e-07
311.2	3.0371e-07
311.4	3.1352e-07
311.6	3.2364e-07
311.8	3.3409e-07
312.0	3.4488e-07
312.2	3.5602e-07
312.4	3.6752e-07
312.6	3.7938e-07
312.8	3.9163e-07
313.0	4.0428e-07
313.2	3.9175e-07
313.4	3.7539e-07
313.6	3.5971e-07
313.8	3.4469e-07
314.0	3.303e-07
314.2	3.1651e-07
314.4	3.0329e-07
314.6	2.9062e-07
314.8	2.7849e-07
315.0	2.6686e-07
315.2	2.5572e-07
315.4	2.4504e-07
315.6	2.3481e-07
315.8	2.25e-07
316.0	2.156e-07
316.2	2.066e-07
316.4	1.9797e-07
316.6	1.8971e-07
316.8	1.8304e-07
317.0	1.8224e-07
317.2	1.8144e-07
317.4	1.8065e-07
317.6	1.7986e-07
317.8	1.7907e-07
318.0	1.7829e-07
318.2	1.7751e-07
318.4	1.7673e-07
318.6	1.7596e-07
318.8	1.7519e-07
319.0	1.7442e-07
319.2	1.7366e-07
319.4	1.729e-07
319.6	1.7214e-07
319.8	1.7139e-07
320.0	1.7064e-07
320.2	1.6989e-07
320.4	1.6915e-07
320.6	1.6843e-07
320.8	1.6773e-07
321.0	1.6703e-07
321.2	1.6633e-07
321.4	1.6564e-07
321.6	1.6495e-07
321.8	1.6426e-07
322.0	1.6358e-07
322.2	1.629e-07
322.4	1.6222e-07
322.6	1.6154e-07
322.8	1.6087e-07
323.0	1.602e-07
323.2	1.5953e-07
323.4	1.5887e-07
323.6	1.5821e-07
323.8	1.5755e-07
324.0	1.5689e-07
324.2	1.5624e-07
324.4	1.5445e-07
324.6	1.5249e-07
324.8	1.5057e-07
325.0	1.4866e-07
325.2	1.4678e-07
325.4	1.4492e-07
325.6	1.4309e-07
325.8	1.4128e-07
326.0	1.3949e-07
326.2	1.3773e-07
326.4	1.3598e-07
326.6	1.3426e-07
326.8	1.3257e-07
327.0	1.3089e-07
327.2	1.2923e-07
327.4	1.276e-07
327.6	1.2598e-07
327.8	1.2439e-07
328.0	1.2286e-07
328.2	1.2149e-07
328.4	1.2014e-07
328.6	1.1881e-07
328.8	1.1749e-07
329.0	1.1618e-07
329.2	1.1489e-07
329.4	1.1362e-07
329.6	1.1235e-07
329.8	1.1111e-07
330.0	1.0987e-07
330.2	1.0865e-07
330.4	1.0745e-07
330.6	1.0625e-07
330.8	1.0507e-07
331.0	1.0391e-07
331.2	1.0275e-07
331.4	1.0161e-07
331.6	1.0048e-07
331.8	1.0e-07
332.0	1.0e-07
332.2	1.0e-07
332.4	1.0e-07
332.6	1.0e-07
332.8	1.0e-07
333.0	1.0e-07
333.2	1.0e-07
333.4	1.0e-07
333.6	1.0e-07
333.8	1.0e-07
334.0	1.0e-07
334.2	1.0e-07
334.4	1.0e-07
334.6	1.0e-07
334.8	1.0e-07
335.0	1.0e-07
335.2	1.0e-07
335.4	1.0e-07
335.6	1.0e-07
335.8	1.0e-07
336.0	1.0e-07
336.2	1.0e-07
336.4	1.0e-07
336.6	1.0e-07
336.8	1.0e-07
337.0	1.0e-07
337.2	1.0e-07
337.4	1.0e-07
337.6	1.0e-07
337.8	1.0e-07
338.0	1.0e-07
338.2	1.0e-07
338.4	1.0e-07
338.6	1.0e-07
338.8	1.0e-07
339.0	1.0e-07
339.2	1.0e-07
339.4	1.0e-07
339.6	1.0e-07
339.8	1.0e-07
340.0	1.0e-07
340.2	1.0e-07
340.4	1.0e-07
340.6	1.0e-07
340.8	1.0e-07
341.0	1.0e-07
341.2	1.0e-07
341.4	1.0e-07
341.6	1.0e-07
341.8	1.0e-07
342.0	1.0e-07
342.2	1.0e-07
342.4	1.0e-07
342.6	1.0e-07
342.8	1.0e-07
343.0	1.0e-07
343.2	1.0057e-07
343.4	1.0118e-07
343.6	1.0178e-07
343.8	1.0239e-07
344.0	1.0301e-07
344.2	1.0363e-07
344.4	1.0425e-07
344.6	1.0487e-07
344.8	1.055e-07
345.0	1.0614e-07
345.2	1.0677e-07
345.4	1.0741e-07
345.6	1.0806e-07
345.8	1.0871e-07
346.0	1.0936e-07
346.2	1.1002e-07
346.4	1.1068e-07
346.6	1.1134e-07
346.8	1.1159e-07
347.0	1.1092e-07
347.2	1.1026e-07
347.4	1.096e-07
347.6	1.0895e-07
347.8	1.083e-07
348.0	1.0765e-07
348.2	1.0701e-07
348.4	1.0637e-07
348.6	1.0573e-07
348.8	1.051e-07
349.0	1.0448e-07
349.2	1.0385e-07
349.4	1.0323e-07
349.6	1.0262e-07
349.8	1.02e-07
350.0	1.014e-07
350.2	1.0079e-07
350.4	1.0019e-07
350.6	1.0e-07
350.8	1.0e-07
351.0	1.0e-07
351.2	1.0e-07
351.4	1.0e-07
351.6	1.0e-07
351.8	1.0e-07
352.0	1.0e-07
352.2	1.0e-07
352.4	1.0e-07
352.6	1.0e-07
352.8	1.0e-07
353.0	1.0e-07
353.2	1.0e-07
353.4	1.0e-07
353.6	1.0e-07
353.8	1.0e-07
354.0	1.0e-07
354.2	1.0038e-07
354.4	1.0634e-07
354.6	1.1266e-07
354.8	1.1936e-07
355.0	1.2645e-07
355.2	1.3396e-07
355.4	1.4192e-07
355.6	1.5036e-07
355.8	1.5929e-07
356.0	1.6876e-07
356.2	1.7879e-07
356.4	1.8941e-07
356.6	2.0067e-07
356.8	2.1259e-07
357.0	2.2523e-07
357.2	2.3861e-07
357.4	2.5279e-07
357.6	2.6781e-07
357.8	2.8373e-07
358.0	2.8537e-07
358.2	2.6935e-07
358.4	2.5423e-07
358.6	2.3997e-07
358.8	2.265e-07
359.0	2.1379e-07
359.2	2.0179e-07
359.4	1.9046e-07
359.6	1.7978e-07
359.8	1.6969e-07
360.0	1.6016e-07
360.2	1.5117e-07
360.4	1.4269e-07
360.6	1.3468e-07
360.8	1.2712e-07
361.0	1.1999e-07
361.2	1.1325e-07
361.4	1.069e-07
361.6	1.009e-07
361.8	1.04e-07
362.0	1.0895e-07
362.2	1.1413e-07
362.4	1.1956e-07
362.6	1.2524e-07
362.8	1.312e-07
363.0	1.3743e-07
363.2	1.4397e-07
363.4	1.5082e-07
363.6	1.5799e-07
363.8	1.655e-07
364.0	1.7337e-07
364.2	1.8161e-07
364.4	1.9025e-07
364.6	1.9929e-07
364.8	2.0877e-07
365.0	2.187e-07
365.2	2.3845e-07
365.4	2.5998e-07
365.6	2.8346e-07
365.8	3.0906e-07
366.0	3.3697e-07
366.2	3.674e-07
366.4	4.0058e-07
366.6	4.3676e-07
366.8	4.762e-07
367.0	4.816e-07
367.2	4.4174e-07
367.4	4.0518e-07
367.6	3.7164e-07
367.8	3.4088e-07
368.0	3.1267e-07
368.2	2.8679e-07
368.4	2.6305e-07
368.6	2.4128e-07
368.8	2.2131e-07
369.0	2.0299e-07
369.2	1.8619e-07
369.4	1.7078e-07
369.6	1.5665e-07
369.8	1.4368e-07
370.0	1.3179e-07
370.2	1.2088e-07
370.4	1.1088e-07
370.6	1.017e-07
370.8	1.0e-07
371.0	1.0e-07
371.2	1.0e-07
371.4	1.0e-07
371.6	1.0e-07
371.8	1.0e-07
372.0	1.0e-07
372.2	1.0e-07
372.4	1.0e-07
372.6	1.0e-07
372.8	1.0e-07
373.0	1.0e-07
373.2	1.0e-07
373.4	1.0e-07
373.6	1.0e-07
373.8	1.0e-07
374.0	1.0e-07
374.2	1.0e-07
374.4	1.0353e-07
374.6	1.2619e-07
374.8	1.5381e-07
375.0	1.8749e-07
375.2	2.2853e-07
375.4	2.7856e-07
375.6	3.3955e-07
375.8	4.1388e-07
376.0	5.0449e-07
376.2	6.1493e-07
376.4	7.4955e-07
376.6	9.1364e-07
376.8	1.1137e-06
377.0	1.3575e-06
377.2	1.6546e-06
377.4	2.0169e-06
377.6	2.4584e-06
377.8	2.9966e-06
378.0	3.6526e-06
378.2	4.0456e-06
378.4	4.1559e-06
378.6	4.2692e-06
378.8	4.3856e-06
379.0	4.5052e-06
379.2	4.628e-06
379.4	4.7542e-06
379.6	4.8839e-06
379.8	5.017e-06
380.0	5.1538e-06
380.2	5.2944e-06
380.4	5.4387e-06
380.6	5.587e-06
380.8	5.7394e-06
381.0	5.8959e-06
381.2	6.0566e-06
381.4	6.2218e-06
381.6	6.3914e-06
381.8	6.5657e-06
382.0	6.4693e-06
382.2	6.3604e-06
382.4	6.2533e-06
382.6	6.148e-06
382.8	6.0445e-06
383.0	5.9427e-06
383.2	5.8426e-06
383.4	5.7442e-06
383.6	5.6475e-06
383.8	5.5524e-06
384.0	5.4589e-06
384.2	5.367e-06
384.4	5.2766e-06
384.6	5.1878e-06
384.8	5.1004e-06
385.0	5.0145e-06
385.2	4.9301e-06
385.4	4.8471e-06
385.6	4.7865e-06
385.8	4.7664e-06
386.0	4.7464e-06
386.2	4.7264e-06
386.4	4.7065e-06
386.6	4.6868e-06
386.8	4.6671e-06
387.0	4.6474e-06
387.2	4.6279e-06
387.4	4.6085e-06
387.6	4.5891e-06
387.8	4.5698e-06
388.0	4.5506e-06
388.2	4.5315e-06
388.4	4.5124e-06
388.6	4.4934e-06
388.8	4.4746e-06
389.0	4.4558e-06
389.2	4.437e-06
389.4	4.2573e-06
389.6	4.0346e-06
389.8	3.8236e-06
390.0	3.6236e-06
390.2	3.4341e-06
