LIMITED MEASUREMENT RANGE
Typical Measured Spectrum of Semrock FF01-716/43 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
504.8	5.0874e-08
505.0	5.6447e-08
505.2	6.263e-08
505.4	6.949e-08
505.6	7.7102e-08
505.8	8.5548e-08
506.0	9.4919e-08
506.2	9.9705e-08
506.4	9.9114e-08
506.6	9.8528e-08
506.8	9.7945e-08
507.0	9.7365e-08
507.2	9.6789e-08
507.4	9.6216e-08
507.6	9.5646e-08
507.8	9.508e-08
508.0	9.4517e-08
508.2	9.6531e-08
508.4	1.0133e-07
508.6	1.0636e-07
508.8	1.1165e-07
509.0	1.172e-07
509.2	1.2302e-07
509.4	1.2913e-07
509.6	1.3555e-07
509.8	1.4229e-07
510.0	1.4936e-07
510.2	1.4988e-07
510.4	1.4363e-07
510.6	1.3765e-07
510.8	1.3191e-07
511.0	1.2642e-07
511.2	1.2115e-07
511.4	1.161e-07
511.6	1.1126e-07
511.8	1.0663e-07
512.0	1.0218e-07
512.2	1.0e-07
512.4	1.0e-07
512.6	1.0e-07
512.8	1.0e-07
513.0	1.0e-07
513.2	1.0e-07
513.4	1.0e-07
513.6	1.0e-07
513.8	1.0e-07
514.0	1.0e-07
514.2	9.7427e-08
514.4	9.2383e-08
514.6	8.76e-08
514.8	8.3064e-08
515.0	7.8764e-08
515.2	7.4686e-08
515.4	7.0819e-08
515.6	6.7152e-08
515.8	6.3676e-08
516.0	6.0379e-08
516.2	5.812e-08
516.4	5.6833e-08
516.6	5.5575e-08
516.8	5.4345e-08
517.0	5.3141e-08
517.2	5.1965e-08
517.4	5.0814e-08
517.6	4.9689e-08
517.8	4.8589e-08
518.0	4.7514e-08
518.2	4.8729e-08
518.4	5.2553e-08
518.6	5.6677e-08
518.8	6.1125e-08
519.0	6.5922e-08
519.2	7.1095e-08
519.4	7.6674e-08
519.6	8.2691e-08
519.8	8.9181e-08
520.0	9.618e-08
520.2	1.0e-07
520.4	1.0e-07
520.6	1.0e-07
520.8	1.0e-07
521.0	1.0e-07
521.2	1.0e-07
521.4	1.0e-07
521.6	1.0e-07
521.8	1.0e-07
522.0	1.0e-07
522.2	1.0e-07
522.4	1.0e-07
522.6	1.0e-07
522.8	1.0e-07
523.0	1.0e-07
523.2	1.0e-07
523.4	1.0e-07
523.6	1.0e-07
523.8	1.0e-07
524.0	1.0e-07
524.2	1.0e-07
524.4	1.0e-07
524.6	1.0e-07
524.8	1.0e-07
525.0	1.0e-07
525.2	1.0e-07
525.4	1.0e-07
525.6	1.0e-07
525.8	1.0e-07
526.0	1.0e-07
526.2	1.0e-07
526.4	1.0e-07
526.6	1.0e-07
526.8	1.0e-07
527.0	1.0e-07
527.2	1.0e-07
527.4	1.0e-07
527.6	1.0e-07
527.8	1.0e-07
528.0	1.0e-07
528.2	1.0e-07
528.4	1.0e-07
528.6	1.0e-07
528.8	1.0e-07
529.0	1.0e-07
529.2	1.0e-07
529.4	1.0e-07
529.6	1.0e-07
529.8	1.0e-07
530.0	1.0e-07
530.2	1.0e-07
530.4	1.0e-07
530.6	1.0e-07
530.8	1.0e-07
531.0	1.0e-07
531.2	1.0e-07
531.4	1.0e-07
531.6	1.0e-07
531.8	1.0e-07
532.0	1.0e-07
532.2	1.0e-07
532.4	1.0e-07
532.6	1.0e-07
532.8	1.0e-07
533.0	1.0e-07
533.2	1.0e-07
533.4	1.0e-07
533.6	1.0e-07
533.8	1.0e-07
534.0	1.0e-07
534.2	1.0e-07
534.4	1.0e-07
534.6	1.0e-07
534.8	1.0e-07
535.0	1.0e-07
535.2	1.0e-07
535.4	1.0e-07
535.6	1.0e-07
535.8	1.0e-07
536.0	1.0e-07
536.2	1.0e-07
536.4	1.0e-07
536.6	1.0e-07
536.8	1.0e-07
537.0	1.0e-07
537.2	1.0e-07
537.4	1.0e-07
537.6	1.0e-07
537.8	1.0e-07
538.0	1.0e-07
538.2	1.0e-07
538.4	1.0e-07
538.6	1.0e-07
538.8	1.0e-07
539.0	1.0e-07
539.2	1.0e-07
539.4	1.0e-07
539.6	1.0e-07
539.8	1.0e-07
540.0	1.0e-07
540.2	1.0e-07
540.4	1.0e-07
540.6	1.0e-07
540.8	1.0e-07
541.0	1.0e-07
541.2	1.0e-07
541.4	1.0e-07
541.6	1.0e-07
541.8	1.0e-07
542.0	1.0e-07
542.2	1.0e-07
542.4	1.0e-07
542.6	1.0e-07
542.8	1.0e-07
543.0	1.0e-07
543.2	1.0e-07
543.4	1.0e-07
543.6	1.0e-07
543.8	1.0e-07
544.0	1.0e-07
544.2	1.0e-07
544.4	1.0e-07
544.6	1.0e-07
544.8	1.0e-07
545.0	1.0e-07
545.2	1.0e-07
545.4	1.0e-07
