Typical Measured Spectrum of Semrock FF01-650/60 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
290.0	1.4353e-07
290.2	1.4128e-07
290.4	1.3905e-07
290.6	1.3687e-07
290.8	1.3471e-07
291.0	1.326e-07
291.2	1.3051e-07
291.4	1.2846e-07
291.6	1.2644e-07
291.8	1.2445e-07
292.0	1.2249e-07
292.2	1.2057e-07
292.4	1.1867e-07
292.6	1.1643e-07
292.8	1.1397e-07
293.0	1.1156e-07
293.2	1.0921e-07
293.4	1.069e-07
293.6	1.0465e-07
293.8	1.0244e-07
294.0	1.0027e-07
294.2	9.8158e-08
294.4	9.6086e-08
294.6	9.4057e-08
294.8	9.2071e-08
295.0	9.0128e-08
295.2	1.0577e-07
295.4	1.2412e-07
295.6	1.4565e-07
295.8	1.4932e-07
296.0	1.4769e-07
296.2	1.4607e-07
296.4	1.4447e-07
296.6	1.4289e-07
296.8	1.4132e-07
297.0	1.3978e-07
297.2	1.3825e-07
297.4	1.3673e-07
297.6	1.3523e-07
297.8	1.3375e-07
298.0	1.3229e-07
298.2	1.3084e-07
298.4	1.2941e-07
298.6	1.2799e-07
298.8	1.2659e-07
299.0	1.252e-07
299.2	1.2383e-07
299.4	1.2247e-07
299.6	1.2113e-07
299.8	1.1981e-07
300.0	1.1849e-07
300.2	1.172e-07
300.4	1.1579e-07
300.6	1.1426e-07
300.8	1.1276e-07
301.0	1.1127e-07
301.2	1.098e-07
301.4	1.0836e-07
301.6	1.0693e-07
301.8	1.0552e-07
302.0	1.0413e-07
302.2	1.0275e-07
302.4	1.014e-07
302.6	1.0006e-07
302.8	9.8745e-08
303.0	9.7444e-08
303.2	9.6159e-08
303.4	9.4892e-08
303.6	9.3641e-08
303.8	9.2407e-08
304.0	9.1189e-08
304.2	8.9987e-08
304.4	8.8801e-08
304.6	8.7631e-08
304.8	8.6476e-08
305.0	8.5351e-08
305.2	8.4388e-08
305.4	8.3436e-08
305.6	8.2494e-08
305.8	8.1563e-08
306.0	8.0643e-08
306.2	7.9733e-08
306.4	7.8834e-08
306.6	7.7944e-08
306.8	7.7065e-08
307.0	7.6349e-08
307.2	7.6196e-08
307.4	7.6044e-08
307.6	7.5892e-08
307.8	7.574e-08
308.0	7.5589e-08
308.2	7.5437e-08
308.4	7.5287e-08
308.6	7.5136e-08
308.8	7.4986e-08
309.0	7.4836e-08
309.2	7.4686e-08
309.4	7.4537e-08
309.6	7.4388e-08
309.8	7.4239e-08
310.0	7.4091e-08
310.2	7.3943e-08
310.4	7.3795e-08
310.6	7.3647e-08
310.8	7.35e-08
311.0	7.3353e-08
311.2	7.3206e-08
311.4	7.306e-08
311.6	7.2914e-08
311.8	7.2555e-08
312.0	7.2171e-08
312.2	7.1789e-08
312.4	7.1409e-08
312.6	7.1031e-08
312.8	7.0655e-08
313.0	7.0281e-08
313.2	6.9909e-08
313.4	6.9539e-08
313.6	6.9171e-08
313.8	6.8805e-08
314.0	6.8441e-08
314.2	6.8078e-08
314.4	6.7718e-08
314.6	6.736e-08
314.8	6.7003e-08
315.0	6.6648e-08
315.2	6.6295e-08
315.4	6.5944e-08
315.6	6.5595e-08
315.8	6.5248e-08
316.0	6.4903e-08
316.2	6.4559e-08
316.4	6.4297e-08
316.6	6.4094e-08
316.8	6.3892e-08
317.0	6.369e-08
317.2	6.3489e-08
317.4	6.3289e-08
317.6	6.3089e-08
317.8	6.289e-08
318.0	6.2692e-08
318.2	6.2494e-08
318.4	6.2297e-08
318.6	6.21e-08
318.8	6.1904e-08
319.0	6.1709e-08
319.2	6.1514e-08
319.4	6.132e-08
319.6	6.1127e-08
319.8	6.0934e-08
320.0	6.0741e-08
320.2	6.055e-08
320.4	6.0359e-08
320.6	6.0168e-08
320.8	5.9978e-08
321.0	6.0219e-08
321.2	6.1612e-08
321.4	6.3037e-08
321.6	6.4495e-08
321.8	6.5987e-08
322.0	6.7513e-08
322.2	6.9075e-08
322.4	7.0672e-08
322.6	7.2307e-08
322.8	7.398e-08
323.0	7.5691e-08
323.2	7.7442e-08
323.4	7.9233e-08
323.6	8.1066e-08
323.8	8.2941e-08
324.0	8.4859e-08
324.2	8.6822e-08
324.4	8.8831e-08
324.6	9.0885e-08
324.8	9.2988e-08
325.0	9.5139e-08
325.2	9.7339e-08
325.4	9.9591e-08
325.6	1.0189e-07
325.8	1.0619e-07
326.0	1.1071e-07
326.2	1.1541e-07
326.4	1.2031e-07
326.6	1.2542e-07
326.8	1.3075e-07
327.0	1.3631e-07
327.2	1.421e-07
327.4	1.4814e-07
327.6	1.5443e-07
327.8	1.6099e-07
328.0	1.6783e-07
328.2	1.7496e-07
328.4	1.824e-07
328.6	1.9015e-07
328.8	1.9823e-07
329.0	2.0665e-07
329.2	2.1543e-07
329.4	2.2458e-07
329.6	2.3412e-07
329.8	2.4407e-07
330.0	2.5444e-07
330.2	2.6525e-07
330.4	2.5749e-07
330.6	2.4277e-07
330.8	2.289e-07
331.0	2.1582e-07
331.2	2.0349e-07
331.4	1.9186e-07
331.6	1.8089e-07
331.8	1.7056e-07
332.0	1.6081e-07
332.2	1.5162e-07
332.4	1.4296e-07
332.6	1.3479e-07
332.8	1.2709e-07
333.0	1.1982e-07
333.2	1.1298e-07
333.4	1.0652e-07
333.6	1.0043e-07
333.8	9.4695e-08
334.0	8.9284e-08
334.2	8.4182e-08
334.4	7.9372e-08
334.6	7.4836e-08
334.8	7.056e-08
335.0	6.8466e-08
335.2	7.3554e-08
335.4	7.902e-08
335.6	8.4892e-08
335.8	9.1201e-08
336.0	9.7978e-08
336.2	1.0526e-07
336.4	1.1308e-07
336.6	1.2149e-07
336.8	1.3051e-07
337.0	1.3883e-07
337.2	1.4428e-07
337.4	1.4995e-07
337.6	1.5584e-07
337.8	1.6197e-07
338.0	1.6833e-07
338.2	1.7495e-07
338.4	1.8183e-07
338.6	1.8897e-07
338.8	1.964e-07
339.0	2.0412e-07
339.2	2.1214e-07
339.4	2.2047e-07
339.6	2.2914e-07
339.8	2.3814e-07
340.0	2.475e-07
340.2	2.5723e-07
340.4	2.6734e-07
340.6	2.7784e-07
340.8	2.8876e-07
341.0	3.0011e-07
341.2	3.119e-07
341.4	3.2416e-07
341.6	3.3636e-07
341.8	2.9789e-07
342.0	2.6381e-07
342.2	2.3364e-07
342.4	2.0691e-07
342.6	1.8324e-07
342.8	1.6228e-07
343.0	1.4372e-07
343.2	1.2728e-07
343.4	1.1272e-07
343.6	9.9828e-08
343.8	8.8409e-08
344.0	7.8297e-08
344.2	6.9341e-08
344.4	6.1409e-08
344.6	5.4385e-08
344.8	4.8164e-08
345.0	4.2655e-08
345.2	3.7775e-08
345.4	3.3455e-08
345.6	2.9628e-08
345.8	2.6239e-08
346.0	2.3237e-08
346.2	2.0579e-08
346.4	2.0638e-08
346.6	2.1645e-08
346.8	2.2702e-08
347.0	2.381e-08
347.2	2.4972e-08
347.4	2.6191e-08
347.6	2.7469e-08
347.8	2.881e-08
348.0	3.0216e-08
348.2	3.1691e-08
348.4	3.3238e-08
348.6	3.486e-08
348.8	3.6562e-08
349.0	3.8346e-08
349.2	4.0218e-08
349.4	4.2181e-08
349.6	4.424e-08
349.8	4.6399e-08
350.0	4.8664e-08
350.2	5.1039e-08
350.4	5.3531e-08
350.6	5.6144e-08
350.8	5.8884e-08
351.0	5.9015e-08
351.2	5.625e-08
351.4	5.3614e-08
351.6	5.1102e-08
351.8	4.8708e-08
352.0	4.6425e-08
352.2	4.425e-08
352.4	4.2177e-08
352.6	4.02e-08
352.8	3.8317e-08
353.0	3.6521e-08
353.2	3.481e-08
353.4	3.3179e-08
353.6	3.1624e-08
353.8	3.0143e-08
354.0	2.873e-08
354.2	2.7384e-08
354.4	2.6101e-08
354.6	2.4878e-08
354.8	2.3712e-08
355.0	2.2601e-08
355.2	2.1542e-08
355.4	2.0533e-08
355.6	2.0071e-08
355.8	2.1399e-08
356.0	2.2816e-08
356.2	2.4326e-08
356.4	2.5937e-08
356.6	2.7653e-08
356.8	2.9484e-08
357.0	3.1436e-08
357.2	3.3517e-08
357.4	3.5736e-08
357.6	3.8101e-08
357.8	4.0623e-08
358.0	4.3313e-08
358.2	4.618e-08
358.4	4.9237e-08
358.6	5.2496e-08
358.8	5.5972e-08
359.0	5.9677e-08
359.2	6.3627e-08
359.4	6.7839e-08
359.6	7.233e-08
359.8	7.7118e-08
360.0	8.2223e-08
360.2	8.7666e-08
360.4	8.5295e-08
360.6	8.2871e-08
360.8	8.0517e-08
361.0	7.823e-08
361.2	7.6007e-08
361.4	7.3848e-08
361.6	7.175e-08
361.8	6.9711e-08
362.0	6.7731e-08
362.2	6.5807e-08
362.4	6.3937e-08
362.6	6.2121e-08
362.8	6.0356e-08
363.0	5.8641e-08
363.2	5.6975e-08
363.4	5.5357e-08
363.6	5.3784e-08
363.8	5.2256e-08
364.0	5.0771e-08
364.2	4.9329e-08
364.4	4.7928e-08
364.6	4.6566e-08
364.8	4.5243e-08
365.0	4.5547e-08
365.2	4.8589e-08
365.4	5.1835e-08
365.6	5.5297e-08
365.8	5.8991e-08
366.0	6.2931e-08
366.2	6.7134e-08
366.4	7.1618e-08
366.6	7.6402e-08
366.8	8.1505e-08
367.0	8.6949e-08
367.2	9.2757e-08
367.4	9.8952e-08
367.6	1.0556e-07
367.8	1.1261e-07
368.0	1.2013e-07
368.2	1.2816e-07
368.4	1.2853e-07
368.6	1.1794e-07
368.8	1.0823e-07
369.0	9.9313e-08
369.2	9.1132e-08
369.4	8.3625e-08
369.6	7.6737e-08
369.8	7.0416e-08
370.0	6.4615e-08
370.2	5.9293e-08
370.4	5.4409e-08
370.6	4.9927e-08
370.8	4.5814e-08
371.0	4.204e-08
371.2	3.8577e-08
371.4	3.54e-08
371.6	3.2484e-08
371.8	2.9808e-08
372.0	2.7352e-08
372.2	2.5099e-08
372.4	2.3032e-08
372.6	2.1135e-08
372.8	1.9394e-08
373.0	1.8004e-08
373.2	1.7948e-08
373.4	1.7892e-08
373.6	1.7836e-08
373.8	1.7781e-08
374.0	1.7725e-08
374.2	1.767e-08
374.4	1.7615e-08
374.6	1.756e-08
374.8	1.7506e-08
375.0	1.7451e-08
375.2	1.7397e-08
375.4	1.7343e-08
375.6	1.7289e-08
375.8	1.7235e-08
376.0	1.7181e-08
376.2	1.7128e-08
376.4	1.7075e-08
376.6	1.7021e-08
376.8	1.6968e-08
377.0	1.6916e-08
377.2	1.6863e-08
377.4	1.681e-08
377.6	1.6758e-08
377.8	1.6687e-08
378.0	1.6615e-08
378.2	1.6542e-08
378.4	1.647e-08
378.6	1.6398e-08
378.8	1.6326e-08
379.0	1.6255e-08
379.2	1.6184e-08
379.4	1.6113e-08
379.6	1.6042e-08
379.8	1.5972e-08
380.0	1.5903e-08
380.2	1.5833e-08
380.4	1.5764e-08
380.6	1.5695e-08
380.8	1.5626e-08
381.0	1.5558e-08
381.2	1.549e-08
381.4	1.5422e-08
381.6	1.5355e-08
381.8	1.5288e-08
382.0	1.5221e-08
382.2	1.5155e-08
382.4	1.5082e-08
382.6	1.5005e-08
382.8	1.4929e-08
383.0	1.4853e-08
383.2	1.4777e-08
383.4	1.4702e-08
383.6	1.4628e-08
383.8	1.4553e-08
384.0	1.4479e-08
384.2	1.4406e-08
384.4	1.4333e-08
384.6	1.426e-08
384.8	1.4188e-08
385.0	1.4115e-08
385.2	1.4044e-08
385.4	1.3972e-08
385.6	1.3901e-08
385.8	1.3831e-08
386.0	1.3761e-08
386.2	1.3691e-08
386.4	1.3621e-08
386.6	1.3552e-08
386.8	1.3483e-08
387.0	1.3412e-08
387.2	1.3338e-08
387.4	1.3263e-08
387.6	1.319e-08
387.8	1.3116e-08
388.0	1.3043e-08
388.2	1.2971e-08
388.4	1.2899e-08
388.6	1.2827e-08
388.8	1.2756e-08
389.0	1.2685e-08
389.2	1.2615e-08
389.4	1.2544e-08
389.6	1.2475e-08
389.8	1.2405e-08
390.0	1.2336e-08
390.2	1.2268e-08
390.4	1.22e-08
390.6	1.2132e-08
390.8	1.2064e-08
391.0	1.1997e-08
391.2	1.1931e-08
391.4	1.1864e-08
391.6	1.2442e-08
391.8	1.6621e-08
392.0	2.2203e-08
392.2	2.1958e-08
392.4	2.1716e-08
392.6	2.1477e-08
392.8	2.124e-08
393.0	2.1011e-08
393.2	2.0788e-08
393.4	2.0567e-08
393.6	2.0349e-08
393.8	2.0133e-08
394.0	1.9919e-08
394.2	1.9707e-08
394.4	1.9498e-08
394.6	1.9291e-08
394.8	1.9086e-08
395.0	1.8884e-08
395.2	1.8683e-08
395.4	1.8485e-08
395.6	1.8289e-08
395.8	1.8094e-08
396.0	1.7902e-08
396.2	1.7712e-08
396.4	1.7524e-08
396.6	1.7338e-08
396.8	1.7175e-08
397.0	1.7015e-08
397.2	1.6856e-08
397.4	1.6699e-08
397.6	1.6543e-08
397.8	1.6389e-08
398.0	1.6236e-08
398.2	1.6084e-08
398.4	1.5934e-08
398.6	1.5785e-08
398.8	1.5638e-08
399.0	1.5492e-08
399.2	1.5348e-08
399.4	1.5204e-08
399.6	1.5063e-08
399.8	1.4922e-08
400.0	1.4783e-08
400.2	1.4645e-08
400.4	1.4509e-08
400.6	1.4376e-08
400.8	1.4245e-08
401.0	1.4114e-08
401.2	1.3985e-08
401.4	1.3857e-08
401.6	1.373e-08
401.8	1.3604e-08
402.0	1.3479e-08
402.2	1.3356e-08
402.4	1.3234e-08
402.6	1.3112e-08
402.8	1.2992e-08
403.0	1.2873e-08
403.2	1.2755e-08
403.4	1.2638e-08
403.6	1.2523e-08
403.8	1.2408e-08
404.0	1.2294e-08
404.2	1.2191e-08
404.4	1.209e-08
404.6	1.199e-08
404.8	1.1891e-08
405.0	1.1793e-08
405.2	1.1695e-08
405.4	1.1599e-08
405.6	1.1503e-08
405.8	1.1408e-08
406.0	1.1313e-08
406.2	1.122e-08
406.4	1.1127e-08
406.6	1.1035e-08
406.8	1.0944e-08
407.0	1.0854e-08
407.2	1.0764e-08
407.4	1.0675e-08
407.6	1.0587e-08
407.8	1.0888e-08
408.0	1.2294e-08
408.2	1.3882e-08
408.4	1.5675e-08
408.6	1.77e-08
408.8	1.9986e-08
409.0	2.2567e-08
409.2	2.5482e-08
409.4	2.8773e-08
409.6	3.249e-08
409.8	3.6686e-08
410.0	4.1425e-08
410.2	4.6775e-08
410.4	5.2816e-08
410.6	5.9638e-08
410.8	6.7341e-08
411.0	7.6039e-08
411.2	8.586e-08
411.4	9.695e-08
411.6	1.0e-07
411.8	1.0e-07
412.0	1.0e-07
412.2	1.0e-07
412.4	1.0e-07
412.6	1.0e-07
412.8	1.0e-07
413.0	1.0e-07
413.2	1.0e-07
413.4	1.0e-07
413.6	1.0e-07
413.8	1.0e-07
414.0	1.0e-07
