Typical Measured Spectrum of Semrock FF01-593/46 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
265.0	1.7483e-05
265.2	1.8544e-05
265.4	1.9671e-05
265.6	2.0865e-05
265.8	2.2132e-05
266.0	2.3477e-05
266.2	2.4902e-05
266.4	2.6415e-05
266.6	2.8019e-05
266.8	2.972e-05
267.0	3.1525e-05
267.2	2.7431e-05
267.4	2.3349e-05
267.6	1.9875e-05
267.8	1.6918e-05
268.0	1.44e-05
268.2	1.2257e-05
268.4	1.0433e-05
268.6	8.8809e-06
268.8	7.5594e-06
269.0	6.4346e-06
269.2	5.4771e-06
269.4	4.6621e-06
269.6	3.9683e-06
269.8	3.3778e-06
270.0	2.8752e-06
270.2	2.4474e-06
270.4	2.0832e-06
270.6	1.7732e-06
270.8	1.5609e-06
271.0	1.5478e-06
271.2	1.5348e-06
271.4	1.5219e-06
271.6	1.5091e-06
271.8	1.4964e-06
272.0	1.4838e-06
272.2	1.4713e-06
272.4	1.459e-06
272.6	1.4467e-06
272.8	1.4345e-06
273.0	1.4225e-06
273.2	1.4105e-06
273.4	1.3987e-06
273.6	1.3869e-06
273.8	1.3752e-06
274.0	1.3637e-06
274.2	1.3522e-06
274.4	1.3409e-06
274.6	1.574e-06
274.8	2.1272e-06
275.0	2.8749e-06
275.2	2.0825e-06
275.4	1.5085e-06
275.6	1.2637e-06
275.8	1.2513e-06
276.0	1.239e-06
276.2	1.2269e-06
276.4	1.2148e-06
276.6	1.2029e-06
276.8	1.1911e-06
277.0	1.1794e-06
277.2	1.1679e-06
277.4	1.1564e-06
277.6	1.1451e-06
277.8	1.1338e-06
278.0	1.1227e-06
278.2	1.1117e-06
278.4	1.1008e-06
278.6	1.09e-06
278.8	1.0793e-06
279.0	1.0687e-06
279.2	1.0582e-06
279.4	1.1645e-06
279.6	1.3167e-06
279.8	1.4888e-06
280.0	1.6835e-06
280.2	1.9035e-06
280.4	2.1524e-06
280.6	2.4338e-06
280.8	2.7519e-06
281.0	3.1117e-06
281.2	3.5184e-06
281.4	3.9784e-06
281.6	4.4985e-06
281.8	5.0866e-06
282.0	5.7515e-06
282.2	6.5034e-06
282.4	7.3536e-06
282.6	8.3149e-06
282.8	9.4019e-06
283.0	1.0101e-05
283.2	7.7102e-06
283.4	5.885e-06
283.6	4.4919e-06
283.8	3.4286e-06
284.0	2.6169e-06
284.2	1.9974e-06
284.4	1.5246e-06
284.6	1.1637e-06
284.8	8.8822e-07
285.0	6.7796e-07
285.2	6.6432e-07
285.4	6.5096e-07
285.6	6.3887e-07
285.8	6.2795e-07
286.0	6.1721e-07
286.2	6.0666e-07
286.4	5.9629e-07
286.6	5.861e-07
286.8	5.7608e-07
287.0	5.6623e-07
287.2	5.5655e-07
287.4	5.4704e-07
287.6	5.3769e-07
287.8	5.285e-07
288.0	5.1947e-07
288.2	5.1059e-07
288.4	5.0186e-07
288.6	4.9328e-07
288.8	4.8485e-07
289.0	4.7656e-07
289.2	4.6841e-07
289.4	5.3542e-07
289.6	6.2854e-07
289.8	7.3785e-07
290.0	8.6617e-07
290.2	1.0168e-06
290.4	1.1937e-06
290.6	1.4012e-06
290.8	1.6449e-06
291.0	1.931e-06
291.2	2.2668e-06
291.4	2.6611e-06
291.6	3.1239e-06
291.8	3.6672e-06
292.0	4.3049e-06
292.2	5.0536e-06
292.4	5.9325e-06
292.6	6.9643e-06
292.8	8.1754e-06
293.0	8.6768e-06
293.2	6.0737e-06
293.4	4.2515e-06
293.6	2.976e-06
293.8	2.0832e-06
294.0	1.4582e-06
294.2	1.0207e-06
294.4	7.1448e-07
294.6	5.0013e-07
294.8	3.5008e-07
295.0	2.4505e-07
295.2	2.5452e-07
295.4	2.6434e-07
295.6	2.7455e-07
295.8	2.8515e-07
296.0	2.9616e-07
296.2	3.0759e-07
296.4	3.1947e-07
296.6	3.3181e-07
296.8	3.4462e-07
297.0	3.5792e-07
297.2	3.7174e-07
297.4	3.861e-07
297.6	4.01e-07
297.8	4.1649e-07
298.0	4.3054e-07
298.2	4.2561e-07
298.4	4.2074e-07
298.6	4.1593e-07
298.8	4.1116e-07
299.0	4.0646e-07
299.2	4.0181e-07
299.4	3.9721e-07
299.6	3.9266e-07
299.8	3.8816e-07
300.0	3.8372e-07
300.2	3.7933e-07
300.4	3.7499e-07
300.6	3.7069e-07
300.8	3.6645e-07
301.0	3.6226e-07
301.2	3.5811e-07
301.4	3.5401e-07
301.6	3.4996e-07
301.8	3.5214e-07
302.0	3.6224e-07
302.2	3.7264e-07
302.4	3.8334e-07
302.6	3.9435e-07
302.8	4.0567e-07
303.0	4.1731e-07
303.2	4.2929e-07
303.4	4.4162e-07
303.6	4.5429e-07
303.8	4.6733e-07
304.0	4.8075e-07
304.2	4.9455e-07
304.4	5.0875e-07
304.6	5.2335e-07
304.8	5.3838e-07
305.0	5.5383e-07
305.2	4.2353e-07
305.4	3.2389e-07
305.6	2.6183e-07
305.8	2.6082e-07
306.0	2.5981e-07
306.2	2.588e-07
306.4	2.578e-07
306.6	2.568e-07
306.8	2.558e-07
307.0	2.5481e-07
307.2	2.5383e-07
307.4	2.5284e-07
307.6	2.5186e-07
307.8	2.5089e-07
308.0	2.4992e-07
308.2	2.4895e-07
308.4	2.4798e-07
308.6	2.4702e-07
308.8	2.4607e-07
309.0	2.4511e-07
309.2	2.4416e-07
309.4	2.4313e-07
309.6	2.4202e-07
309.8	2.4091e-07
310.0	2.3981e-07
310.2	2.3872e-07
310.4	2.3763e-07
310.6	2.3655e-07
310.8	2.3547e-07
311.0	2.3439e-07
311.2	2.3332e-07
311.4	2.3226e-07
311.6	2.312e-07
311.8	2.3014e-07
312.0	2.2909e-07
312.2	2.2805e-07
312.4	2.2701e-07
312.6	2.2597e-07
312.8	2.2494e-07
313.0	2.2391e-07
313.2	2.2279e-07
313.4	2.2166e-07
313.6	2.2053e-07
313.8	2.1941e-07
314.0	2.1829e-07
314.2	2.1718e-07
314.4	2.1608e-07
314.6	2.1498e-07
314.8	2.1389e-07
315.0	2.128e-07
315.2	2.1172e-07
315.4	2.1064e-07
315.6	2.0957e-07
315.8	2.085e-07
316.0	2.0744e-07
316.2	2.0639e-07
316.4	2.0534e-07
316.6	2.0429e-07
316.8	2.0964e-07
317.0	2.3861e-07
317.2	2.7157e-07
317.4	3.0909e-07
317.6	3.5179e-07
317.8	4.004e-07
318.0	4.5572e-07
318.2	5.1868e-07
318.4	5.9034e-07
318.6	6.719e-07
318.8	7.6472e-07
319.0	8.7038e-07
319.2	9.9063e-07
319.4	1.1275e-06
319.6	1.2833e-06
319.8	1.4606e-06
320.0	1.6623e-06
320.2	1.892e-06
320.4	2.1534e-06
320.6	2.2186e-06
320.8	2.1299e-06
321.0	2.0447e-06
321.2	1.9629e-06
321.4	1.8844e-06
321.6	1.809e-06
321.8	1.7367e-06
322.0	1.6672e-06
322.2	1.6005e-06
322.4	1.5365e-06
322.6	1.475e-06
322.8	1.416e-06
323.0	1.3594e-06
323.2	1.305e-06
323.4	1.2528e-06
323.6	1.2027e-06
323.8	1.1546e-06
324.0	1.1084e-06
324.2	1.0641e-06
324.4	9.5772e-07
324.6	8.5906e-07
324.8	7.7056e-07
325.0	6.9118e-07
325.2	6.1997e-07
325.4	5.561e-07
325.6	4.9881e-07
325.8	4.4742e-07
326.0	4.0133e-07
326.2	3.5998e-07
326.4	3.229e-07
326.6	2.8963e-07
326.8	2.598e-07
327.0	2.3303e-07
327.2	2.0902e-07
327.4	1.8749e-07
327.6	1.6817e-07
327.8	1.5085e-07
328.0	1.3959e-07
328.2	1.38e-07
328.4	1.3642e-07
328.6	1.3487e-07
328.8	1.3333e-07
329.0	1.3181e-07
329.2	1.3031e-07
329.4	1.2882e-07
329.6	1.2735e-07
329.8	1.259e-07
330.0	1.2447e-07
330.2	1.2305e-07
330.4	1.2165e-07
330.6	1.2026e-07
330.8	1.1889e-07
331.0	1.1753e-07
331.2	1.1619e-07
331.4	1.1487e-07
331.6	1.1356e-07
331.8	1.1428e-07
332.0	1.1588e-07
332.2	1.1751e-07
332.4	1.1915e-07
332.6	1.2082e-07
332.8	1.2252e-07
333.0	1.2424e-07
333.2	1.2598e-07
333.4	1.2775e-07
333.6	1.2954e-07
333.8	1.3136e-07
334.0	1.332e-07
334.2	1.3507e-07
334.4	1.3696e-07
334.6	1.3888e-07
334.8	1.4083e-07
335.0	1.428e-07
335.2	1.2307e-07
335.4	1.0606e-07
335.6	9.8862e-08
335.8	1.1274e-07
336.0	1.2857e-07
336.2	1.4661e-07
336.4	1.672e-07
336.6	1.9067e-07
336.8	2.1743e-07
337.0	2.4796e-07
337.2	2.8276e-07
337.4	3.2246e-07
337.6	3.6773e-07
337.8	4.1935e-07
338.0	4.7822e-07
338.2	5.4535e-07
338.4	6.219e-07
338.6	7.092e-07
338.8	8.0876e-07
339.0	9.223e-07
339.2	1.0518e-06
339.4	1.0021e-06
339.6	8.6292e-07
339.8	7.4309e-07
340.0	6.399e-07
340.2	5.5104e-07
340.4	4.7451e-07
340.6	4.0862e-07
340.8	3.5187e-07
341.0	3.0301e-07
341.2	2.6093e-07
341.4	2.247e-07
341.6	1.9349e-07
341.8	1.6662e-07
342.0	1.4348e-07
342.2	1.2356e-07
342.4	1.064e-07
342.6	9.1624e-08
342.8	7.8901e-08
343.0	6.8092e-08
343.2	6.7832e-08
343.4	6.7573e-08
343.6	6.7314e-08
343.8	6.7057e-08
344.0	6.68e-08
344.2	6.6545e-08
344.4	6.6291e-08
344.6	6.6037e-08
344.8	6.5785e-08
345.0	6.5533e-08
345.2	6.5282e-08
345.4	6.5033e-08
345.6	6.4784e-08
345.8	6.4536e-08
346.0	6.429e-08
346.2	6.4044e-08
346.4	6.3799e-08
346.6	6.3555e-08
346.8	6.6562e-08
347.0	7.5389e-08
347.2	8.5386e-08
347.4	9.6709e-08
347.6	1.0953e-07
347.8	1.2406e-07
348.0	1.4051e-07
348.2	1.5914e-07
348.4	1.8025e-07
348.6	2.0415e-07
348.8	2.3122e-07
349.0	2.6188e-07
349.2	2.9661e-07
349.4	3.3594e-07
349.6	3.8049e-07
349.8	4.3095e-07
350.0	4.881e-07
350.2	5.5282e-07
350.4	6.2613e-07
350.6	5.8479e-07
350.8	5.1644e-07
351.0	4.5608e-07
351.2	4.0277e-07
351.4	3.557e-07
351.6	3.1413e-07
351.8	2.7741e-07
352.0	2.4499e-07
352.2	2.1635e-07
352.4	1.9107e-07
352.6	1.6874e-07
352.8	1.4901e-07
353.0	1.316e-07
353.2	1.1622e-07
353.4	1.0263e-07
353.6	9.0638e-08
353.8	8.0045e-08
354.0	7.0689e-08
354.2	6.4568e-08
354.4	6.9535e-08
354.6	7.4883e-08
354.8	8.0642e-08
355.0	8.6845e-08
355.2	9.3524e-08
355.4	1.0072e-07
355.6	1.0846e-07
355.8	1.1681e-07
356.0	1.2579e-07
356.2	1.3546e-07
356.4	1.4588e-07
356.6	1.571e-07
356.8	1.6919e-07
357.0	1.822e-07
357.2	1.9621e-07
357.4	2.113e-07
357.6	2.2756e-07
357.8	2.4506e-07
358.0	2.6795e-07
358.2	2.963e-07
358.4	3.2765e-07
358.6	3.6232e-07
358.8	4.0065e-07
359.0	4.4304e-07
359.2	4.8991e-07
359.4	5.4174e-07
359.6	5.9905e-07
359.8	6.6243e-07
360.0	7.3252e-07
360.2	8.1002e-07
360.4	8.9571e-07
360.6	9.9048e-07
360.8	1.0953e-06
361.0	1.2111e-06
361.2	1.3393e-06
361.4	1.481e-06
361.6	1.6377e-06
361.8	1.7715e-06
362.0	1.9156e-06
362.2	2.0715e-06
362.4	2.24e-06
362.6	2.4223e-06
362.8	2.6193e-06
363.0	2.8324e-06
363.2	3.0629e-06
363.4	3.3121e-06
363.6	3.5816e-06
363.8	3.873e-06
364.0	4.1881e-06
364.2	4.5288e-06
364.4	4.8973e-06
364.6	5.2957e-06
364.8	5.7266e-06
365.0	6.1925e-06
365.2	6.3349e-06
365.4	6.4806e-06
365.6	6.6296e-06
365.8	6.7821e-06
366.0	6.9381e-06
366.2	7.0976e-06
366.4	7.2609e-06
366.6	7.4278e-06
366.8	7.5987e-06
367.0	8.2393e-06
367.2	9.8043e-06
367.4	1.1667e-05
367.6	1.3883e-05
367.8	1.652e-05
368.0	1.9658e-05
368.2	2.3392e-05
368.4	2.7835e-05
368.6	3.3122e-05
368.8	3.9413e-05
369.0	4.69e-05
369.2	5.5808e-05
369.4	6.6409e-05
369.6	7.9023e-05
369.8	9.4034e-05
370.0	1.119e-04
370.2	1.3315e-04
370.4	1.5844e-04
370.6	1.8854e-04
370.8	1.9202e-04
371.0	1.8619e-04
371.2	1.8054e-04
371.4	1.7506e-04
371.6	1.6974e-04
371.8	1.6459e-04
372.0	1.5959e-04
372.2	1.5475e-04
372.4	1.5005e-04
372.6	1.4549e-04
372.8	1.4108e-04
373.0	1.3679e-04
373.2	1.3264e-04
373.4	1.2861e-04
373.6	1.2471e-04
373.8	1.2092e-04
374.0	1.1725e-04
374.2	1.1369e-04
374.4	1.1015e-04
374.6	1.0621e-04
374.8	1.0242e-04
375.0	9.8757e-05
375.2	9.5227e-05
375.4	9.1824e-05
375.6	8.8542e-05
375.8	8.5377e-05
376.0	8.2326e-05
376.2	7.9384e-05
376.4	7.6546e-05
376.6	7.3811e-05
376.8	7.1173e-05
377.0	6.8629e-05
377.2	6.6176e-05
377.4	6.3811e-05
377.6	6.153e-05
377.8	5.9331e-05
378.0	5.7211e-05
378.2	5.8286e-05
378.4	6.229e-05
378.6	6.6569e-05
378.8	7.1142e-05
379.0	7.6029e-05
379.2	8.1252e-05
379.4	8.6834e-05
379.6	9.2799e-05
379.8	9.9174e-05
380.0	1.0599e-04
380.2	1.1327e-04
380.4	1.2105e-04
380.6	1.2936e-04
380.8	1.3825e-04
381.0	1.4775e-04
381.2	1.579e-04
381.4	1.6875e-04
381.6	1.8034e-04
381.8	1.9273e-04
382.0	1.8661e-04
382.2	1.7935e-04
382.4	1.7238e-04
382.6	1.6567e-04
382.8	1.5923e-04
383.0	1.5303e-04
383.2	1.4708e-04
383.4	1.4136e-04
383.6	1.3586e-04
383.8	1.3058e-04
384.0	1.255e-04
384.2	1.2061e-04
384.4	1.1592e-04
384.6	1.1141e-04
384.8	1.0708e-04
385.0	1.0291e-04
385.2	9.8911e-05
385.4	9.5064e-05
385.6	9.4741e-05
385.8	1.0131e-04
386.0	1.0833e-04
386.2	1.1584e-04
386.4	1.2387e-04
386.6	1.3246e-04
386.8	1.4164e-04
387.0	1.5146e-04
387.2	1.6195e-04
387.4	1.7318e-04
387.6	1.8519e-04
387.8	1.9802e-04
388.0	2.1175e-04
388.2	2.2643e-04
388.4	2.4212e-04
388.6	2.5891e-04
388.8	2.7685e-04
