Typical Measured Spectrum of Semrock LL01-785 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
351.0	2.1784e-05
351.2	2.5379e-05
351.4	2.2579e-05
351.6	2.2518e-05
351.8	2.0979e-05
352.0	2.0031e-05
352.2	2.0599e-05
352.4	2.3175e-05
352.6	2.4503e-05
352.8	2.4362e-05
353.0	2.0792e-05
353.2	1.7565e-05
353.4	1.894e-05
353.6	1.982e-05
353.8	1.8859e-05
354.0	1.8619e-05
354.2	1.9305e-05
354.4	1.82e-05
354.6	1.8526e-05
354.8	1.7003e-05
355.0	1.7104e-05
355.2	2.0714e-05
355.4	2.0227e-05
355.6	2.1281e-05
355.8	2.8096e-05
356.0	4.0067e-05
356.2	4.8715e-05
356.4	5.277e-05
356.6	6.2944e-05
356.8	7.6852e-05
357.0	9.6802e-05
357.2	1.3615e-04
357.4	1.683e-04
357.6	1.7342e-04
357.8	1.6092e-04
358.0	1.4383e-04
358.2	1.2989e-04
358.4	1.3292e-04
358.6	1.4157e-04
358.8	1.6315e-04
359.0	2.1436e-04
359.2	3.3368e-04
359.4	5.4941e-04
359.6	9.0392e-04
359.8	0.00134
360.0	0.00156
360.2	0.00129
360.4	9.4137e-04
360.6	6.6712e-04
360.8	4.8474e-04
361.0	3.6988e-04
361.2	3.1457e-04
361.4	2.8124e-04
361.6	2.6885e-04
361.8	2.7888e-04
362.0	3.1319e-04
362.2	3.7643e-04
362.4	5.0253e-04
362.6	7.4784e-04
362.8	0.00123
363.0	0.0025
363.2	0.00522
363.4	0.00931
363.6	0.01275
363.8	0.01261
364.0	0.01117
364.2	0.01044
364.4	0.01
364.6	0.00932
364.8	0.00765
365.0	0.00571
365.2	0.00403
365.4	0.00223
365.6	0.00122
365.8	8.5754e-04
366.0	6.9623e-04
366.2	5.9028e-04
366.4	5.1085e-04
366.6	3.9058e-04
366.8	4.1341e-04
367.0	4.0756e-04
367.2	3.0306e-04
367.4	3.5645e-04
367.6	4.2892e-04
367.8	3.7681e-04
368.0	3.5561e-04
368.2	3.1386e-04
368.4	3.4036e-04
368.6	4.1805e-04
368.8	5.1532e-04
369.0	3.9125e-04
369.2	3.7382e-04
369.4	4.0993e-04
369.6	4.83e-04
369.8	4.3316e-04
370.0	4.7475e-04
370.2	5.201e-04
370.4	6.2506e-04
370.6	7.5198e-04
370.8	9.9346e-04
371.0	0.00116
371.2	0.00115
371.4	8.9564e-04
371.6	6.9338e-04
371.8	5.9818e-04
372.0	5.9572e-04
372.2	4.8881e-04
372.4	5.4503e-04
372.6	4.6995e-04
372.8	4.8639e-04
373.0	4.4648e-04
373.2	4.6473e-04
373.4	4.1287e-04
373.6	4.7081e-04
373.8	5.4066e-04
374.0	6.1825e-04
374.2	7.0322e-04
374.4	8.1722e-04
374.6	8.559e-04
374.8	0.00126
375.0	0.00195
375.2	0.00346
375.4	0.00827
375.6	0.01554
375.8	0.01317
376.0	0.00851
376.2	0.00666
376.4	0.00671
376.6	0.00813
376.8	0.01338
377.0	0.03252
377.2	0.0765
377.4	0.04967
377.6	0.01661
377.8	0.00796
378.0	0.00529
378.2	0.00406
378.4	0.00352
378.6	0.00315
378.8	0.003
379.0	0.00306
379.2	0.00304
379.4	0.00285
379.6	0.00259
379.8	0.00214
380.0	0.00182
380.2	0.00155
380.4	0.00137
380.6	0.00127
380.8	0.00122
381.0	0.00114
381.2	0.00113
381.4	0.00104
381.6	0.00102
381.8	0.00105
382.0	0.00106
382.2	0.00101
382.4	0.00103
382.6	0.00106
382.8	0.00103
383.0	0.0011
383.2	0.00111
383.4	0.00102
383.6	0.00113
383.8	0.0013
384.0	0.0014
384.2	0.00158
384.4	0.00189
384.6	0.00226
384.8	0.00299
385.0	0.00429
385.2	0.00744
385.4	0.01566
385.6	0.04921
385.8	0.16066
386.0	0.15876
386.2	0.06757
386.4	0.03796
386.6	0.03015
386.8	0.02924
387.0	0.03377
387.2	0.04643
387.4	0.07844
387.6	0.17137
387.8	0.37801
388.0	0.39329
388.2	0.19637
388.4	0.09465
388.6	0.05655
388.8	0.03877
389.0	0.02871
389.2	0.02213
389.4	0.01759
389.6	0.01423
389.8	0.01178
390.0	0.01008
390.2	0.00898
390.4	0.00821
390.6	0.00788
390.8	0.00812
391.0	0.00876
391.2	0.0102
391.4	0.01243
391.6	0.01589
391.8	0.01958
392.0	0.01964
392.2	0.015
392.4	0.00979
392.6	0.00639
392.8	0.00437
393.0	0.00325
393.2	0.0026
393.4	0.00208
393.6	0.00178
393.8	0.00164
394.0	0.00148
394.2	0.00137
394.4	0.00135
394.6	0.00131
394.8	0.00127
395.0	9.1206e-04
395.2	9.089e-04
395.4	9.5774e-04
395.6	0.00106
395.8	0.00118
396.0	0.00134
396.2	0.00157
396.4	0.00186
396.6	0.00224
396.8	0.00273
397.0	0.00336
397.2	0.0041
397.4	0.00517
397.6	0.00668
397.8	0.00925
398.0	0.0139
398.2	0.02354
398.4	0.03899
398.6	0.042
398.8	0.02561
399.0	0.01271
399.2	0.00692
399.4	0.00427
399.6	0.0029
399.8	0.00214
400.0	0.00162
400.2	0.00132
400.4	0.00108
400.6	9.5905e-04
400.8	8.449e-04
401.0	7.9492e-04
401.2	7.8181e-04
401.4	7.6562e-04
401.6	7.9937e-04
401.8	8.2351e-04
402.0	8.8742e-04
402.2	9.8057e-04
402.4	0.00104
402.6	0.00105
402.8	9.908e-04
403.0	8.4616e-04
403.2	6.6631e-04
403.4	5.0206e-04
403.6	3.6842e-04
403.8	2.8445e-04
404.0	2.1127e-04
404.2	1.8087e-04
404.4	1.3937e-04
404.6	1.2325e-04
404.8	1.0567e-04
405.0	9.5512e-05
405.2	9.7918e-05
405.4	1.0038e-04
405.6	1.0291e-04
405.8	1.0551e-04
406.0	1.0816e-04
406.2	1.1089e-04
406.4	1.1368e-04
406.6	1.1655e-04
406.8	1.1948e-04
407.0	1.2249e-04
407.2	1.2558e-04
407.4	1.2874e-04
407.6	1.3199e-04
407.8	1.3531e-04
408.0	1.3458e-04
408.2	1.3284e-04
408.4	1.3112e-04
408.6	1.2943e-04
408.8	1.2776e-04
409.0	1.2611e-04
409.2	1.2448e-04
409.4	1.2287e-04
409.6	1.2128e-04
409.8	1.1972e-04
410.0	1.1817e-04
410.2	1.1665e-04
410.4	1.1514e-04
410.6	1.1365e-04
410.8	1.1218e-04
411.0	1.1073e-04
411.2	1.093e-04
411.4	1.0789e-04
411.6	1.065e-04
411.8	1.0512e-04
412.0	1.0596e-04
412.2	1.0894e-04
412.4	1.1201e-04
412.6	1.1516e-04
412.8	1.1839e-04
413.0	1.2172e-04
413.2	1.2514e-04
413.4	1.2866e-04
413.6	1.3228e-04
413.8	1.36e-04
414.0	1.3982e-04
414.2	1.4375e-04
414.4	1.478e-04
414.6	1.5195e-04
414.8	1.5622e-04
415.0	1.6061e-04
415.2	1.8954e-04
415.4	2.1391e-04
415.6	2.0776e-04
415.8	2.0953e-04
416.0	2.0832e-04
416.2	1.9557e-04
416.4	1.786e-04
416.6	1.7981e-04
416.8	1.8735e-04
417.0	1.978e-04
417.2	2.0348e-04
417.4	2.3617e-04
417.6	2.6838e-04
417.8	3.5191e-04
418.0	4.9037e-04
418.2	8.4449e-04
418.4	0.00203
418.6	0.00629
418.8	0.00931
419.0	0.004
419.2	0.00155
419.4	8.9711e-04
419.6	6.082e-04
419.8	4.8943e-04
420.0	4.047e-04
420.2	3.6452e-04
420.4	3.6322e-04
420.6	3.7617e-04
420.8	3.6608e-04
421.0	4.0834e-04
421.2	4.4194e-04
421.4	5.2476e-04
421.6	6.4455e-04
421.8	8.7032e-04
422.0	0.00125
422.2	0.00203
422.4	0.00413
422.6	0.01474
422.8	0.11588
423.0	0.11523
423.2	0.01959
423.4	0.00666
423.6	0.0041
423.8	0.00305
424.0	0.00247
424.2	0.00219
424.4	0.0021
424.6	0.0021
424.8	0.00236
425.0	0.00282
425.2	0.00292
425.4	0.0042
425.6	0.00773
425.8	0.0224
426.0	0.10082
426.2	0.0989
426.4	0.02323
426.6	0.00795
426.8	0.00454
427.0	0.00317
427.2	0.00247
427.4	0.00215
427.6	0.0019
427.8	0.00182
428.0	0.00175
428.2	0.00177
428.4	0.00191
428.6	0.00203
428.8	0.00235
429.0	0.00281
429.2	0.00353
429.4	0.00483
429.6	0.00718
429.8	0.01187
430.0	0.02473
430.2	0.07238
430.4	0.2435
430.6	0.26658
430.8	0.10226
431.0	0.04399
431.2	0.02751
431.4	0.02098
431.6	0.01814
431.8	0.01735
432.0	0.01776
432.2	0.01973
432.4	0.02342
432.6	0.03017
432.8	0.04188
433.0	0.06458
433.2	0.11152
433.4	0.21438
433.6	0.39672
433.8	0.50943
434.0	0.42015
434.2	0.29086
434.4	0.21649
434.6	0.1831
434.8	0.17575
435.0	0.18911
435.2	0.226
435.4	0.30209
435.6	0.44006
435.8	0.64456
436.0	0.7806
436.2	0.69367
436.4	0.49615
436.6	0.34539
436.8	0.25718
437.0	0.21002
437.2	0.18447
437.4	0.17101
437.6	0.16093
437.8	0.14714
438.0	0.12466
438.2	0.09663
438.4	0.07004
438.6	0.04937
438.8	0.03511
439.0	0.02552
439.2	0.0193
439.4	0.01515
439.6	0.01234
439.8	0.0104
440.0	0.00906
440.2	0.00816
440.4	0.00759
440.6	0.00718
440.8	0.00705
441.0	0.00713
441.2	0.00737
441.4	0.00799
441.6	0.00889
441.8	0.01028
442.0	0.01236
442.2	0.01559
442.4	0.02089
442.6	0.02947
442.8	0.04398
443.0	0.06734
443.2	0.09582
443.4	0.11008
443.6	0.09745
443.8	0.07398
444.0	0.05514
444.2	0.04293
444.4	0.03562
444.6	0.03151
444.8	0.02943
445.0	0.029
445.2	0.03015
445.4	0.0328
445.6	0.03764
445.8	0.04516
446.0	0.05617
446.2	0.07119
446.4	0.08807
446.6	0.09913
446.8	0.09686
447.0	0.08313
447.2	0.06556
447.4	0.05133
447.6	0.04103
447.8	0.03438
448.0	0.03003
448.2	0.02738
448.4	0.02607
448.6	0.02585
448.8	0.02677
449.0	0.02894
449.2	0.03274
449.4	0.03918
449.6	0.04976
449.8	0.06798
450.0	0.1021
450.2	0.17258
450.4	0.32603
450.6	0.55959
450.8	0.59501
451.0	0.37566
451.2	0.20657
451.4	0.12575
451.6	0.08659
451.8	0.06563
452.0	0.05345
452.2	0.04624
452.4	0.04182
452.6	0.03957
452.8	0.03898
453.0	0.03974
453.2	0.04221
453.4	0.04652
453.6	0.05321
453.8	0.06349
454.0	0.07909
454.2	0.10358
454.4	0.14291
454.6	0.20864
454.8	0.31988
455.0	0.4977
455.2	0.70173
455.4	0.79602
455.6	0.69597
455.8	0.51899
456.0	0.37443
456.2	0.2773
456.4	0.21373
456.6	0.17073
456.8	0.1401
457.0	0.11759
457.2	0.10029
457.4	0.08682
457.6	0.0762
457.8	0.06773
458.0	0.06101
458.2	0.05589
458.4	0.05205
458.6	0.04949
458.8	0.04807
459.0	0.04779
459.2	0.04874
459.4	0.0514
459.6	0.05596
459.8	0.06328
460.0	0.07481
460.2	0.09313
460.4	0.12345
460.6	0.17589
460.8	0.26577
461.0	0.3924
461.2	0.46848
461.4	0.39441
461.6	0.25626
461.8	0.15754
462.0	0.10208
462.2	0.07111
462.4	0.05275
462.6	0.04152
462.8	0.03402
463.0	0.02897
463.2	0.02543
463.4	0.02297
463.6	0.02132
463.8	0.02027
464.0	0.01975
464.2	0.01971
464.4	0.02022
464.6	0.02114
464.8	0.02274
465.0	0.02508
465.2	0.02832
465.4	0.03289
465.6	0.03944
465.8	0.04871
466.0	0.06214
466.2	0.08226
466.4	0.11194
466.6	0.15542
466.8	0.21346
467.0	0.27752
467.2	0.32279
467.4	0.32635
467.6	0.29722
467.8	0.25608
468.0	0.22265
468.2	0.19683
468.4	0.17767
468.6	0.1664
468.8	0.16142
469.0	0.16294
469.2	0.16983
469.4	0.18396
469.6	0.20585
469.8	0.23818
470.0	0.28488
470.2	0.34914
470.4	0.43446
470.6	0.53681
470.8	0.64125
471.0	0.71234
471.2	0.72607
471.4	0.68639
471.6	0.61664
471.8	0.54708
472.0	0.48973
472.2	0.44948
472.4	0.42528
472.6	0.41762
472.8	0.4244
473.0	0.44812
473.2	0.49042
473.4	0.55415
473.6	0.64328
473.8	0.75301
474.0	0.86449
474.2	0.9327
474.4	0.91693
474.6	0.81515
474.8	0.67017
475.0	0.53245
475.2	0.42208
475.4	0.34027
475.6	0.28129
475.8	0.23944
476.0	0.20985
476.2	0.18927
476.4	0.1757
476.6	0.16739
476.8	0.16398
477.0	0.16488
477.2	0.17028
477.4	0.1809
477.6	0.19759
477.8	0.22142
478.0	0.25565
478.2	0.30182
478.4	0.3637
478.6	0.44078
478.8	0.52487
479.0	0.59174
479.2	0.61327
479.4	0.57574
479.6	0.49703
479.8	0.40864
480.0	0.33099
480.2	0.26927
480.4	0.2233
480.6	0.18926
480.8	0.16415
481.0	0.1457
481.2	0.13233
481.4	0.12266
481.6	0.11622
481.8	0.1119
482.0	0.11041
482.2	0.11024
482.4	0.11219
482.6	0.11604
482.8	0.12175
483.0	0.12974
483.2	0.13999
483.4	0.1528
483.6	0.16849
483.8	0.18714
484.0	0.20828
484.2	0.23198
484.4	0.25682
484.6	0.28159
484.8	0.30359
485.0	0.32131
485.2	0.33292
485.4	0.33878
485.6	0.33836
485.8	0.33383
486.0	0.32729
486.2	0.31959
486.4	0.31317
486.6	0.30839
486.8	0.30629
487.0	0.30731
487.2	0.31169
487.4	0.32026
487.6	0.33348
487.8	0.35179
488.0	0.37592
488.2	0.40618
488.4	0.44254
488.6	0.48572
488.8	0.53288
489.0	0.58038
489.2	0.62191
489.4	0.64865
489.6	0.6522
489.8	0.63091
490.0	0.58546
490.2	0.52602
490.4	0.46159
490.6	0.39877
490.8	0.34264
491.0	0.29486
491.2	0.2545
491.4	0.22105
491.6	0.19394
491.8	0.17153
492.0	0.15305
492.2	0.13808
492.4	0.1257
492.6	0.11546
492.8	0.10709
493.0	0.10041
493.2	0.09495
493.4	0.09068
493.6	0.08757
493.8	0.08528
494.0	0.08392
494.2	0.08354
494.4	0.08399
494.6	0.08546
494.8	0.08814
495.0	0.09207
495.2	0.09762
495.4	0.10474
495.6	0.11443
495.8	0.12728
496.0	0.1441
496.2	0.16616
496.4	0.19549
496.6	0.23351
496.8	0.27999
497.0	0.33352
497.2	0.3832
497.4	0.41127
497.6	0.40425
497.8	0.36081
498.0	0.30026
498.2	0.24007
498.4	0.18982
498.6	0.15089
498.8	0.12186
499.0	0.10023
499.2	0.08406
499.4	0.07198
499.6	0.06264
499.8	0.05545
500.0	0.04758
500.2	0.04221
500.4	0.03998
500.6	0.03849
500.8	0.03761
501.0	0.03747
501.2	0.03766
501.4	0.03834
501.6	0.03967
501.8	0.04148
502.0	0.04401
502.2	0.04687
502.4	0.0506
502.6	0.05544
502.8	0.06183
503.0	0.07032
503.2	0.08166
503.4	0.09674
503.6	0.11671
503.8	0.14366
504.0	0.17964
504.2	0.22759
504.4	0.28732
504.6	0.35446
504.8	0.41642
505.0	0.45249
505.2	0.45092
505.4	0.41403
505.6	0.36229
505.8	0.30952
506.0	0.264
506.2	0.22726
506.4	0.1988
506.6	0.17684
506.8	0.16024
507.0	0.14753
507.2	0.1379
507.4	0.13067
507.6	0.12549
507.8	0.12166
508.0	0.11922
508.2	0.11778
508.4	0.11713
508.6	0.11742
508.8	0.11821
509.0	0.11963
509.2	0.12093
509.4	0.12254
509.6	0.12426
509.8	0.12586
510.0	0.12741
510.2	0.1287
510.4	0.12981
510.6	0.13039
510.8	0.1308
511.0	0.13081
511.2	0.13026
511.4	0.12919
511.6	0.12756
511.8	0.1254
512.0	0.1227
512.2	0.1196
512.4	0.11608
512.6	0.11233
512.8	0.10821
513.0	0.10416
513.2	0.10017
513.4	0.09622
513.6	0.09254
513.8	0.08928
514.0	0.08644
514.2	0.08405
514.4	0.08217
514.6	0.08093
514.8	0.0804
515.0	0.08069
515.2	0.08168
515.4	0.08357
515.6	0.08661
515.8	0.09086
516.0	0.09649
516.2	0.10388
516.4	0.11326
516.6	0.12465
516.8	0.13897
517.0	0.15545
517.2	0.17373
517.4	0.19145
517.6	0.20577
517.8	0.21201
518.0	0.20795
518.2	0.19326
518.4	0.17156
518.6	0.1476
518.8	0.12456
519.0	0.10441
519.2	0.08798
519.4	0.07454
519.6	0.06411
519.8	0.05569
520.0	0.04788
520.2	0.04195
520.4	0.03822
520.6	0.03531
520.8	0.03308
521.0	0.03132
521.2	0.03004
521.4	0.02922
521.6	0.0287
521.8	0.02856
522.0	0.02874
522.2	0.02924
522.4	0.03013
522.6	0.03141
522.8	0.03311
523.0	0.03533
523.2	0.03808
523.4	0.0415
523.6	0.04569
523.8	0.05085
524.0	0.05693
524.2	0.06414
524.4	0.07246
524.6	0.08157
524.8	0.09124
525.0	0.10063
525.2	0.10857
525.4	0.11417
525.6	0.11659
525.8	0.11584
526.0	0.11218
526.2	0.10655
526.4	0.09997
526.6	0.09333
526.8	0.08699
527.0	0.08139
527.2	0.07659
527.4	0.07258
527.6	0.06946
527.8	0.06695
528.0	0.06534
528.2	0.06431
528.4	0.06397
528.6	0.06426
528.8	0.06513
529.0	0.06655
529.2	0.0686
529.4	0.0712
529.6	0.07447
529.8	0.07842
530.0	0.08365
530.2	0.08981
530.4	0.09558
530.6	0.1019
530.8	0.10868
531.0	0.11542
531.2	0.12238
531.4	0.12886
531.6	0.13481
531.8	0.14008
532.0	0.14425
532.2	0.14728
532.4	0.14893
532.6	0.14921
532.8	0.1482
533.0	0.14597
533.2	0.14248
533.4	0.13833
533.6	0.13301
533.8	0.12736
534.0	0.12125
534.2	0.11492
534.4	0.10853
534.6	0.10217
534.8	0.09598
535.0	0.09023
535.2	0.08494
535.4	0.07997
535.6	0.07547
535.8	0.07154
536.0	0.068
536.2	0.06499
536.4	0.06247
536.6	0.0604
536.8	0.05884
537.0	0.05774
537.2	0.05708
537.4	0.05692
537.6	0.05735
537.8	0.05825
538.0	0.05973
538.2	0.06199
538.4	0.06508
538.6	0.06912
538.8	0.07423
539.0	0.08078
539.2	0.08928
539.4	0.10031
539.6	0.11441
539.8	0.13309
540.0	0.16438
540.2	0.20845
540.4	0.26036
540.6	0.33153
540.8	0.42678
541.0	0.54653
541.2	0.67521
541.4	0.77293
541.6	0.79102
541.8	0.72554
542.0	0.61296
542.2	0.49733
542.4	0.40156
542.6	0.32791
542.8	0.27273
543.0	0.232
543.2	0.20166
543.4	0.17867
543.6	0.16165
543.8	0.14862
544.0	0.13898
544.2	0.13185
544.4	0.12689
544.6	0.12357
544.8	0.12187
545.0	0.12151
545.2	0.12221
545.4	0.12399
545.6	0.12692
545.8	0.13061
546.0	0.13521
546.2	0.14032
546.4	0.14588
546.6	0.15164
546.8	0.15753
547.0	0.16319
547.2	0.16858
547.4	0.17314
547.6	0.17696
547.8	0.17995
548.0	0.18238
548.2	0.18423
548.4	0.18585
548.6	0.18737
548.8	0.18941
549.0	0.19215
549.2	0.19585
549.4	0.20092
549.6	0.20787
