Wavelength [nm],#34-Bleu.csv
400.08,0.8109312075238887
400.29,0.8600363502716201
400.5,0.8255985899714708
400.71,0.9348302942013698
400.92,0.90006632541985
401.13,0.8681591101386636
401.34,0.805952066371174
401.54,0.8413086967030594
401.75,0.8576504724812637
401.96,0.7565828197282717
402.17,0.8236516167911572
402.38,0.8438085767557489
402.59,0.8638414828410976
402.8,0.8734670866500122
403.01,0.819278218979377
403.22,0.8441497130548958
403.43,0.8249413678036107
403.63,0.8222153318443658
403.84,0.795698270414492
404.05,0.8452242108344973
404.26,0.8234073488516537
404.47,0.8965241964316324
404.68,0.7797438267529381
404.89,0.8711814142241863
405.1,0.8450540740930126
405.31,0.7958856580037159
405.52,0.8763779343272404
405.72,0.7233545657075491
405.93,0.8510721284204492
406.14,0.8269046352980743
406.35,0.8202610932534861
406.56,0.8260287866036555
406.77,0.7903251301830466
406.98,0.7678390239217667
407.19,0.8409460524833878
407.39,0.9147508810333684
407.6,0.7252718699283959
407.81,0.8700916548300384
408.02,0.8081639781396558
408.23,0.7364813803647483
408.44,0.7968222585537517
408.65,0.767040791958839
408.86,0.8468904086420663
409.06,0.7998755044399182
409.27,0.812141006870143
409.48,0.8140019394206298
409.69,0.8744675770140894
409.9,0.8141687341723336
410.11,0.7682920255269389
410.32,0.8085424327871409
410.52,0.789894316649199
410.73,0.8394938885817824
410.94,0.7650289356298504
411.15,0.7841162621568651
411.36,0.7910381279256133
411.57,0.7838659136742321
411.78,0.8059387722986414
411.98,0.7929776222213948
412.19,0.7917306243765396
412.4,0.7855100360717936
412.61,0.7655100817917079
412.82,0.8281808597016372
413.03,0.7817686824864608
413.23,0.8392491253064046
413.44,0.8452536903650815
413.65,0.7462534274784519
413.86,0.7548025771952237
414.07,0.765005992253275
414.28,0.7694448015193421
414.48,0.7883589026135273
414.69,0.7365252458588657
414.9,0.8241941843080154
415.11,0.725542347094773
415.32,0.7038872506699256
415.53,0.7477961161077793
415.73,0.7613623678223749
415.94,0.7264790329364862
416.15,0.7762465024278941
416.36,0.7590288796011201
416.57,0.7105044887698542
416.78,0.7204661741734165
416.98,0.7869039753833575
417.19,0.7157125254299146
417.4,0.7726001651188361
417.61,0.7214313861627667
417.82,0.7860449323750778
418.02,0.7470239753375304
418.23,0.7625501439985983
418.44,0.7754055740830791
418.65,0.7539328102997385
418.86,0.7855100360717936
419.07,0.7383196199377637
419.27,0.8066641451422017
419.48,0.7787491833462018
419.69,0.7207871692665013
419.9,0.7425391301979237
420.11,0.6686798559098127
420.31,0.6839364918442349
420.52,0.7114110800600855
420.73,0.7356302920575702
420.94,0.6681046300570211
421.15,0.6938416306945004
421.35,0.6933186697945857
421.56,0.6763699568850149
421.77,0.6903682842722447
421.98,0.6370108842167489
422.19,0.7222426504726355
422.39,0.7452101427137433
422.6,0.7286404988711496
422.81,0.6752749708796785
423.02,0.7316631202747168
423.22,0.668696909268808
423.43,0.6963771206274249
423.64,0.6617624505403499
423.85,0.662922725176636
424.06,0.6931788190695555
424.26,0.6488662509322289
424.47,0.711976988695424
424.68,0.7536526106678385
424.89,0.6710262387068878
425.09,0.6767138197213576
425.3,0.6701893220131163
425.51,0.683716826487729
425.72,0.6853032687393875
425.93,0.6132595991094112
426.13,0.6668062298445735
426.34,0.7021387897103637
426.55,0.6589534982225722
426.76,0.6345129743617361
426.96,0.6874066374443911
427.17,0.6567656969925766
427.38,0.7041609024156645
427.59,0.6580094925959588
427.79,0.6429396888650472
428.0,0.6570607058387052
428.21,0.6579844343869888
428.42,0.5972771605371264
428.62,0.6081477198523723
428.83,0.6623295206232952
429.04,0.5836488645565939
429.25,0.6206343917106997
429.45,0.5933844269228702
429.66,0.6472326116715398
429.87,0.6344764089227738
430.08,0.6363552546279623
430.28,0.6446745399792785
430.49,0.5812928093265768
