Wavelength [nm],#20-Miroir inconnu.csv
400.08,0.6070070099246543
400.29,0.5801090508148603
400.5,0.6152095873973722
400.71,0.6431182777694056
400.92,0.6016728182227825
401.13,0.6299465932301126
401.34,0.6035877927296841
401.54,0.6168534298776568
401.75,0.6189633859346957
401.96,0.5794292051971806
402.17,0.616442266520767
402.38,0.535572405220634
402.59,0.5743393929595481
402.8,0.5902059056278803
403.01,0.5481955474484425
403.22,0.569361049230633
403.43,0.616800789365384
403.63,0.5986376431031893
403.84,0.5575631333817025
404.05,0.5797036759729882
404.26,0.5434752944387196
404.47,0.6228579264679234
404.68,0.4754113723201697
404.89,0.6121882575591293
405.1,0.6460409582491755
405.31,0.5419873301546796
405.52,0.5718772673017062
405.72,0.526462770130039
405.93,0.5897951607370266
406.14,0.586845370382995
406.35,0.5232457367149205
406.56,0.5380764333959129
406.77,0.5228955058057349
406.98,0.5020147063121897
407.19,0.5829530352517176
407.39,0.5685083055381263
407.6,0.5144890804769066
407.81,0.5832643184646775
408.02,0.5073840426302271
408.23,0.5021076771868516
408.44,0.4609330443709365
408.65,0.5389097540325207
408.86,0.510531542588023
409.06,0.532650442721456
409.27,0.48401396553665954
409.48,0.5856245738991247
409.69,0.5956407528819226
409.9,0.5270832529898489
410.11,0.5169868591830219
410.32,0.5219581497892762
410.52,0.4613865354984989
410.73,0.47294801711606577
410.94,0.46934764410186314
411.15,0.5202583603485893
411.36,0.5113166801223339
411.57,0.4788645126662957
411.78,0.49745994213752226
411.98,0.5134974122202778
412.19,0.4906455487469718
412.4,0.507999825010042
412.61,0.5182876793368116
412.82,0.5384466231200844
413.03,0.5298740234415777
413.23,0.5620121095304939
413.44,0.5066734189082295
413.65,0.4687825819162712
413.86,0.5425913547677716
414.07,0.5018127035769432
414.28,0.5239035151374416
414.48,0.5146659651556279
414.69,0.5157184680968625
414.9,0.5138209541357464
415.11,0.5002412887397361
415.32,0.474269995926254
415.53,0.4966258546905268
415.73,0.518444240000308
415.94,0.5292185585486733
416.15,0.5271624202249836
416.36,0.4719589361694109
416.57,0.49617623308718484
416.78,0.49560132535350804
416.98,0.5068349144586274
417.19,0.48466616800546364
417.4,0.5282775518279111
417.61,0.49607250755287013
417.82,0.5123083017373098
418.02,0.5229594963507717
418.23,0.5240855450228318
418.44,0.5316514341068946
418.65,0.49973116804740225
418.86,0.5953436763003942
419.07,0.5238443280436171
419.27,0.6155895283529158
419.48,0.5773118726614005
419.69,0.4890792993175216
419.9,0.5598554983163034
420.11,0.5025531357744512
420.31,0.542009884678748
420.52,0.46582382037611847
420.73,0.5027815877544303
420.94,0.5282068723775678
421.15,0.5143380629766927
421.35,0.5068488486511701
421.56,0.4907981593093863
421.77,0.4941752151474509
421.98,0.4997612682987037
