Wavelength [nm],#46.csv
400.08,0.041151123871149574
400.29,0.12242791620305811
400.5,0.04632879754240796
400.71,0.1279672700278518
400.92,0.08229921371467923
401.13,0.08610292255209995
401.34,0.0782723152630766
401.54,0.0735859050773195
401.75,0.0121805514608904
401.96,0.052025314608435985
402.17,0.07564055801364908
402.38,0.054558110627719134
402.59,0.07729470896200177
402.8,0.07688488215122509
403.01,0.06941769474455321
403.22,0.08540489503267785
403.43,0.11367952360410752
403.63,0.03295915351708038
403.84,0.04225431226156767
404.05,0.04199123602731907
404.26,0.04247540266230013
404.47,0.07007929161585445
404.68,0.05266162044274443
404.89,0.010130867196378889
405.1,0.07885357809423982
405.31,0.05783806773666425
405.52,0.08779928382521596
405.72,0.07037164872897125
405.93,0.08683699794643827
406.14,0.04355334978571011
406.35,0.08090956195576918
406.56,0.05935564618804087
406.77,0.10856791874229406
406.98,0.09108977865371691
407.19,0.06821939407590949
407.39,0.09242476423216826
407.6,0.06687169613610326
407.81,0.0494825041524589
408.02,0.0266098150049199
408.23,0.08436387463142955
408.44,0.06632193959672007
408.65,0.04281527473243171
408.86,0.03191337117778949
409.06,0.04882004463208179
409.27,0.038161955175132385
409.48,0.0523516533772597
409.69,0.07902655059375208
409.9,0.07322612298766357
410.11,0.05357091023689966
410.32,0.03789562136431172
410.52,0.03885355903611444
410.73,0.0768052740413161
410.94,0.06686132331471697
411.15,0.10448227265069997
411.36,0.05690752973835028
411.57,0.032333684571942786
411.78,0.05549390910668247
411.98,0.04424668925543934
412.19,0.0469412267665561
412.4,0.05580191136758633
412.61,0.017476632303717116
412.82,0.03197320956085821
413.03,0.0643912664047201
413.23,0.03665961324925106
413.44,0.040107477828512636
413.65,0.051029078374698104
413.86,0.04230064904502186
414.07,0.04435770182998535
414.28,0.059334790198916104
414.48,0.03487227317477594
414.69,0.0922388025339867
414.9,0.03198279260956638
415.11,0.058856033507822585
415.32,0.06802408368745029
415.53,0.04079834322958693
415.73,0.07220256906726003
415.94,0.07572282877050533
416.15,0.03532690197686386
416.36,0.04030632049837384
416.57,0.07666168523437704
416.78,0.03143076586287122
416.98,0.03092045948145908
417.19,0.017550706256030044
417.4,0.03963232524606135
417.61,0.04535475033307692
417.82,0.046641389847773225
418.02,0.013909781417720618
