Wavelength [nm],#43-inconnu.csv
400.08,0.02899670149768527
400.29,0.07763954828997655
400.5,0.04356052119274876
400.71,0.08452079949543159
400.92,0.10481947840879753
401.13,0.08160834676137257
401.34,0.05748146523141667
401.54,0.06500799679099839
401.75,0.0811985041972474
401.96,0.07907166797196134
402.17,0.033023032071512075
402.38,0.0918781852082039
402.59,0.08390434571728829
402.8,0.06538189002849892
403.01,0.05458232466077073
403.22,0.05942984720849382
403.43,0.06681343309483793
403.63,0.05450881026321787
403.84,0.0201324689306528
404.05,0.03665413984919828
404.26,0.07517774546754945
404.47,0.0809714814651563
404.68,0.02779398797936647
404.89,0.07521815264100055
405.1,0.07174596681410278
405.31,0.035435274102925754
405.52,0.05786973108338994
405.72,0.05791014267976175
405.93,0.02282414086399975
406.14,0.07387662535393066
406.35,0.013348128923391602
406.56,0.07975227120692265
406.77,0.06713516003594999
406.98,0.06671287616550242
407.19,0.023133235724743826
407.39,0.06357121627423142
407.6,0.046740755570511584
407.81,0.05719983158829821
408.02,0.043188236647171876
408.23,0.0916501037457683
408.44,0.05457756147843981
408.65,0.05729978507695986
408.86,0.03794130784542467
409.06,0.04175682714172596
409.27,0.04692870818785904
409.48,0.07589571167844579
409.69,0.036780062088878324
409.9,0.06488754054667854
410.11,0.028209838404027295
410.32,0.09569413222102391
410.52,0.05626563224198193
410.73,0.04607006121655103
410.94,0.04774884439465696
411.15,0.05765035068472892
411.36,0.040323254176891025
411.57,0.029042302546677286
411.78,0.008380778682075185
411.98,0.01779382987261757
412.19,0.04467742920543153
412.4,0.05580191136758633
412.61,0.06628448858236616
412.82,0.05331022698353071
413.03,0.050461607840026096
413.23,0.05995684146571415
413.44,0.07384915436544977
413.65,0.06134397969671226
413.86,0.0247080088437823
414.07,0.10075626368919934
414.28,0.070862550122949
414.48,0.07587081036482564
414.69,0.04423732910746425
414.9,0.05477243538445327
415.11,0.07012108642557444
415.32,0.03165936008551133
415.53,0.04700007807939563
415.73,0.03902872782283679
415.94,0.02894972659607546
416.15,0.008940876319775892
416.36,0.0340201173575335
416.57,0.043141152355096996
416.78,0.08919421326615046
416.98,0.04614160409693354
417.19,0.04467353951890038
417.4,0.059728124607652575
417.61,0.05265804732506431
417.82,0.044543791145568105
418.02,0.03765855107991164
418.23,0.05324480491748829
418.44,0.05372301118415767
418.65,0.04318501856220629
418.86,0.031478307210779426
419.07,0.07334359530902208
419.27,0.0468881541220825
419.48,0.029138207519154285
419.69,0.04214487234480333
419.9,0.04020102213490686
420.11,0.004172975368366668
420.31,0.06388833571700132
420.52,0.044407549867832664
420.73,0.06758837621843057
420.94,0.038082314438517555
421.15,0.03869916780564873
421.35,0.04871994797394615
421.56,0.05062544138845089
421.77,0.03856097879129446
421.98,0.03654381457530121
422.19,0.03765855107991164
422.39,0.026572083701224398
422.6,0.029743366467347643
422.81,0.031267231562839566
423.02,0.061319688395942436
423.22,0.04373880629860482
423.43,0.05828713286664798
423.64,0.04971355151812587
423.85,0.02373097797169313
424.06,0.04904491127769041
424.26,0.06923089129020489
424.47,0.04971355151812587
424.68,0.03379323118492401
424.89,0.057363645525505644
425.09,0.04815183132444264
425.3,0.053867133261090765
425.51,0.034552528666624685
425.72,0.05318122184307044
425.93,0.03882351832835599
426.13,0.051952659317759824
426.34,0.05297656375559753
426.55,0.04315086329964643
426.76,0.04621096682833803
426.96,0.05495029925048462
427.17,0.03395458075855521
427.38,0.0228344958578012
427.59,0.01911677851527479
427.79,0.02170587784504563
428.0,0.03048740898761771
428.21,0.04582613941297613
428.42,0.04787842375409054
428.62,0.04036176290376868
428.83,0.057371490573714934
429.04,0.01257851802983454
429.25,0.03394106726329322
429.45,0.0727277356713036
429.66,0.060573497602328004
429.87,0.03185643444410348
430.08,0.01799899157242674
430.28,0.05336272645994652
430.49,0.026745499541546813
430.7,0.04085179976765924
430.91,0.049416406378431726
431.11,0.04991264136285618
431.32,0.0069069888168372465
431.53,0.026736922543784073
431.74,0.02660902257726838
431.94,0.0360047471592072
432.15,0.04869118749056182
432.36,0.04666875031035584
432.56,0.04930986004616526
432.77,0.03394939475406707
432.98,0.03011987011097664
433.19,0.0782947470348905
433.39,0.03350862903248697
433.6,0.04006794855172745
433.81,0.056015671292475804
434.02,0.04545109564698526
434.22,0.032502548296608307
434.43,0.007846720739225276
434.64,0.025773431553694454
434.84,0.03405804551793593
435.05,0.02772885210689244
435.26,0.02476650812197741
435.47,0.06604936448131311
435.67,0.02844513241149298
435.88,0.03969400021106987
436.09,0.06645572074482525
436.29,0.04166201993016267
436.5,0.04238669284706634
436.71,0.047739797725813826
436.92,0.045069919606911264
437.12,0.033626216220937366
437.33,0.034536670383043096
437.54,0.02202228332068809
437.74,0.050886701323599924
437.95,0.0439640044876707
438.16,0.02688276096062088
438.36,0.018681918143990475
438.57,0.045389231264261684
438.78,0.03223874488744266
438.99,0.026834031202794918
439.19,0.02749222019529995
439.4,0.03130489988683811
439.61,0.03232696853527995
439.81,0.032721014349112794
440.02,0.03580009889658345
440.23,0.031629450715565
440.43,0.0305636978312763
440.64,0.009179503444310353
440.85,0.03439506368699509
441.05,0.015789893983868927
441.26,0.03517742029153844
441.47,0.02229228406670678
441.67,0.029809783897702117
441.88,0.023252720538488907
442.09,0.011110679016440719
442.29,0.019402598770932086
442.5,0.035805017660732325
442.71,0.02575658350292355
442.91,0.023845641861460584
443.12,0.053855768458954005
443.33,0.044817344888309095
443.53,0.01710526600147391
443.74,0.026025711931555267
443.95,0.034576280648215156
444.15,0.016335509477436866
444.36,0.008974562035572573
444.57,0.019750104405341064
444.77,0.025343147557491532
444.98,0.025101396097880143
445.19,0.021838360128983766
445.39,0.028366746708541973
445.6,0.05018798059994777
445.81,0.015752262019688747
446.01,0.036284373053802686
446.22,0.02136463454057009
446.43,0.030016108709185408
446.63,0.026164294884701757
446.84,0.02311318002346979
447.05,0.031341225801305814
447.25,0.02560865840301051
447.46,0.04230611088268308
447.67,0.006788601865174801
447.87,0.03241425516566741
448.08,0.031151831912133623
448.28,0.04033305203938118
448.49,0.02776917382259452
448.7,0.02387173267488282
448.9,0.02155687837338588
449.11,0.031021055698393783
449.32,0.026911950055182255
449.52,0.026434772717827144
449.73,0.013540013073116093
449.93,0.023223979756769132
450.14,0.03468108380162641
450.35,0.019044944676275148
450.55,0.03633164788405339
450.76,0.0173238342252427
450.97,0.025019823318848014
451.17,0.03469497219320782
451.38,0.031189304641013042
451.58,0.02618308889712503
451.79,0.02370500438981565
452.0,0.020958242916683516
452.2,0.04166294339232988
452.41,0.024255206442942507
452.62,0.03425217145034344
452.82,0.029761248603869046
453.03,0.035284626761510264
453.23,0.021434613002975042
453.44,0.014468412029970741
453.65,0.012501575955028769
453.85,0.014225988496256182
454.06,0.030074322835306
454.26,0.029748027304546575
454.47,0.028407843814076187
454.68,0.020119088315786852
454.88,0.0318654118907692
455.09,0.02958027382703463
455.29,0.034784043162256334
455.5,0.024452473922597785
455.71,0.004765464230059909
455.91,0.014523733000652324
456.12,0.02066710596746986
456.32,0.034165822373921705
456.53,0.027482719243779635
456.73,0.02437582771976943
456.94,0.009553399503260455
457.15,0.028767917018912032
457.35,0.023449458384466437
457.56,0.030950878841714907
457.76,0.017003663873838497
457.97,0.018612788283434288
458.18,0.026819317557119998
458.38,0.03436666435337182
458.59,0.012190074129555618
458.79,0.01811360530241451
459.0,0.0038070484468452287
459.2,0.02019566797754287
459.41,0.0180195920033628
459.62,0.02893313336401709
459.82,0.013549500831208759
460.03,0.015506911866412263
460.23,0.024958506873766967
460.44,0.01707423074192651
460.64,0.012292350479817611
460.85,0.0052657216218224626
461.06,0.019944492586905605
461.26,0.029175850431809217
461.47,0.018752991799182567
461.67,0.03446916847155781
461.88,0.029554010312491257
462.08,0.02108747506931735
462.29,0.017066015939357772
462.49,0.028826284902678204
462.7,0.0350619098054901
462.91,0.031080995698421633
463.11,0.01245748479997987
463.32,0.01552710433124491
463.52,0.01636602826404528
463.73,0.009858085855453683
463.93,0.035242658728652045
464.14,0.018200877132132497
464.34,0.007281280497951454
464.55,0.01640234279746214
464.75,0.019238649196973802
464.96,0.019742895056122978
465.16,0.010720597669459719
465.37,0.011106344301036191
465.58,0.028503307382111317
465.78,0.0134693793923003
465.99,0.022117321335871274
466.19,0.027943715888680085
466.4,0.018227788806537696
466.6,0.02781719419718863
466.81,0.017158759344318174
467.01,0.01636989558593746
467.22,0.012424557322671012
467.42,0.014042206150963504
467.63,0.02158030781975831
467.83,0.009309474563084702
468.04,0.016073834563865075
468.24,0.008315064682338455
468.45,0.017451000240257687
468.65,0.021575494353002284
468.86,0.013399466696852033
469.06,0.00533219936797136
469.27,0.012621094544937945
469.47,0.019751394483544786
469.68,0.02201531724633499
469.88,0.015557694848707943
470.09,0.01648232461538647
470.29,0.013886362842506808
470.5,0.01610622578836839
470.7,0.019771715544160295
470.91,0.012255625740461224
471.11,0.028599982154010897
471.32,0.008003598850266818
471.52,0.01811560105085681
471.73,0.01817303682569426
471.93,0.00828398103881281
472.14,0.014635931616917229
472.34,0.00292008850097319
472.55,0.017497049274606387
472.75,0.016429406065524513
472.96,0.015878969603686056
473.16,0.02341812798179338
473.37,0.011711692467168036
473.57,0.00841231056358762
473.78,0.014648569021372035
473.98,0.017796645213867375
474.19,0.021104410195319296
474.39,0.017702442748566073
474.6,0.0035214808299196985
474.8,0.009951328206127026
475.01,0.020181223712049123
475.21,0.011141512358057382
475.42,0.014739993828728738
475.62,0.01745545562118653
475.83,0.015760348895402884
476.03,0.022023688383988545
476.24,0.014295500450317584
476.44,0.007337052998273045
476.64,0.01906900980662187
476.85,0.012764188552104464
477.05,0.014158613630111979
477.26,0.012161980430719142
477.46,0.005146793496102609
477.67,0.010392562858824674
477.87,0.012912906267013097
478.08,0.009715881074368684
478.28,0.015430088015775514
478.49,0.013129920407862239
478.69,0.015142809062143336
478.9,0.0015135695421683595
479.1,0.014971495189521575
479.3,0.010001533223946426
479.51,0.01077396826533231
479.71,0.015482570619148293
479.92,0.011728026145866864
480.12,0.005153393262394097
480.33,0.005068539275702744
480.53,0.008553967577303642
480.74,0.009711101515431917
480.94,0.011021842530223322
481.14,0.006111709541293622
481.35,0.009428681174500485
481.55,0.015665024397512717
481.76,-0.003673493208234692
481.96,0.010932857713894345
482.17,0.014412397258747758
482.37,0.013080185353898897
482.57,0.007662872893352378
482.78,0.013657793888703047
482.98,0.012170586975197274
483.19,0.00806939696094142
483.39,0.015303997449941618
483.6,0.014766686355581815
483.8,0.011200071003553884
484.0,0.009206832682795082
484.21,0.01502970338166536
484.41,0.008742377999156515
484.62,0.007299396192564689
484.82,0.006493628846367239
485.02,0.003663855689036767
485.23,0.005245131066464204
485.43,0.01357265089410269
485.64,0.0029658407686223636
485.84,0.014565597254744883
486.05,0.008412475105408285
486.25,0.013455200042307205
486.45,0.012771945539357076
486.66,0.007338743926458744
486.86,0.006563310554876299
487.07,0.008196748483870055
487.27,0.009125762145051881
487.47,0.008613005444880839
487.68,0.0024724775942033842
487.88,0.0072418000951670145
488.09,0.016161801665765432
488.29,0.010481953533277655
488.49,0.007437551603757191
488.7,0.011866164838052055
488.9,0.009393323378664366
489.1,0.006995378702249837
489.31,0.008569162842074946
489.51,0.00619858477905167
489.72,0.011220992827340438
489.92,0.0009529304962192974
490.12,0.005733448929622826
490.33,0.013040448947956924
490.53,0.009183773046787701
490.74,0.004070292231387231
490.94,0.005360936426732752
491.14,0.010251058866859009
491.35,0.011556316789836707
491.55,0.009223857159651372
491.75,0.010679150388704135
491.96,0.009225419341396571
492.16,0.0031241121224676355
492.36,0.007349976250180183
492.57,0.009886128584747939
492.77,0.004749580398724731
492.98,0.00919696388666402
493.18,0.0036956384131057686
493.38,0.0031912340990998224
493.59,0.012205453455323024
493.79,0.008179476282666756
493.99,0.010673210854124851
494.2,0.011233171036996243
494.4,0.011470912854202719
494.6,0.00691548026185932
494.81,0.010679015235179326
495.01,0.0036376086929938685
495.22,0.012395101663855391
495.42,0.008083840097713589
495.62,0.008455638763889611
495.83,0.0016667363287255284
496.03,0.013237904047016386
496.23,0.0074459159740484756
496.44,0.006613733090636661
496.64,0.006473333224780031
496.84,0.01353362560025882
497.05,0.0038613544993606093
