Wavelength [nm],#38-46832.csv
400.08,0.03845014112149084
400.29,0.08743700377096313
400.5,0.029719139444452796
400.71,0.09538241712853664
400.92,0.07807666408453205
401.13,0.08160834676137257
401.34,0.06579780524408065
401.54,0.12362370341419268
401.75,0.06106826798247661
401.96,0.09259484465372403
402.17,0.05359701011254373
402.38,0.11952268489745188
402.59,0.0561438713450849
402.8,0.12721047268815208
403.01,0.07885838479786934
403.22,0.08813911059311828
403.43,0.04889404554717604
403.63,0.0679773457295538
403.84,0.02143375383247132
404.05,0.07534808714057398
404.26,0.04247540266230013
404.47,0.05374100684190168
404.68,0.05621413936608414
404.89,0.08877800377529674
405.1,0.05326617748574648
405.31,0.08273006066304037
405.52,0.07218386500339369
405.72,0.037971733001026554
405.93,0.06201568601651313
406.14,0.05113416867776525
406.35,0.06561263372202332
406.56,0.07135366090503015
406.77,0.039513320898387265
406.98,0.06555207128511126
407.19,0.034404775312535246
407.39,0.06488274118141037
407.6,0.08818680967614151
407.81,0.02890296432355409
408.02,0.05266162044274443
408.23,0.06371955880746974
408.44,0.06867081522037612
408.65,0.04281527473243171
408.86,0.01865191050899208
409.06,0.04175682714172596
409.27,0.016871269287081925
409.48,0.04057962422666665
409.69,0.060920912663091895
409.9,0.03629811503472986
410.11,0.08123753405457859
410.32,0.09208172529247939
410.52,0.028406315112593943
410.73,0.036963331490694716
410.94,0.06348853291705932
411.15,0.022240848710458134
411.36,0.039217635806127076
411.57,0.06963601419161847
411.78,0.06558957991195546
411.98,0.06839929999627661
412.19,0.042413631644306955
412.4,0.04916820114300263
412.61,0.058857206105180436
412.82,0.02523520405896163
413.03,0.036531949275332105
413.23,0.04015419748172052
413.44,0.044761502178435005
413.65,0.05721801916790659
413.86,0.04779834910790921
414.07,0.06524605807413868
414.28,0.05357091023689966
414.48,0.0891676332372742
414.69,0.03783713265059459
414.9,0.08515862575096912
415.11,0.025060874754567027
415.32,0.07737501261366315
415.53,0.041831965704555045
415.73,0.0636415777783766
415.94,0.032000146303103494
416.15,0.040604107108281454
416.36,0.0801189403903627
416.57,0.012667940646660592
416.78,0.01183245335104433
416.98,0.06136274871240801
417.19,0.050700835799538234
417.4,0.06395881921009283
417.61,0.03387814077423959
417.82,0.028811800879029712
418.02,0.04798410310695121
418.23,0.060348005738043047
418.44,0.0462720112722219
418.65,0.07877324847753336
418.86,0.06354123996293398
419.07,0.03947907553626209
419.27,0.08193734418402253
419.48,0.03464195917720897
419.69,0.03148049339317665
419.9,0.04966649528939496
420.11,0.04243811877033196
420.31,0.06086862067092713
420.52,0.032940440466246654
420.73,0.07165560249446795
420.94,0.026504568975390386
421.15,0.06785710773950583
421.35,0.030735548980418765
421.56,0.05510785195791052
421.77,0.04785922851284868
421.98,0.057311848562900156
422.19,0.044886437498839346
422.39,0.060170746200510994
422.6,0.05707453924291531
422.81,0.05031534779615452
423.02,0.06929996734688022
423.22,0.04656241218551839
423.43,0.028406786007759637
423.64,0.07529454265372966
423.85,0.05152192350234282
424.06,0.054762076139748386
424.26,0.06129068088414976
424.47,0.05445077209879324
424.68,0.06408184462740288
424.89,0.05284477517807278
425.09,0.0373456080282206
425.3,0.06123720427755744
425.51,0.04838415433042662
425.72,0.05681933434319313
425.93,0.05104556260029334
426.13,0.054618209479003234
426.34,0.06786962427007935
426.55,0.0553622469950019
426.76,0.05149511659660208
426.96,0.06494601723918142
427.17,0.05804119851346211
427.38,0.03538524545228816
427.59,0.059951465966503595
427.79,0.05408843589547095
428.0,0.08119773068064125
428.21,0.07721887248856653
428.42,0.07840057579759253
428.62,0.08754397622766671
428.83,0.057371490573714934
429.04,0.09949942313284206
429.25,0.06570190888751372
429.45,0.06328985002928124
429.66,0.05053853907219675
429.87,0.09921336154678645
430.08,0.08207736080097965
430.28,0.07489760282483873
430.49,0.08667496385549098
430.7,0.06675284821275199
430.91,0.08431545439600678
431.11,0.11991009276289732
431.32,0.09985658099654214
431.53,0.08519857948066337
431.74,0.08373109421032321
431.94,0.10047335179450806
432.15,0.10413799587995455
432.36,0.12381225007229467
432.56,0.1143208511130003
432.77,0.09955024426147077
432.98,0.07972034882284644
433.19,0.11450178515307584
433.39,0.11871766418717383
433.6,0.12024618120142991
433.81,0.08309410621954423
434.02,0.11747879498459841
434.22,0.10652283246866069
434.43,0.12399759557715585
434.64,0.10652283246866069
434.84,0.10514785552154762
435.05,0.10921978646787545
435.26,0.1631342342078577
435.47,0.1444385065512269
435.67,0.1371350605207095
435.88,0.1355814845417082
436.09,0.11676218690946132
436.29,0.10573494023677293
436.5,0.13010146208666132
436.71,0.14178104631743252
436.92,0.1219676566810253
437.12,0.15919237190220825
437.33,0.14925223943716123
437.54,0.14409994559688513
437.74,0.16568226228662022
437.95,0.16319587008768743
438.16,0.15109636075609112
438.36,0.1635334437401998
438.57,0.1389383552390801
438.78,0.16543599290293443
438.99,0.1568914512348682
