Wavelength [nm],#39-Inconnu.csv
400.08,0.06816095136773691
400.29,0.10703191473293631
400.5,0.06155431746553352
400.71,0.11710565239474674
400.92,0.09637437914850318
401.13,0.11157218536622175
401.34,0.045006955212420714
401.54,0.12934230893840676
401.75,0.09557724435065511
401.96,0.07366239729925628
402.17,0.038901311511806834
402.38,0.08220261031696711
402.59,0.029705324323938822
402.8,0.07976063018190663
403.01,0.05593099466838732
403.22,0.05806273942827361
403.43,0.05578611768089215
403.63,0.08144588119588972
403.84,0.0669787253961196
404.05,0.06067107265074182
404.26,0.0634049020576597
404.47,0.060548625497715336
404.68,0.06687169613610326
404.89,0.0562343610529859
405.1,0.08169662260629464
405.31,0.04414747162715739
405.52,0.017529899127015754
405.72,0.06787934751912936
405.93,0.07377314956226715
406.14,0.05745151775447786
406.35,0.07581058587785389
406.56,0.04135862411255696
406.77,0.07466838889164891
406.98,0.07019529080667593
407.19,0.05319067462552094
407.39,0.08849018951063142
407.6,0.02542564203047333
407.81,0.06491715902413751
408.02,0.045556582596065015
408.23,0.023645298678606576
408.44,0.02756549180639524
408.65,0.02712372185919289
408.86,0.06928657851712762
409.06,0.06176927669773414
409.27,0.09451965311408947
409.48,0.08766774082903885
409.69,0.07902655059375208
409.9,0.048210375664708476
410.11,0.06855699813814241
410.32,0.09087758964963122
410.52,0.07716012008902293
410.73,0.01533484839178597
410.94,0.03313341933814048
411.15,0.06221931868140903
411.36,0.04695696440147473
411.57,0.10584121646953897
411.78,0.06334609751078368
411.98,0.06149855407032311
412.19,0.02203945359418583
412.4,0.06575247670446188
412.61,0.03339223761197224
412.82,0.07240124257223768
413.03,0.05858724200276426
413.23,0.030835306195135283
413.44,0.05174253870331855
413.65,0.03143076586287122
413.86,0.022508928818627358
414.07,0.04435770182998535
414.28,0.02590428641922072
414.48,0.058141713201560905
414.69,0.03890383206007287
414.9,0.047175887792824306
415.11,0.03632592767231888
415.32,0.02230843115929846
415.53,0.019092271255256456
415.73,0.03795860391172637
415.94,0.07368921563248663
416.15,0.028994255819162748
416.36,0.07068963567910218
416.57,0.057361984485700644
416.78,0.03349374612727405
416.98,0.05730377681494815
417.19,0.04768718765921931
417.4,0.06290114555948277
417.61,0.03596479705766456
417.82,0.021470205421311794
418.02,0.044886437498839346
418.23,0.04512686112256858
418.44,0.01859686874217477
