Wavelength [nm],#26-Dichroic-650.csv
400.08,0.3328572608342928
400.29,0.41355230763808826
400.5,0.3632964395783856
400.71,0.4336442234166653
400.92,0.39195285325880586
401.13,0.4052178036937437
401.34,0.3055856089425585
401.54,0.366664438193291
401.75,0.28106299232961457
401.96,0.27380541218934396
402.17,0.2637455001030814
402.38,0.2176606587942822
402.59,0.23196020903570636
402.8,0.24655401596143606
403.01,0.1746139553386472
403.22,0.2193814574942587
403.43,0.19776280363544413
403.63,0.1218514875948975
403.84,0.18929950616706068
404.05,0.23946379461778813
404.26,0.20467902297633672
404.47,0.26477718517212506
404.68,0.23739260445640928
404.89,0.3003116814703171
405.1,0.36884411832383096
405.31,0.30551339735410654
405.52,0.3831909565380205
405.72,0.29966336003442606
405.93,0.37685443207503727
406.14,0.3682650923287385
406.35,0.3626279902605889
406.56,0.30411514641462206
406.77,0.2805766442807528
406.98,0.2628889009516095
407.19,0.2598355670683636
407.39,0.22488877985724198
407.6,0.21015662604413818
407.81,0.22054992898023018
408.02,0.21726166389081758
408.23,0.19001419678934153
408.44,0.13209045705908948
408.65,0.1574843149599462
408.86,0.2260129318756424
409.06,0.18184397403378322
409.27,0.1972159026917446
409.48,0.2501217431072229
409.69,0.2600829299003539
409.9,0.24476267605935567
410.11,0.3348482523833022
410.32,0.35097088850483604
410.52,0.3766477792299438
410.73,0.39098744958335896
410.94,0.39402199188750897
411.15,0.4585772923934079
411.36,0.4892043127070549
411.57,0.5030013141849093
411.78,0.5041903893410375
411.98,0.48589442851646375
412.19,0.5200749170415911
412.4,0.5610695068067116
412.61,0.5055551950902075
412.82,0.5047565956106015
413.03,0.560054950331748
413.23,0.5445391883681465
413.44,0.5357610710952443
413.65,0.48528642403149386
413.86,0.5359941146923068
414.07,0.48405760076941284
414.28,0.5688617788411698
414.48,0.5589887080637896
414.69,0.5338523580579931
414.9,0.6158317360804781
415.11,0.5688557019660427
415.32,0.5418044826155692
415.53,0.639265756236127
415.73,0.6147553920002464
415.94,0.6441177008467293
416.15,0.686534015193795
416.36,0.6762605382467222
416.57,0.6962836566392505
416.78,0.6657971971667415
416.98,0.6631053325108318
417.19,0.661466858904174
417.4,0.6774095365639303
417.61,0.6150119157080933
417.82,0.6497010167317451
418.02,0.5807825877021933
418.23,0.5819258945616347
418.44,0.6008392904320126
418.65,0.5393866242387667
418.86,0.5876043477050464
419.07,0.5628398356607347
419.27,0.5839321953937442
419.48,0.6235433865890598
419.69,0.48326236534390704
419.9,0.49170409160398915
420.11,0.4876203968858794
420.31,0.47859586871119
420.52,0.46391263547585415
420.73,0.49973116804740225
420.94,0.492508823866259
421.15,0.48426893741990257
421.35,0.47655933455680816
421.56,0.4576283210953851
421.77,0.4653506410106328
421.98,0.41127138435154303
422.19,0.466168960202054
422.39,0.3877577055685553
422.6,0.4299498249667314
422.81,0.3115466561387596
423.02,0.34461959115423396
423.22,0.26868607528938576
423.43,0.2539552106845297
423.64,0.24867681590615534
423.85,0.17254700887775276
424.06,0.2005497801222267
424.26,0.1389282937433554
424.47,0.18046083954454525
424.68,0.15696692585100475
424.89,0.14051085991827025
425.09,0.11388968970979334
425.3,0.11190644251576581
425.51,0.11200963238391555
425.72,0.12685299997055488
425.93,0.13223485669244855
426.13,0.1310306474346477
426.34,0.12831792871121142
426.55,0.1312472742447109
426.76,0.13780289614491498
426.96,0.09765927611128003
427.17,0.1509467241395316
427.38,0.11337918936088567
