Wavelength [nm],#28-IR750-cutoff.csv
400.08,0.3112493988370229
400.29,0.28198647689341116
400.5,0.2719433200396322
400.71,0.3529579209993135
400.92,0.34550480732718686
401.13,0.35278108613525766
401.34,0.39706534908186214
401.54,0.4267097961975388
401.75,0.42053677181766935
401.96,0.4509590267204351
402.17,0.5297376447764193
402.38,0.42775885643256684
402.59,0.5161745895130267
402.8,0.5269394489528864
403.01,0.43355859680103237
403.22,0.4818661512965395
403.43,0.5051492207991829
403.63,0.4868487987326012
403.84,0.41572307908348355
404.05,0.43026498298560617
404.26,0.4532168282962315
404.47,0.38322974978328267
404.68,0.3368631343099211
404.89,0.35319510089407224
405.1,0.4598215427095851
405.31,0.39885837082801695
405.52,0.4027102300652983
405.72,0.44920143262494006
405.93,0.5061865310783314
406.14,0.4428098114339474
406.35,0.5436416410265816
406.56,0.4972831833581494
406.77,0.5417285779449822
406.98,0.5368388527239247
407.19,0.5804482486766528
407.39,0.6629380988550104
407.6,0.6033020535603992
407.81,0.6089887432508085
408.02,0.6033020535603992
408.23,0.6757628044119253
408.44,0.623005462403204
408.65,0.6125393482838721
408.86,0.5816611952661183
409.06,0.5491312835322862
409.27,0.6004865412771708
409.48,0.5703209360033538
409.69,0.526839328745414
409.9,0.4984938274779002
410.11,0.505459099258989
410.32,0.5038961151465537
410.52,0.5031755111925809
410.73,0.44904285158569296
410.94,0.4738446979654067
411.15,0.44601263040253764
411.36,0.442768341134969
411.57,0.39438570735114786
411.78,0.4839990477304916
411.98,0.5261487797511926
412.19,0.5279982085055271
412.4,0.5157391536053897
412.61,0.5586072127843913
412.82,0.6148106854749122
413.03,0.6482761212414767
413.23,0.6155957344283589
413.44,0.678872319855357
413.65,0.5657426543432043
413.86,0.7075223566543924
414.07,0.6166986629197865
414.28,0.7221809858308074
414.48,0.6986053482244995
414.69,0.625588507273125
414.9,0.6310248312637361
415.11,0.5893376163619553
415.32,0.526219601071881
415.53,0.5193655491398254
415.73,0.48527039875588474
415.94,0.4407563870448602
416.15,0.436394491964601
416.36,0.46148193093467704
416.57,0.3844411234895847
416.78,0.38935784173676224
416.98,0.3901394724066565
417.19,0.3651247917728129
417.4,0.36856883058579143
417.61,0.2926235199189357
417.82,0.3728179880406693
418.02,0.36807621594517803
418.23,0.36071192615007247
418.44,0.30599257963112575
418.65,0.32890766445383224
418.86,0.3885930409675354
419.07,0.36067891459304624
419.27,0.42338429252937376
419.48,0.4011918196036507
419.69,0.4144286466561348
419.9,0.44248363120065104
420.11,0.44562206876177113
420.31,0.4594710067527201
420.52,0.4772909297777045
420.73,0.5434538505148041
420.94,0.5320661208652768
421.15,0.4833577517969695
421.35,0.5731071607325868
421.56,0.5266574438650633
421.77,0.5620524381147967
421.98,0.5385884622755192
422.19,0.5766523668913774
422.39,0.5492179448012381
422.6,0.5666056888445697
422.81,0.487514968008431
423.02,0.4952473563531848
423.22,0.4795153148455989
423.43,0.4187790594867848
423.64,0.4116372038811128
423.85,0.3903921625534907
424.06,0.3768290300356809
424.26,0.3497849923041526
424.47,0.3614226657260387
424.68,0.4164393810082404
424.89,0.3601279588035072
425.09,0.342621416146493
425.3,0.355118786059166
425.51,0.331471426249573
425.72,0.35059691872810017
425.93,0.32080353974519615
426.13,0.39936269699981786
426.34,0.4051536418039322
426.55,0.4121090992378867
426.76,0.4116979924666018
426.96,0.41388744520823323
427.17,0.45547039146942603
427.38,0.494384087764954
427.59,0.4785070123415988
427.79,0.5415311518123994
428.0,0.5960364204115074
428.21,0.5819809753618752
428.42,0.5981249980938904
428.62,0.6361371684343456
428.83,0.6288138402881385
429.04,0.6870847416291729
429.25,0.7088589517779788
429.45,0.7034930927464643
429.66,0.6742498077142008
429.87,0.7314703839506372
430.08,0.7156522365482965
430.28,0.7092791690739552
430.49,0.6260401426809884
430.7,0.6819027487837047
430.91,0.6518404495389536
431.11,0.6355010762461272
431.32,0.5784654459920401
431.53,0.590768401441845
431.74,0.519093910440633
431.94,0.5722318468904743
432.15,0.4582054723093624
432.36,0.5241464119947773
432.56,0.4416703120142403
432.77,0.4525452916108335
432.98,0.4337914583968093
433.19,0.39864832342839995
433.39,0.3577763461489342
433.6,0.34606927682949096
433.81,0.35989588547402146
434.02,0.30518734477352966
434.22,0.29419042163214704
434.43,0.2821126574533065
434.64,0.2306376523935162
434.84,0.21581343604263387
435.05,0.19562827721271087
435.26,0.21344977096635961
435.47,0.16310258799644445
435.67,0.1763225856213114
435.88,0.1212699197162398
436.09,0.14047809238707545
436.29,0.1326042293976095
436.5,0.09530552057012777
436.71,0.12326898950805876
436.92,0.09959740589582848
437.12,0.10646846122940942
437.33,0.10293850037804521
437.54,0.08034827751931557
437.74,0.07001929481743664
437.95,0.10794207871206993
438.16,0.05079553953087183
438.36,0.0703660305632952
438.57,0.08089692795543364
438.78,0.07108794222529442
438.99,0.061127778773441103
439.19,0.0639529754027018
439.4,0.06633420809677164
439.61,0.07386676791553887
439.81,0.05022539277577094
440.02,0.06096997583301802
440.23,0.08252763322512426
440.43,0.07199822092261253
440.64,0.09227648490960827
440.85,0.0624610895175461
441.05,0.0803723753082357
441.26,0.06875892908995879
441.47,0.07690538536543297
441.67,0.06057957068670703
441.88,0.06788216542250051
442.09,0.0696173140842783
442.29,0.06206495323998894
442.5,0.07742985412406943
442.71,0.08448525562933808
442.91,0.05915196157980026
443.12,0.05576845895398307
443.33,0.09197865817963737
443.53,0.07418044921043478
443.74,0.053638385046897774
443.95,0.062381518379043516
444.15,0.06817228313107257
444.36,0.047424860629937095
444.57,0.046735216768062145
444.77,0.056804403005240485
444.98,0.059442247115958725
445.19,0.04274466460809227
445.39,0.055120919566130806
445.6,0.03882054951670247
445.81,0.03598468226837712
446.01,0.02449390498427419
446.22,0.023223979756769132
446.43,0.04250517168717873
446.63,0.021349285217877045
446.84,0.049548001720251665
447.05,0.04527876212071148
447.25,0.026211623342117556
447.46,0.04786691410981588
447.67,0.046983841215278696
447.87,0.028248756879172745
448.08,0.022995563509710215
448.28,0.037830661040787646
448.49,0.03570824463936982
448.7,0.04262016903614591
448.9,0.02155687837338588
449.11,0.03042985439009506
449.32,0.06261605139022221
449.52,0.021569987072444643
449.73,0.019308784926489683
449.93,0.03685917800889545
450.14,0.026782507047227098
450.35,0.03296349265434157
450.55,0.031679054753741026
450.76,0.03557788064830321
450.97,0.027322019721873165
451.17,0.0497872959550401
451.38,0.028898972027871228
451.58,0.048556149732620346
451.79,0.01741739024946903
452.0,0.03336613482902488
452.2,0.023445706717184073
452.41,0.03679971748364252
452.62,0.05237764389233113
452.82,0.040747265455195913
453.03,0.024011814897099866
453.23,0.03989811087084344
453.44,0.017308560698472267
453.65,0.036980410128537915
453.85,0.036007963821268085
454.06,0.018688945965290027
454.26,0.02362831876116929
454.47,0.02527872253811508
454.68,0.02709906193326344
454.88,0.025744434516000614
455.09,0.046957683585028415
455.29,0.03370498675438854
455.5,0.04918318251247799
455.71,0.021369478224199455
455.91,0.0499458949582469
456.12,0.03946943799771591
456.32,0.05494821124696302
456.53,0.024760106475705108
456.73,0.042347851945984206
456.94,0.03593082855043211
457.15,0.04566809464555413
457.35,0.046123148065604636
457.56,0.035114355194704315
457.76,0.037324001571536924
457.97,0.058419445856961134
458.18,0.06004239757749143
458.38,0.04920734061843271
458.59,0.0634984061339206
458.79,0.05685267398547555
459.0,0.07718392058170676
459.2,0.07327651896683106
459.41,0.10361827595213921
459.62,0.09850355517210604
459.82,0.10430294675473756
460.03,0.10538533967719628
460.23,0.1317182192320434
460.44,0.13981961328884557
460.64,0.14974484895559287
460.85,0.17373248681092776
461.06,0.17256454045909328
461.26,0.19189921641056848
461.47,0.20886045985597282
461.67,0.21348856276710484
461.88,0.22666868937041698
462.08,0.2587817947997606
462.29,0.25474070420463296
462.49,0.2703301300379369
462.7,0.2674678692143557
462.91,0.2869591648892843
463.11,0.2675471110124795
463.32,0.2969926765477898
463.52,0.30804581002881287
463.73,0.29237974855332155
463.93,0.318969981850904
464.14,0.30232694368010116
464.34,0.3102647016054197
464.55,0.3046173476821243
464.75,0.303425264808049
464.96,0.31461022106596975
465.16,0.2885773765488856
465.37,0.3017909471005272
465.58,0.2976988194991371
465.78,0.284974149882872
465.99,0.2992033223741132
466.19,0.2631497187874921
466.4,0.2790661909014847
466.6,0.27279263585999486
466.81,0.2571456968216895
467.01,0.2588085067444192
467.22,0.24200428053320855
467.42,0.2490082026326609
467.63,0.23416791351414504
467.83,0.24669538321410275
468.04,0.25013067887843604
468.24,0.24106499912816276
468.45,0.20494223449392832
468.65,0.21947074381849105
468.86,0.22116130426449573
469.06,0.23039043700231465
469.27,0.22682004989050455
469.47,0.24158026525606627
469.68,0.2245100507913501
469.88,0.2492490451831298
470.09,0.24736909597092074
470.29,0.2583220012550603
470.5,0.2623288825566288
470.7,0.27741677496750977
470.91,0.29386089270650856
471.11,0.31237976264834477
471.32,0.3237959280094312
471.52,0.351609563840004
471.73,0.37901542500086643
471.93,0.41667445271579273
472.14,0.4434974519926582
472.34,0.49930186262386533
472.55,0.5181986476259896
472.75,0.5330980437256768
472.96,0.6165321502248846
473.16,0.6190442619032145
473.37,0.6189995424153947
473.57,0.6356890282851322
473.78,0.6241442995236162
473.98,0.6119413522626299
474.19,0.582720571811481
474.39,0.5726386470357291
474.6,0.5456690458076908
474.8,0.5199849029642061
475.01,0.49258376340361737
475.21,0.438123559778061
475.42,0.3854640280101738
475.62,0.35616122167737163
475.83,0.32263959390862945
476.03,0.3009985360057247
476.24,0.28101874673532007
476.44,0.26297610892395146
476.64,0.24088360871569317
476.85,0.20321812052698107
477.05,0.19869047028530973
477.26,0.1677270228825744
477.46,0.1740983615452861
477.67,0.1632567149621716
477.87,0.15392534822886836
478.08,0.1472753477760382
478.28,0.13382158113585388
478.49,0.1435175820807722
478.69,0.13294753335350398
478.9,0.1327271763556712
479.1,0.12371147141500782
479.3,0.1296302727867997
479.51,0.12877027097284477
479.71,0.13351612554262202
479.92,0.1476648012939195
480.12,0.1402305374229404
480.33,0.1381471069082884
480.53,0.15485840564281927
480.74,0.1498743651430099
480.94,0.16162991517036052
481.14,0.18342309786070862
481.35,0.19591005899014807
481.55,0.20810459433271286
481.76,0.2392439399353881
481.96,0.2546254847554775
482.17,0.28120886796178723
482.37,0.2945862339666728
482.57,0.3453054228108588
482.78,0.3924335379881444
482.98,0.4231010741004933
483.19,0.46089839237139374
483.39,0.5252937928398503
483.6,0.5433598350468956
483.8,0.5943226741713479
484.0,0.6172340733339652
484.21,0.6473145177292619
484.41,0.6563077143437935
484.62,0.653955777422771
484.82,0.6507886217386176
485.02,0.6399860438135779
485.23,0.6271101230274098
485.43,0.6059370245302842
485.64,0.5556383039610973
485.84,0.5263893411012817
486.05,0.4846608940682479
486.25,0.47398279003610533
486.45,0.419345430015558
486.66,0.40038723528054493
486.86,0.3607145162911338
487.07,0.3285375868289795
487.27,0.3007587080765196
487.47,0.29033075300961836
487.68,0.27282354300427486
487.88,0.2661184994235202
488.09,0.23985593747768152
488.29,0.23043672469498577
488.49,0.2274148244662461
488.7,0.22265113371063927
488.9,0.20140132081564252
489.1,0.21116124051467322
489.31,0.20179917443508708
489.51,0.20523846730703832
489.72,0.20869393239677736
489.92,0.20908773664284028
490.12,0.20225603307832285
490.33,0.21744751283005898
490.53,0.22446445828834416
490.74,0.24113034978313608
490.94,0.24912331011629354
491.14,0.26397980170001534
491.35,0.2737824957873692
491.55,0.2889644464558838
491.75,0.30528813128485704
491.96,0.3398223392466263
492.16,0.36337956532557997
492.36,0.3947049761498288
492.57,0.4368051049036536
492.77,0.4666752277128265
492.98,0.4973034127350009
493.18,0.5291483348921627
493.38,0.5750205310784225
493.59,0.5886238075614503
493.79,0.627094930543532
493.99,0.6477096038650565
494.2,0.6601164555224475
494.4,0.6671262994873777
494.6,0.6704372736596169
494.81,0.6468776348630926
495.01,0.6364208073313508
495.22,0.6132569690743409
495.42,0.5984605501574306
495.62,0.5676396032510184
495.83,0.5439692601374041
496.03,0.4991651078399996
496.23,0.470941067411578
496.44,0.445974652232601
496.64,0.4305757611318142
496.84,0.39117765496516776
497.05,0.3620483852749746
497.25,0.3397922303158385
497.45,0.3203657615526751
497.66,0.3071547985338523
497.86,0.28713780072460743
498.06,0.29401296899481544
498.27,0.270781207318915
498.47,0.2576952440707046
498.67,0.23876987415329012
498.88,0.2519610151343775
499.08,0.23452507755875435
499.28,0.2391049047693808
499.49,0.24128577286317374
499.69,0.22901296062629822
499.89,0.2282958650591589
500.1,0.24585071423191135
500.3,0.2324689980837297
500.5,0.2311717608270679
500.7,0.24063686606974083
500.91,0.2401650017331446
501.11,0.26068915942004256
501.31,0.26387641651203897
501.52,0.2733979234547877
501.72,0.2864448114962776
501.92,0.3002741163962774
502.13,0.3104172658403178
502.33,0.3231549729708998
502.53,0.34528870975333836
502.74,0.3728575347490725
502.94,0.39956803455723544
503.14,0.40218638787136135
503.34,0.4259143881907567
503.55,0.45621559376082826
503.75,0.48535075815219525
503.95,0.5160413571362543
504.16,0.5368386144164489
504.36,0.5538454073564315
504.56,0.5787631459842749
504.76,0.6124992808891746
504.97,0.6210389053531652
505.17,0.6337055275445745
505.37,0.6524875008536066
505.58,0.6383191377742724
505.78,0.6386092194424757
505.98,0.637594975269195
506.18,0.6224700358556744
506.39,0.6138661476805675
506.59,0.5704889008073941
506.79,0.5530449671109551
507.0,0.5467078219385767
507.2,0.5262886636071977
507.4,0.5232183030600096
507.6,0.4863846834765158
507.81,0.46613884444754083
508.01,0.44200317741672734
508.21,0.4273214833357851
508.41,0.4054104170804321
508.62,0.3819425258593132
508.82,0.3780169432533205
509.02,0.3846768103048717
509.23,0.34829999946798657
509.43,0.34735462167053444
509.63,0.33496838790851613
509.83,0.329998070576091
510.04,0.33048461521585987
510.24,0.3183052971758037
510.44,0.31959894574341713
510.64,0.3118078099368121
510.85,0.29646836638338053
511.05,0.30653673556322414
511.25,0.3025289085715454
511.45,0.3110212458616542
511.66,0.3101980199416203
511.86,0.315403725242707
512.06,0.3120825660530789
512.26,0.32112805951967155
512.46,0.3320119719515904
512.67,0.3366967296749204
512.87,0.3385925206041668
513.07,0.363664082798308
513.27,0.3698980893449042
513.48,0.3758626343188597
513.68,0.38270912877867297
513.88,0.4041279780837141
514.08,0.41993861481819234
514.29,0.44620032314133645
514.49,0.4517676138449885
514.69,0.4667227557189152
514.89,0.5007169988304083
515.09,0.5148675779915269
515.3,0.5383152721484493
515.5,0.5711105333068008
515.7,0.5920750185779684
515.9,0.6310714628468634
516.11,0.6247913511430444
516.31,0.6581837426604571
516.51,0.6712551912022192
516.71,0.6889394202624455
516.91,0.707316058710092
517.12,0.707071509448302
517.32,0.7115062966592143
517.52,0.7408321729319591
517.72,0.7178246345184182
517.92,0.7225174641935009
518.13,0.7290898697421083
518.33,0.732570502759354
518.53,0.6959960927860316
518.73,0.6886477233216576
518.93,0.6816325355553872
519.14,0.6781117631566623
519.34,0.636005488231167
519.54,0.6262000168817822
519.74,0.6201913125478375
519.94,0.5868092336875677
520.15,0.5882235793666332
520.35,0.5600054653682126
520.55,0.5581448306316907
520.75,0.5406883581407476
520.95,0.5357516646981679
521.16,0.5115015790222548
521.36,0.512601485163922
521.56,0.5018902881241963
521.76,0.47973070537153395
521.96,0.4778569384893539
522.16,0.47017471332726524
522.37,0.4546545129471707
522.57,0.46036771606275484
522.77,0.4601071768587818
522.97,0.4551977776565616
523.17,0.4508147793598459
523.37,0.44259418652006105
523.58,0.458282964929195
523.78,0.45973854135481235
523.98,0.45007810726466896
524.18,0.4614305672352777
524.38,0.4581787158920525
524.58,0.47584389917446757
524.79,0.4762802225310959
524.99,0.4906843561367209
525.19,0.494596704800689
525.39,0.5135964244466373
525.59,0.5269209790806023
525.79,0.5348543755943103
526.0,0.548595757307196
526.2,0.5618890329784079
526.4,0.5842253984014721
526.6,0.6075386613123385
526.8,0.6254858923896173
527.0,0.6320577413462981
527.2,0.6477594784664339
527.41,0.6810861322387081
527.61,0.6962056774514218
527.81,0.6997605470464608
528.01,0.7384700740695307
528.21,0.7474854865368005
528.41,0.7557004424426637
528.61,0.7792556363839902
528.82,0.7863338026567924
529.02,0.7757584945346752
529.22,0.8118811380623353
529.42,0.7868098962896639
529.62,0.7933942770920406
529.82,0.8042206108534057
530.02,0.7946059516998158
530.22,0.8034358280176649
530.43,0.7868488668638114
530.63,0.7794605125142628
530.83,0.7681685511760811
531.03,0.7591483406894843
531.23,0.7533796156882533
531.43,0.7291735994501002
531.63,0.7336342152683112
531.83,0.699045275156645
532.03,0.6893236266774316
532.24,0.67157474768448
532.44,0.6547513025362702
532.64,0.6306680435374977
532.84,0.6182047116258509
533.04,0.6073783281063057
533.24,0.5875194659449429
533.44,0.5865551456181753
533.64,0.5737744430844365
533.84,0.5606332192903075
534.04,0.5492509210583241
534.25,0.5365483454818456
534.45,0.5264503795213663
534.65,0.5291151800755485
534.85,0.5065679877139881
535.05,0.5192178731514488
535.25,0.5056550076934025
535.45,0.5113651932685923
535.65,0.5038736140875194
535.85,0.501898995252223
536.05,0.5023866988882921
536.25,0.500607491287672
536.46,0.5013656802113496
536.66,0.5056152917147745
536.86,0.5026627577519688
537.06,0.5186302233266126
537.26,0.532916099870642
537.46,0.5352060243494086
537.66,0.5316621695388728
537.86,0.5678556201285409
538.06,0.5613468700270654
538.26,0.5625549226084026
