Wavelength [nm],#5-Filtre-vert.csv
400.08,0.08706783061534805
400.29,0.04964681834430056
400.5,0.044944659367578355
400.71,0.08141748017168729
400.92,0.09637437914850318
401.13,0.08909930641258487
401.34,0.004811311817878191
401.54,0.04642252883730264
401.75,0.040938031767705815
401.96,0.04391140859937837
402.17,0.05947528955283849
402.38,0.05732256059664393
402.59,0.011198341409136567
402.8,0.026559291614298108
403.01,0.011424884417039868
403.22,0.06353117054915446
403.43,-0.008999360376039335
403.63,0.05720251735648505
403.84,0.04485688206520472
404.05,0.048662606249970056
404.26,0.0032325912960009546
404.47,0.07960995773399357
404.68,0.0420040636727253
404.89,0.03182662901125278
405.1,0.0077774652928694335
405.31,0.029212275871331725
405.52,0.008420904814286099
405.72,0.0217717751370542
405.93,-0.0033035559043425033
406.14,0.0486072290470802
406.35,0.015897616962349245
406.56,0.03176021233896554
406.77,0.010635943618208061
406.98,-0.011061050820705706
407.19,0.0005901565491609907
407.39,0.06357121627423142
407.6,-0.01365206612626346
407.81,-0.007111230377029334
408.02,0.011215566337114498
408.23,0.024859670197663036
408.44,0.024042178370911164
408.65,0.023502594273060853
408.86,0.017446323175465045
409.06,0.026453189245954998
409.27,0.015618875999549546
409.48,0.015858363010421254
409.69,0.01746738162950746
409.9,0.03272443684573627
410.11,0.028209838404027295
410.32,0.016221179793044646
410.52,0.053944022481199595
410.73,0.036963331490694716
410.94,0.0005297788274498668
411.15,0.03480551070132841
411.36,0.038112017435363126
411.57,0.0685388868498633
411.78,0.0162329670861764
411.98,-0.0029084079052429496
412.19,0.029962745058121822
412.4,0.009365939795500414
412.61,0.036575358673623264
412.82,0.05331022698353071
413.03,0.027245510232202775
413.23,0.04364878171418998
413.44,0.020327874341342596
413.65,0.027304805334065558
413.86,0.03900202900728944
414.07,0.030780270271285687
414.28,0.02590428641922072
414.48,0.0005221474209505113
414.69,0.021836641508420445
414.9,0.0005113811585321054
415.11,0.0015066731992677011
415.32,0.023347423262211
415.53,0.029428496004937632
415.73,0.026187240889511673
415.94,0.01573124119895397
416.15,0.015273522477477005
416.36,0.024590812646272976
416.57,0.0258729990536497
416.78,0.03761970665607971
416.98,0.049185833020028435
417.19,0.0034870149345417227
417.4,0.00790211572775941
417.61,0.02344485935711475
417.82,0.023567804123516913
418.02,0.030430664660983937
418.23,0.006566628096699935
418.44,-0.028237987847135763
418.65,0.035050566010131526
418.86,0.030372688840015472
419.07,0.02100751929657483
419.27,0.02766763053972829
419.48,0.03354120884559803
419.69,-0.004390599444113106
419.9,0.016537339248686618
420.11,-0.0032933940759192434
420.31,0.039730615348407806
420.52,0.03198484801611449
420.73,-0.009688923026279654
420.94,0.038082314438517555
421.15,0.04963339528084514
421.35,0.039254474819458055
421.56,0.026420424313368905
421.77,0.016245179459564357
421.98,0.022999444583388855
422.19,0.02526788864746415
422.39,0.020972306618009966
422.6,0.01803000670639007
422.81,0.037616603640611215
423.02,0.02740350285445683
423.22,0.032444382750950546
423.43,0.026479021694282966
423.64,-0.01376520426281687
423.85,0.033592281224504306
424.06,0.010930478863970588
424.26,0.014531664048491807
424.47,0.018447895685721236
424.68,0.022687406256015088
424.89,0.01488626425963677
425.09,0.006727975355591511
425.3,0.02622936694934074
425.51,0.008733494094194402
425.72,0.029533490592272973
425.93,0.021363455082731214
426.13,0.02352012426449676
426.34,-0.0004632416198960356
426.55,0.014366887446308537
426.76,-0.006630530854302524
426.96,-0.007750113587704381
427.17,-0.01335841840286907
427.38,0.021938013743909277
427.59,0.007206661341999721
427.79,0.015740669783125178
428.0,-0.004751967104144411
428.21,0.011128908118902535
428.42,0.024986809721464047
428.62,0.04436025555833631
428.83,0.011287430112874334
429.04,0.023009026642195445
429.25,0.04717475127338509
429.45,0.034976193103214176
429.66,0.019661743594869815
429.87,0.024671695553150626
430.08,0.04443131887920481
430.28,-0.025598486877991593
430.49,0.02514738049317497
430.7,0.01252252803083905
430.91,0.022826655507898346
431.11,0.04308362171407168
431.32,0.021583240213632754
431.53,0.006151832073051928
431.74,0.028152862351134723
431.94,0.0033912177554667653
432.15,0.010670518880692518
432.36,0.026367829320371933
432.56,0.016421946918236948
432.77,0.01754918237721615
432.98,0.006464257186854119
433.19,0.005093561274211435
433.39,0.005894589861986595
433.6,0.03712562808751819
433.81,0.0041153376822613275
434.02,0.01052857475602131
434.22,0.03175486865850677
434.43,-0.005641767951631177
434.64,0.0033430424106482785
434.84,0.01720169881604862
435.05,0.03334891654558092
435.26,-0.00039126025727355233
435.47,0.029467764848686694
435.67,0.01883309795285478
435.88,0.04684978262380407
436.09,0.009681280359021714
436.29,0.03201663407755468
436.5,0.013390074916621713
436.71,-0.006315408157557551
436.92,0.02339873915875186
437.12,0.006570525217790604
437.33,0.010311022259813184
437.54,0.014561981737142717
437.74,0.013304821246420653
437.95,0.03451269806815718
438.16,0.012933640127974488
438.36,-0.005119975733320912
438.57,0.03719514741245277
438.78,0.0010206398838117803
438.99,0.006128372292216085
439.19,0.024177606085536145
439.4,0.012442964696873898
439.61,0.030965007899861625
439.81,-0.010715776561483346
440.02,0.009984840500240302
440.23,0.0029176554537623457
440.43,-0.00758237104646181
440.64,0.008545175341521818
440.85,-0.008372213769082636
441.05,0.014444425622944618
441.26,-0.0087368604448574
441.47,0.024290324358123592
