Wavelength [nm],#4-450-∆10.csv
400.08,0.04250161524597894
400.29,0.018854815404056986
400.5,-0.0007319004017983295
400.71,0.03952266930113924
400.92,-0.0021517788882643957
401.13,0.0007059825282797787
401.34,0.02283004851198346
401.54,-0.003615269499570534
401.75,0.032310787675661194
401.96,0.019569690572205548
402.17,0.037431741651733144
402.38,0.022766935985083957
402.59,0.027061469621824215
402.8,0.016494173506912714
403.01,-0.010153835704825566
403.22,-0.0020900029014157386
403.43,0.0020279550379064507
403.63,0.001981521944507749
403.84,0.03704917265429359
404.05,0.007300110869533968
404.26,-0.04909115719239795
404.47,0.07416386280934265
404.68,0.03726737177493902
404.89,-0.019700805299072706
405.1,0.009198987548896842
405.31,0.04539207127347619
405.52,-0.0032906593020806
405.72,0.028002528161658952
405.93,0.05548376182442757
406.14,0.013230074217489562
406.35,0.027370313137658645
406.56,0.03895902116915911
406.77,0.0068693291903586
406.98,-0.012221855701096873
407.19,0.04692870818785904
407.39,0.05701359173833668
407.6,-0.010099547202923753
407.81,-0.01611477905217519
408.02,0.023057296081580192
408.23,0.012715955007098441
408.44,0.031088805241879316
408.65,-0.009087554002127473
408.86,-0.019926884163873095
409.06,0.03704801548148874
409.27,0.014366482712017167
409.48,0.03822521839654804
409.69,0.006603998871111351
409.9,0.0005613331447940032
410.11,0.06279311817612597
410.32,-0.011473939992463275
410.52,-0.021508294744226202
410.73,0.01647318960751801
410.94,0.014020940418080465
411.15,-0.010884169265472608
411.36,0.01931650513237597
411.57,0.03891644862247379
411.78,-0.018541010131986124
411.98,0.01664370555162532
412.19,0.051468821888805236
412.4,0.024844596986195722
412.61,0.0036831077032293447
412.82,0.030850208643875447
413.03,-0.014543465461879205
413.23,0.02035155349772689
413.44,0.020327874341342596
413.65,0.014926923747648577
413.86,-0.012676351583851747
414.07,0.030780270271285687
414.28,0.01091819851797796
414.48,0.0038463531390626493
414.69,-0.005897543138014746
414.9,0.0037670444120873753
415.11,-0.005661996839301659
415.32,-0.007822339825165244
415.53,0.02632762858003328
415.73,-0.006986600354911557
415.94,0.006579982077869867
416.15,0.024772491714028674
416.36,-0.0016017004405617977
416.57,-0.002568665207557609
416.78,0.021115864540857066
416.98,-0.0045955446213146725
417.19,0.0235780025366679
417.4,-0.011136009983221755
417.61,0.014054906081702392
417.82,-0.0026521796540470793
418.02,0.014942336620424577
418.23,0.01975828676344447
418.44,0.015403583065630869
