Wavelength [nm],#47.csv
400.08,0.07626389961671311
400.29,0.07064136580355754
400.5,0.08231639008797746
400.71,0.06590088355296579
400.92,0.07385411445438488
401.13,0.05164450815652339
401.34,0.03807667186853407
401.54,0.08359346474469415
401.75,0.07688488215122509
401.96,0.05472994994478852
402.17,0.04624916081217528
402.38,0.03382473586078315
402.59,0.08258241836623098
402.8,0.08407425222792894
403.01,0.06941769474455321
403.22,0.06489827832937467
403.43,0.042001973413459924
403.63,0.09491441666222565
403.84,0.0786902895124863
404.05,0.068676716917923
404.26,0.025470184403570486
404.47,0.07960995773399357
404.68,0.08818680967614151
404.89,0.08606603354843749
405.1,0.08169662260629464
405.31,0.06281646632193948
405.52,0.07348514990521221
405.72,0.025510226951817053
405.93,0.035887989248170875
406.14,0.07514009516927318
406.35,0.06816212176098095
406.56,0.05815584471634194
406.77,0.049557626039319166
406.98,0.09341138841449925
407.19,0.0494334947629238
407.39,0.08849018951063142
407.6,0.0692400420849964
407.81,0.05719983158829821
408.02,0.05266162044274443
408.23,0.043075242983509926
408.44,0.05810087491392389
408.65,0.05609274254824918
408.86,0.05240835584774911
409.06,0.07000969710314928
409.27,0.06446221421331236
409.48,0.07354130584832719
409.69,0.09109697588085887
409.9,0.07322612298766357
410.11,0.05126535825209308
410.32,0.04632457086424891
410.52,0.05162241272041727
410.73,0.04493172000081899
410.94,0.056742952121744024
411.15,0.06221931868140903
411.36,0.0745974236705735
411.57,0.0915785610267218
411.78,0.03305908509496472
411.98,0.02699482444055558
412.19,0.0922171779890475
412.4,0.039217635806127076
412.61,0.07052864999790086
412.82,0.06117123340241005
413.03,0.04930080295963493
413.23,0.08092434686053093
413.44,0.05290604479079914
413.65,0.05618652903570518
413.86,0.0642914492965713
414.07,0.04749095526660835
414.28,0.06740422214573913
414.48,0.06146591891967304
414.69,0.02610343914633355
414.9,0.02438624501793742
415.11,0.04247050199109262
415.32,0.05763416265832487
415.53,0.03666385332971445
415.73,0.0711324451561496
415.94,0.037084179148150216
416.15,0.06699013276536943
416.36,0.0455448231157408
416.57,0.07463013778714794
416.78,0.04587162771369103
416.98,0.05121531896875837
417.19,0.041659891378581455
417.4,0.04174767254728148
417.61,0.06830796945075157
417.82,0.012031011261388757
418.02,0.02526788864746415
418.23,0.011640342968524757
418.44,0.0462720112722219
418.65,0.05945392366635581
418.86,0.07017495018751768
419.07,0.03742668039851907
419.27,0.053671868327619277
419.48,0.06436221813070424
419.69,0.029541515401971797
419.9,0.029789001664969953
420.11,0.04710459967301065
420.31,0.05885547730687767
420.52,0.06256380642034384
420.73,0.08080686161555206
420.94,0.07378036294982633
421.15,0.04689983841204604
421.35,0.045880306027599724
421.56,0.04166062024953164
421.77,0.04321010365207157
421.98,0.034737898576379565
422.19,0.06657009675562245
422.39,0.038704934048189005
422.6,0.056098425929502184
422.81,0.05031534779615452
423.02,0.0513443397072702
423.22,0.04750361414782291
423.43,0.05539548639643298
423.64,0.043081442705191555
423.85,0.038971173907855865
424.06,0.05952638019146336
424.26,0.048056996874057886
424.47,0.031712113311589865
424.68,0.036822092529171895
424.89,0.050133452969613065
425.09,0.04274871967633162
425.3,0.05110335662991576
425.51,0.046539937575253036
425.72,0.027714434342211627
425.93,0.049299556275730856
426.13,0.055506726199417704
426.34,0.04071169039073016
426.55,0.040534138222070255
426.76,0.06382479938921821
426.96,0.04495458126178782
427.17,0.00900772665525877
427.38,0.04076413813563971
427.59,0.059951465966503595
427.79,0.046418882673001795
428.0,0.034784893876856994
428.21,0.04500001485835533
428.42,0.03600869795939532
428.62,0.049958145274731
428.83,0.04647889446478898
429.04,0.03343953525455635
429.25,0.0462925056727123
429.45,0.02160585511034917
429.66,0.03664398110739963
429.87,0.0498182816714856
430.08,0.03001368580278041
430.28,0.023752271458219728
430.49,0.038731392404335645
430.7,0.06270580939320625
