XF3017R,,
Wavelength (nm),%T,
941,0.002145263134,
940,0.006979346741,
939,0.007431211416,
938,0.01119179279,
937,-0.001501316903,
936,0.006106276065,
935,0.01905567572,
934,0.003271952039,
933,0.01083122659,
932,0.00377095677,
931,0.0126791345,
930,0.00632919604,
929,0.01543723047,
928,0.005303146318,
927,0.007685659453,
926,0.004829288926,
925,0.01453188434,
924,0.01293464564,
923,0.006874358747,
922,0.006587693468,
921,0.007775195409,
920,-0.0002796592889,
919,0.00280366675,
918,0.00642291829,
917,0.006432997994,
916,0.01325919759,
915,0.005126672797,
914,0.005571247078,
913,0.01112586167,
912,0.01360679325,
911,0.005361602642,
910,0.00473181298,
909,0.004141287412,
908,0.006056935061,
907,0.008706630208,
906,-0.005012381822,
905,0.0132646393,
904,0.01515583601,
903,0.006979010999,
902,0.00809884537,
901,-0.003665346885,
900,0.009049134329,
899,0.009161900729,
898,0.007066112477,
897,0.0102217244,
896,0.02579330094,
895,-0.005429171957,
894,0.01882647164,
893,0.01462370437,
892,0.02555700205,
891,-0.0005762419896,
890,0.02116572484,
889,0.02032732964,
888,0.02787682228,
887,0.02317699231,
886,0.02118245699,
885,0.02996473573,
884,0.02337312698,
883,0.0311299935,
882,0.05448315665,
881,-0.006181554869,
880,-0.01729053259,
879,-0.0001474446326,
878,0.001222785679,
877,-0.0002977927506,
876,0.0003449290816,
875,0.0001998359949,
874,0.0003955837165,
873,-4.325635382E-5,
872,0.00100523443,
871,-5.817876081E-5,
870,-0.000183131313,
869,0.0007504167734,
868,0.0004585601273,
867,0.0009688849677,
866,0.0004511009902,
865,0.000759464805,
864,0.0003043290926,
863,0.0008150412468,
862,0.0004352312826,
861,8.270164108E-5,
860,0.000278909225,
859,0.0001529855945,
858,0.0003631339641,
857,0.0001130941309,
856,0.001004535239,
855,0.0002271507838,
854,0.000372146751,
853,0.0007761254092,
852,-0.0001336452842,
851,0.0009943934856,
850,0.000392326765,
849,-0.0002759756171,
848,0.0008851272287,
847,0.002050785581,
846,0.002466551727,
845,0.0009323722334,
844,0.003108655335,
843,0.001913257758,
842,0.001477847807,
841,0.001025243662,
840,0.0007875825977,
839,0.0004713037342,
838,0.0005202285829,
837,0.000192939362,
836,0.0001372325642,
835,0.001006105333,
834,-0.0001885254896,
833,-0.0002536221873,
832,0.0003292757901,
831,0.000473292981,
830,0.000652846822,
829,0.0006291149766,
828,0.0002246085351,
827,0.0004796585417,
826,0.0003152374411,
825,-0.0004589028249,
824,0.0002368317218,
823,0.0006429755595,
822,-0.0003174657468,
821,0.0002236311557,
820,0.0004458468175,
819,0.0003486047499,
818,0.0004495875037,
817,0.0006440031575,
816,0.0006033488899,
815,-0.0002445998543,
814,0.0003964568896,
813,1.119145418E-5,
812,-0.0003447977069,
811,-0.0003177172039,
810,-0.0006818219554,
809,0.0002556826512,
808,0.0001755470439,
807,-0.0002228245867,
806,6.425862375E-5,
805,0.0002161157172,
804,-0.0002005125862,
803,8.870817692E-5,
802,0.0009829888586,
801,-0.0001298340794,
800,0.001380279311,
799,0.002315070014,
798,0.005234948825,
797,0.00837860629,
796,0.007541162428,
795,0.003576947609,
794,0.001795734512,
793,0.0008307104581,
792,0.001087913988,
791,0.0009412770742,
790,0.000328235823,
789,0.0002674924326,
788,0.0001583133853,
787,0.00016512211,
786,0.0003327801533,
785,-0.0005503623979,
784,0.0005387535202,
783,-0.0001491422445,
782,0.0004171938635,
781,0.0001296773844,
780,-0.0006203078083,
779,0.0007836350123,
778,0.0003942660114,
777,-0.0002037856175,
776,0.000501752249,
775,0.0004112022871,
774,-0.0001287384366,
773,0.0002995344694,
772,-3.808310066E-5,
771,6.820172712E-5,
770,0.0002902816923,
769,0.0002573725942,
768,-0.0002783884411,
767,0.0003080879978,
766,0.0005131669459,
765,8.362425433E-6,
764,-5.911949847E-5,
763,0.000352953939,
762,-9.005033644E-5,
761,0.0001540055382,
760,-0.0003500884632,
759,0.0002936661185,
758,-0.0003370551276,
757,0.0003678981448,
756,-0.000439735275,
755,-7.399381866E-5,
754,0.0005046179285,
753,-0.0007163533592,
752,0.0007915557944,
751,2.864012458E-5,
750,0.0003200893989,
749,-0.0008057327941,
748,0.0005413999897,
747,0.0002064860309,
746,0.0001748081995,
745,-0.0001242565631,
744,0.0001134821578,
743,0.0002918032114,
742,0.000831606565,
741,-0.0002909116156,
740,-0.0001774880948,
739,0.0005444333656,
738,-3.442274829E-5,
737,8.580441499E-5,
736,0.0001814620045,
735,1.974370434E-6,
734,-0.0001576742943,
733,0.0004955925979,
732,-8.486197476E-5,
731,8.308746328E-5,
730,0.0003842290316,
729,0.0004106688139,
728,0.0002542249858,
727,-0.0002213266271,
726,0.0002865818387,
725,-0.000372340437,
724,0.0001998765365,
723,0.0003037128772,
722,9.102659533E-5,
721,-3.533800918E-5,
720,-0.0006160532357,
719,-2.983251215E-5,
718,-0.0003778416722,
